Survey_Iteration,Orig_ID,Month,Day,Year,demog_age_list,demog_state,demog_state_region,gw_belief,believer_confidence,believer_cause,believer_problem,gw_concern,believer_factor_open,believer_factor_open_coded,believer_factor_glaciers,believer_factor_warmer,believer_factor_models,believer_factor_hurricane,believer_factor_ipcc,believer_factor_mildwint,believer_factor_polarbrs,believer_factor_droughts,nonbeliever_confidence,nonbeliever_factor_open,nonbeliever_factor_open_coded,nonbeliever_factor_weath,nonbeliever_factor_scievid,nonbeliever_factor_distort,gw_noevidence,gw_scioverstate,gw_nattrend,gw_mediaoverstate,gw_adapt,govt_fed,govt_state,govt_local,govt_fedvsstate,state_neighborsact,govt_nostateaction,state_rps_economy,state_impactsfelt,state_rps_neighbr,state_rps_mystate_v1,captrade_govt_v1,fftax_govt,nuclear_govt,gastax_govt,rps_govt,ethanol_govt,vehicle_govt,captrade_support_v1,captrade_govt_v2,captrade_cost15dol,captrade_cost50,carbontax_support,carbontax_cost15dol,carbontax_cost50dol,busnesspay_revuse,busnesspay_govtlevel,willing2pay_list,demog_race,demog_relig,demog_relig_evang,demog_edu,demog_news,demog_polparty,demog_teaparty,demog_polviews,demog_income,demog_gender,TOTWEIGHT
FALL 2010,2402,11,17,2010,3,CALIFORNIA,4,1,2,3,2,2,READ AND HEARD,6,2,3,2,3,3,3,2,3,,,,,,,2,4,2,1,3,1,1,2,2,4,1,1,2,4,1,3,3,3,4,2,2,3,2,1,2,2,1,1,1,1,2,3,1,1,98,5,4,3,2,3,6,2,0.46
FALL 2010,2412,11,18,2010,3,MASSACHUSETTS,1,1,1,3,2,2,CHANGE WEATHER PATTERNS,3,2,1,1,2,2,2,2,2,,,,,,,4,4,2,3,4,1,2,2,1,4,1,1,2,3,1,4,3,3,4,3,3,3,4,,2,2,4,2,3,1,2,3,1,1,1,5,1,1,1,2,4,2,0.46
FALL 2010,2416,11,18,2010,3,PENNSYLVANIA,1,1,1,1,1,1,WEATHER,3,1,1,1,1,1,1,1,1,,,,,,,4,4,4,4,4,1,1,1,1,4,1,1,1,1,1,1,1,3,3,3,3,3,1,1,2,4,2,2,4,1,2,2,1,1,2,5,1,1,2,5,3,2,0.46
FALL 2010,2421,11,18,2010,4,TEXAS,2,2,,,,,,,,,,,,,,,1,I HAVE SEEN IT GET A LOT HOTTER IN MY LI,1,1,3,3,1,1,1,1,2,2,2,2,4,4,4,2,4,98,4,4,4,4,4,4,4,4,4,,4,4,4,4,4,6,98,2,1,1,2,5,1,2,1,1,3,2,0.46
FALL 2010,2435,11,18,2010,3,OHIO,3,2,,,,,,,,,,,,,,,1,I BELIEVE IT IS NATURAL AND IT IS ACTUAL,2,3,2,1,2,1,1,1,3,3,3,3,1,4,4,4,4,1,4,4,4,3,4,4,4,4,4,,4,4,4,4,4,6,98,1,1,2,,5,5,2,1,1,,2,0.46
FALL 2010,2448,11,19,2010,3,PENNSYLVANIA,1,1,1,1,2,2,WEATHER,3,2,1,2,2,3,2,2,1,,,,,,,1,3,4,2,3,3,3,3,4,4,1,98,98,98,1,2,2,98,2,2,98,98,98,,3,3,4,4,4,4,2,2,1,1,1,5,1,1,2,4,5,2,0.46
FALL 2010,2468,11,19,2010,3,OHIO,3,1,1,1,1,1,INFORMATION THAT I HAVE HEARD,6,1,1,1,1,1,1,1,1,,,,,,,4,4,3,4,4,1,1,1,1,4,1,1,1,4,1,4,3,4,4,3,3,3,1,1,1,2,98,2,98,1,2,3,1,2,,5,1,1,2,5,3,2,0.46
FALL 2010,2493,11,21,2010,3,TEXAS,2,1,1,1,1,1,CLIMATE CHANGES,2,1,1,1,1,1,2,1,1,,,,,,,4,4,4,1,4,1,1,2,1,4,1,1,1,4,1,1,1,3,1,2,3,1,1,1,1,1,1,1,1,1,98,6,1,2,,5,3,2,2,3,6,2,0.46
FALL 2010,2505,11,21,2010,4,CALIFORNIA,4,2,,,,,,,,,,,,,,,2,MEDIA,9,1,2,1,1,1,2,1,2,2,1,2,2,2,2,1,2,2,1,2,2,4,4,2,2,1,4,,4,3,3,4,4,2,1,3,1,2,,5,1,1,2,3,2,2,0.46
FALL 2010,2533,11,22,2010,4,KANSAS,3,1,2,98,2,2,WINTERS ARE WARMER,2,2,1,4,98,2,1,2,2,,,,,,,3,3,2,3,2,1,1,2,1,4,1,98,2,2,1,3,3,3,98,3,98,3,3,,2,4,2,2,98,1,98,98,1,1,2,5,1,4,2,3,98,2,0.46
FALL 2010,2551,11,23,2010,4,VIRGINIA,2,1,1,3,1,1,DIFFERENT WEATHER PATTERNS ARE WARMER,3,1,1,1,1,2,1,1,1,,,,,,,3,4,4,3,4,2,2,2,1,4,98,1,1,4,2,4,3,3,3,3,3,3,98,,2,4,1,1,4,1,98,5,1,6,,5,6,4,2,3,3,2,0.46
FALL 2010,2573,11,29,2010,3,CONNECTICUT,1,1,1,1,1,1,WEATHER PATTERNS,3,1,1,1,1,1,2,1,1,,,,,,,4,4,4,4,4,1,1,1,1,4,4,1,1,4,1,4,3,4,3,3,98,3,98,,1,1,1,1,1,1,1,6,1,6,,5,1,1,2,4,6,2,0.46
FALL 2010,2574,11,29,2010,3,MASSACHUSETTS,1,1,2,2,3,3,READ SOME REPORTS,4,1,3,2,3,4,3,4,3,,,,,,,2,2,1,1,2,2,2,3,4,2,2,2,4,1,4,2,4,2,4,4,4,4,4,,4,4,4,4,4,6,98,1,1,1,1,5,1,2,1,1,6,2,0.46
FALL 2010,2611,11,30,2010,3,NEW YORK,1,1,2,1,1,1,SEASONAL WEATHER,3,1,2,1,3,2,2,1,1,,,,,,,4,4,3,3,4,1,1,2,1,4,3,1,2,1,1,2,3,1,3,2,3,1,4,,2,3,3,2,3,1,2,2,1,3,,5,2,4,2,3,6,2,0.46
FALL 2010,2612,11,30,2010,4,PENNSYLVANIA,1,1,2,3,1,1,WEATHER,3,1,1,98,1,3,1,1,1,,,,,,,4,3,3,98,4,2,2,2,1,1,2,3,1,1,3,3,4,3,4,3,3,3,3,,2,4,3,4,4,2,2,2,1,2,,5,1,1,2,3,3,2,0.46
FALL 2010,2624,11,30,2010,3,LOUISIANA,2,1,1,2,3,4,NO PROOF IT IS NOT,10,2,3,2,2,4,4,3,3,,,,,,,1,1,2,98,3,2,2,2,3,2,98,1,98,2,1,1,3,1,3,3,4,1,4,,4,4,3,3,4,1,2,6,1,1,2,5,5,4,2,3,4,2,0.46
FALL 2010,2640,11,30,2010,4,OREGON,4,1,1,3,1,1,MELTING ICE,1,3,2,3,2,3,2,3,2,,,,,,,3,3,3,3,3,1,1,3,3,2,2,3,2,3,3,4,4,3,4,3,3,3,3,,2,3,3,2,3,6,2,3,1,2,,5,5,1,2,2,6,2,0.46
FALL 2010,2650,12,1,2010,3,NEW HAMPSHIRE,1,1,2,3,2,2,GLACIERS,1,1,1,2,2,98,2,1,98,,,,,,,3,4,4,4,4,1,2,2,1,4,2,3,2,4,1,3,3,3,4,3,3,3,1,1,2,2,2,3,3,1,1,3,1,6,,5,2,1,2,5,4,2,0.46
FALL 2010,2656,12,1,2010,3,NEW YORK,1,1,1,1,1,1,LITERATURE,6,1,1,2,2,2,2,2,2,,,,,,,4,4,4,4,4,1,1,1,1,4,1,1,1,4,1,3,3,4,3,3,4,3,2,1,1,2,1,1,2,98,98,4,1,7,,5,2,1,2,5,6,2,0.46
FALL 2010,2663,12,1,2010,3,GEORGIA,2,1,1,1,2,2,CONVERSATIONS WITH FAMILY WHOM ARE SCIEN,4,2,2,1,2,98,3,2,2,,,,,,,4,3,3,3,3,1,1,1,2,1,3,1,98,3,1,3,3,3,3,3,3,3,4,,3,1,1,98,4,2,2,3,1,2,,5,5,4,2,3,6,2,0.46
FALL 2010,2679,12,1,2010,3,TEXAS,2,2,,,,,,,,,,,,,,,2,HAS STUDIED ABOUT IT,5,1,2,2,1,1,2,1,3,3,3,3,3,2,3,3,3,3,3,4,4,4,4,4,4,4,4,,3,4,4,3,4,98,,1,1,1,2,5,1,2,1,1,,2,0.46
FALL 2010,2684,12,1,2010,3,ILLINOIS,3,1,1,1,1,1,DATA,4,1,2,1,2,2,98,1,1,,,,,,,4,4,4,4,3,1,1,1,1,4,1,1,2,2,2,3,3,1,3,3,3,1,2,1,1,1,1,1,1,1,2,5,1,1,2,5,5,1,2,4,3,2,0.46
FALL 2010,2687,12,1,2010,4,NEBRASKA,3,1,1,1,1,1,POLLUTION,8,1,1,1,98,98,1,1,1,,,,,,,4,4,4,4,98,1,1,1,1,4,1,98,1,4,1,3,3,3,3,3,3,3,4,,98,98,1,2,1,1,98,98,1,1,2,5,2,1,2,4,2,2,0.46
FALL 2010,2701,12,1,2010,1,COLORADO,4,1,1,1,1,1,SCIENTIFIC STUDIES,4,1,2,1,2,2,2,2,1,,,,,,,4,3,4,4,3,1,1,1,1,4,2,1,1,4,1,98,3,4,3,3,98,3,98,,98,98,1,1,2,1,2,4,1,6,,5,5,3,2,5,2,2,0.46
FALL 2010,2709,12,1,2010,4,CALIFORNIA,4,1,1,1,1,1,RESEARCH,4,1,1,98,2,2,2,1,1,,,,,,,4,4,4,4,4,1,1,1,4,4,1,1,1,4,1,3,3,4,3,3,3,3,98,,2,3,4,2,4,1,,2,1,3,,5,2,1,2,5,5,2,0.46
FALL 2010,2725,12,2,2010,3,NEW JERSEY,1,1,1,3,1,1,MELTING OF ICEBERGS,1,1,4,98,98,3,4,1,1,,,,,,,4,4,3,3,2,1,2,3,4,3,1,2,1,3,2,2,3,3,3,2,3,1,2,1,1,1,1,1,1,1,98,6,1,6,,5,1,1,2,5,5,2,0.46
FALL 2010,2729,12,2,2010,2,PENNSYLVANIA,1,1,1,3,1,1,NATIONAL GEOGRAPHIC,6,1,1,4,1,1,1,2,1,,,,,,,3,1,1,4,1,1,1,1,4,3,1,1,1,1,1,2,1,3,3,3,3,2,1,1,4,1,1,4,1,3,1,2,1,2,,5,1,1,2,3,2,2,0.46
FALL 2010,2760,12,2,2010,3,INDIANA,3,2,,,,,,,,,,,,,,,1,CYCLICAL CHANGES,2,1,4,4,2,3,1,1,2,3,3,3,2,4,4,1,3,2,2,4,4,1,4,4,4,1,2,1,2,3,4,4,4,4,2,3,1,1,1,5,1,,2,1,4,2,0.46
FALL 2010,2767,12,2,2010,3,MINNESOTA,3,2,,,,,,,,,,,,,,,2,STUDIES SHOW IT,5,4,4,1,1,1,1,1,,3,3,3,4,4,4,3,4,1,4,4,4,4,4,4,4,4,4,,4,4,4,4,4,6,,1,1,1,2,5,1,4,2,3,5,2,0.46
FALL 2010,2772,12,2,2010,3,ILLINOIS,3,1,1,3,2,2,RESEARCH AND  YEARS OF COMPARED TEMPERAT,4,1,2,2,3,3,3,1,3,,,,,,,4,2,3,2,3,2,2,2,1,3,2,1,3,4,1,3,3,3,4,3,4,3,4,,4,4,4,4,4,2,1,1,1,1,1,5,5,2,1,1,6,2,0.46
FALL 2010,2777,12,2,2010,2,COLORADO,4,1,1,1,1,1,HUSBAND IS ENVIRONMENTAL SCIENTIST,4,1,2,1,1,2,2,2,1,,,,,,,4,4,4,4,4,1,2,2,2,4,2,2,1,3,1,3,3,98,3,3,3,3,1,1,1,2,1,1,1,1,98,3,1,1,2,5,5,1,2,5,6,2,0.46
FALL 2010,2786,12,2,2010,3,CALIFORNIA,4,1,1,1,1,1,NEWS,6,1,2,4,2,2,1,1,1,,,,,,,4,4,3,3,4,1,1,2,1,3,2,3,1,3,1,3,3,3,2,3,3,3,1,98,2,3,2,2,4,2,2,5,1,2,,5,4,1,2,4,6,2,0.46
FALL 2010,2791,12,2,2010,4,CALIFORNIA,4,2,,,,,,,,,,,,,,,2,NOT ENOUGH EVIDENCE,3,2,2,2,1,2,1,3,2,2,2,3,1,4,2,2,4,2,1,2,2,1,1,4,4,1,2,2,2,4,2,2,4,4,2,2,1,2,,5,2,2,2,3,5,2,0.46
FALL 2010,2799,12,3,2010,4,NEW HAMPSHIRE,1,1,1,3,1,1,SCIENTISTS EVIDENCE,4,2,2,3,2,2,2,2,3,,,,,,,1,4,4,4,4,1,1,1,1,2,1,1,2,4,3,3,3,3,3,3,3,3,98,,98,98,98,98,98,1,98,,1,,,5,3,,,,,2,0.46
FALL 2010,2802,12,3,2010,4,NEW JERSEY,1,1,1,3,1,1,ARTICLES,6,1,2,2,98,4,2,2,2,,,,,,,4,4,2,1,1,2,2,2,1,4,1,1,1,4,1,1,4,4,4,3,3,3,98,,1,3,4,1,4,1,1,4,1,,,5,4,,2,3,5,2,0.46
FALL 2010,2849,12,3,2010,4,KANSAS,3,98,,,,,,,,,,,,,,,,,,,,,3,3,4,3,4,1,1,2,1,4,2,4,4,4,1,98,4,4,4,3,4,3,98,,3,4,4,4,4,2,2,1,1,1,2,5,1,4,2,3,3,2,0.46
FALL 2010,2851,12,3,2010,3,COLORADO,4,98,,,,,,,,,,,,,,,,,,,,,2,1,3,1,3,2,2,1,1,4,2,2,2,2,2,2,1,1,3,2,3,1,2,2,2,3,2,2,3,1,2,3,1,1,2,5,1,4,2,3,,2,0.46
FALL 2010,2863,12,3,2010,3,CALIFORNIA,4,1,1,1,1,2,WHAT I HAVE READ,6,1,3,2,2,1,1,1,2,,,,,,,4,4,4,4,4,1,2,2,1,4,1,1,1,4,1,98,3,4,2,3,3,3,98,,2,3,98,2,3,1,98,4,1,6,,5,4,3,2,5,3,2,0.46
FALL 2010,2874,12,5,2010,4,CONNECTICUT,1,1,3,2,3,3,MEDIA,6,4,3,4,4,3,4,98,3,,,,,,,1,1,1,1,2,2,2,2,1,4,1,1,98,4,1,3,3,3,3,3,98,3,1,1,1,2,98,1,2,1,1,2,1,6,,5,2,1,2,5,98,2,0.46
FALL 2010,2875,12,5,2010,4,NEW JERSEY,1,1,2,1,2,1,TEMPERATURES RISING,2,1,1,2,2,2,2,3,2,,,,,,,2,2,1,1,1,2,2,3,1,1,1,1,1,1,1,3,1,3,4,3,3,1,3,,98,98,2,1,3,1,1,2,1,2,,5,5,1,2,3,2,2,0.46
FALL 2010,2878,12,5,2010,3,PENNSYLVANIA,1,1,2,1,1,3,GLACIERS ARE MELTING,1,1,2,2,2,2,2,2,3,,,,,,,4,4,4,4,4,1,1,2,2,4,2,2,1,1,1,3,3,3,3,3,3,3,2,1,2,2,2,2,2,1,1,4,1,2,,5,1,2,2,2,,2,0.46
FALL 2010,2888,12,5,2010,4,MARYLAND,2,98,,,,,,,,,,,,,,,,,,,,,2,98,98,98,2,2,3,3,2,2,3,3,2,2,2,3,3,3,3,3,3,3,2,2,2,3,2,2,3,1,1,3,1,1,2,5,1,4,2,3,3,2,0.46
FALL 2010,2890,12,5,2010,2,VIRGINIA,2,1,2,1,2,2,READING,6,1,2,2,3,3,3,2,3,,,,,,,4,3,4,3,3,2,2,2,1,3,2,98,2,3,1,3,3,4,3,3,3,3,2,1,2,3,2,2,2,2,1,5,1,2,,5,2,1,2,3,,2,0.46
FALL 2010,2900,12,5,2010,4,LOUISIANA,2,1,2,3,2,3,CYCLES,9,2,3,2,4,2,4,2,2,,,,,,,4,1,4,2,4,1,1,1,4,1,4,4,2,1,98,2,2,1,1,2,98,1,4,,4,4,4,4,4,1,98,3,1,98,,5,1,4,2,3,,2,0.46
FALL 2010,2902,12,5,2010,3,TEXAS,2,2,,,,,,,,,,,,,,,3,NO DRASTIC CHANGES IN TEMPERATURE,1,3,3,2,2,3,1,2,3,3,3,3,3,2,3,2,2,3,2,4,4,4,4,3,3,3,2,1,3,3,3,3,4,2,1,1,1,1,1,5,1,2,2,1,2,2,0.46
FALL 2010,2924,12,5,2010,1,NEBRASKA,3,1,1,3,2,2,DATA,4,1,2,1,1,1,2,2,2,,,,,,,1,4,2,2,2,1,1,1,3,4,1,1,2,2,1,3,3,3,2,2,2,2,2,3,1,2,2,1,1,1,1,2,1,2,,5,5,4,2,3,6,2,0.46
FALL 2010,2946,12,6,2010,3,NEW YORK,1,1,1,1,1,1,GLACIERS ARE MELTING,1,1,2,2,2,2,2,1,1,,,,,,,3,4,4,4,4,2,2,2,1,3,2,1,2,3,1,3,3,1,1,3,3,3,1,1,2,2,2,2,2,1,1,3,1,2,,5,2,4,2,3,,2,0.46
FALL 2010,2960,12,6,2010,3,NORTH CAROLINA,2,1,1,1,1,1,PERSONAL OBSERVATIONS,2,1,1,4,1,4,4,3,1,,,,,,,4,4,3,3,2,2,1,1,1,4,1,1,1,4,1,3,4,4,4,3,3,4,4,,4,4,4,4,4,1,98,98,1,6,,5,6,3,2,3,6,2,0.46
FALL 2010,2967,12,6,2010,4,GEORGIA,2,2,,,,,,,,,,,,,,,1,CYCLES,2,4,4,4,1,2,1,1,98,2,2,2,98,1,1,1,98,3,4,4,3,3,2,2,2,2,4,,4,4,4,4,4,98,98,1,1,1,1,5,1,2,2,1,,2,0.46
FALL 2010,2991,12,6,2010,2,ILLINOIS,3,1,1,1,2,3,SUMMERS GOT A LOT LONGER,3,3,1,3,3,3,1,1,1,,,,,,,2,1,3,1,1,2,2,2,2,4,2,2,2,2,1,2,1,1,1,1,1,1,1,2,2,4,2,1,4,1,1,2,1,2,,5,1,4,2,5,5,2,0.46
FALL 2010,3007,12,6,2010,3,CALIFORNIA,4,1,1,3,1,1,REALITY,10,1,1,2,1,2,3,1,1,,,,,,,4,3,3,4,3,1,1,1,4,2,2,3,2,3,1,3,3,4,3,3,3,3,2,1,2,2,2,2,2,1,1,5,1,2,,5,1,1,2,2,,2,0.46
FALL 2010,3008,12,6,2010,4,CALIFORNIA,4,1,1,3,1,1,SCIENTIFIC EVIDENCE,4,1,4,1,2,2,4,2,2,,,,,,,4,4,3,4,4,1,2,2,1,3,1,1,98,3,1,1,3,1,3,2,1,1,2,1,1,2,1,1,1,1,1,4,1,6,,5,5,1,2,5,5,2,0.46
FALL 2010,3042,12,7,2010,3,INDIANA,3,1,1,1,1,1,OBSERVATIONS,2,1,1,2,1,3,3,1,1,,,,,,,4,4,4,4,4,1,1,1,1,4,1,4,2,4,2,3,3,3,3,3,3,3,1,1,2,3,1,1,2,1,1,4,1,2,,5,1,4,2,3,6,2,0.46
FALL 2010,3053,12,7,2010,3,KANSAS,3,2,,,,,,,,,,,,,,,1,EXPERIENCE,1,1,4,4,1,1,1,1,4,3,3,3,3,3,3,3,3,3,3,4,4,2,4,2,4,4,4,,4,4,4,4,4,6,1,1,1,6,,5,5,4,2,1,4,2,0.46
FALL 2010,3065,12,8,2010,2,PENNSYLVANIA,1,2,,,,,,,,,,,,,,,3,NOT SURE,9,2,2,1,4,4,2,3,3,2,2,2,1,3,2,2,2,3,2,3,3,3,3,3,3,3,3,,3,4,3,2,3,1,1,2,1,2,,5,1,1,2,3,4,2,0.46
FALL 2010,3069,12,8,2010,3,NEW YORK,1,1,2,3,1,1,ICE MELTING,1,1,3,2,2,2,1,1,1,,,,,,,4,4,4,4,4,1,1,1,2,4,2,2,2,3,1,2,1,3,1,3,3,1,2,1,2,98,2,2,98,5,1,98,1,2,,5,2,1,2,4,6,2,0.46
FALL 2010,3072,12,8,2010,98,NEW YORK,1,1,1,1,1,1,BIRDS AND GLACIERS,1,1,2,1,1,4,1,3,2,,,,,,,4,4,4,4,4,1,2,3,1,2,3,2,2,4,1,4,2,3,4,4,3,1,2,3,1,4,2,1,3,4,1,4,1,6,,5,2,1,2,5,2,2,0.46
FALL 2010,3075,12,8,2010,4,PENNSYLVANIA,1,1,1,3,1,2,NEWS,6,1,3,2,2,98,2,98,2,,,,,,,2,2,2,98,3,1,1,1,2,2,2,98,3,2,98,3,3,3,3,3,3,3,3,,98,98,98,98,98,98,98,,1,6,,5,1,1,2,3,,2,0.46
FALL 2010,3083,12,8,2010,4,VIRGINIA,2,1,1,2,2,2,READING,6,2,4,1,4,4,4,4,4,,,,,,,3,1,1,1,4,1,2,3,3,4,2,1,98,4,1,3,3,1,3,3,3,3,4,,2,3,2,2,3,1,1,6,1,1,2,5,5,4,1,2,6,2,0.46
FALL 2010,3124,12,8,2010,4,CALIFORNIA,4,2,,,,,,,,,,,,,,,1,WEATHER HAS CHANGED BUT IT IS CYCLICAL,2,1,4,4,1,2,1,1,2,3,3,3,2,2,2,1,3,4,1,3,2,1,2,3,3,1,4,,4,4,4,4,4,4,2,1,1,1,2,5,1,4,2,2,2,2,0.46
FALL 2010,3127,12,8,2010,2,UTAH,4,1,2,2,4,4,MEDIA,6,2,2,3,3,3,2,2,3,,,,,,,2,1,3,3,1,,2,2,4,1,4,4,4,1,4,4,4,2,4,4,4,4,2,3,4,4,4,3,3,2,98,,1,6,,5,4,2,2,1,4,2,0.46
FALL 2010,3135,12,8,2010,3,CALIFORNIA,4,2,,,,,,,,,,,,,,,2,IT IS CYCLICAL,2,4,2,1,1,2,2,1,3,1,1,1,2,4,1,98,4,4,1,3,4,98,4,3,3,3,1,2,3,4,4,3,4,98,2,98,1,1,1,5,5,4,98,3,6,2,0.46
FALL 2010,3138,12,8,2010,3,WASHINGTON,4,1,1,3,1,1,ICE CAPS MELTING,1,1,2,1,1,2,2,1,1,,,,,,,4,4,4,4,4,1,1,1,1,4,1,1,1,1,1,3,3,98,3,3,3,3,2,1,1,2,1,1,2,2,1,5,1,1,1,5,2,1,2,5,5,2,0.46
FALL 2010,3156,12,9,2010,4,PENNSYLVANIA,1,2,,,,,,,,,,,,,,,1,IT IS COLD,1,1,1,1,1,1,1,1,2,3,3,3,1,2,3,1,2,1,1,4,4,4,4,3,3,3,2,1,2,3,4,4,4,1,1,1,1,2,,5,1,,2,1,1,2,0.46
FALL 2010,3183,12,9,2010,4,ILLINOIS,3,1,2,1,1,1,NEWS REPORTS,6,1,1,1,1,2,3,98,1,,,,,,,4,4,4,4,3,1,1,1,1,98,1,1,2,98,1,3,3,3,4,3,3,3,98,,2,4,2,2,4,2,1,2,1,1,1,5,1,1,2,4,3,2,0.46
FALL 2010,3196,12,9,2010,3,MINNESOTA,3,1,1,1,1,1,POLAR ICE CAPS AND WEATHER GETTING WARME,1,1,1,4,2,4,1,4,1,,,,,,,4,4,3,4,3,1,1,1,2,3,1,1,1,4,1,3,3,4,3,3,4,3,1,1,2,3,1,1,1,4,98,2,1,1,2,5,2,1,2,4,5,2,0.46
FALL 2010,3202,12,9,2010,2,COLORADO,4,98,,,,,,,,,,,,,,,,,,,,,4,1,4,4,2,1,1,2,1,4,1,2,2,2,1,3,3,4,4,3,3,1,4,,2,4,4,2,4,2,1,4,1,1,2,5,5,4,2,3,5,2,0.46
FALL 2010,3205,12,9,2010,4,ARIZONA,4,2,,,,,,,,,,,,,,,2,IT HAS ALWAYS BEEN HOT HERE,1,2,2,2,2,2,2,2,3,1,1,3,3,2,2,3,3,3,3,4,1,3,1,3,3,4,3,,3,4,3,3,4,1,2,1,1,1,2,5,1,2,2,3,6,2,0.46
FALL 2010,3206,12,9,2010,2,NEVADA,4,1,1,2,1,1,NEWS AND TELEVISION REPORTS,6,1,2,1,2,3,3,3,2,,,,,,,4,4,98,4,4,1,1,1,1,4,1,98,98,1,1,1,1,3,3,3,3,1,4,,4,4,1,4,4,1,98,4,1,6,,5,5,4,2,98,6,2,0.46
FALL 2010,3211,12,9,2010,4,CALIFORNIA,4,98,,,,,,,,,,,,,,,,,,,,,2,2,2,2,3,1,1,3,1,2,3,1,2,4,1,98,4,1,4,98,4,2,2,2,2,4,4,4,4,4,2,2,1,,,5,1,2,2,2,,2,0.46
