"RespNum","Sample","Date","demog_age_list","demog_state","demog_state_region","gw_belief","believer_confidence","believer_cause","believer_problem","gw_concern","believer_factor_open","believer_factor_open_coded","believer_factor_glaciers","believer_factor_warmer","believer_factor_models","believer_factor_hurricane","believer_factor_ipcc","believer_factor_mildwint","believer_factor_polarbrs","believer_factor_droughts","believer_factor_extremes","nonbeliever_confidence","nonbeliever_factor_open","nonbeliever_factor_open_coded","nonbeliever_factor_weath","nonbeliever_factor_scievid","nonbeliever_factor_distort","gw_noevidence","gw_scioverstate","gw_nattrend","gw_mediaoverstate","fed_industrial","govt_fed","govt_state","govt_local","rps_25x25_nocost","rps_25x25_cost10pct","vehicle_54mpg_nocost","vehicle_54mpg_cost10pct","fftax_support_v2","fftax_support_v2_cost10pct","carbontax_revuse_v2","gastax_knowldg_cost","gastax_knowldg_chng","gastax_knowldg_chnghow","excisetax_revuse","willing2pay_list","demog_persfinance","demog_race","demog_relig","demog_relig_evang","demog_edu","demog_news","demog_polparty","demog_polviews","demog_income","demog_gender","weight"
441,"C","10/8/2012 5:26:42",4,"COLORADO",4,2,,,,,,,,,,,,,,,,2,"NO DATA",3,2,4,2,2,1,1,1,2,3,3,3,4,4,4,4,4,4,,4,2,,5,1,3,1,1,,5,5,2,2,6,1,0.26
448,"C","10/8/2012 5:32:46",4,"MISSISSIPPI",2,1,1,1,1,1,"SCIENTIFIC DATA",4,1,3,1,3,1,3,2,2,4,,,,,,,4,4,4,4,4,1,1,2,1,1,2,2,1,1,1,2,2,,1,6,1,1,1,2,5,5,1,5,5,1,0.26
459,"C","10/8/2012 5:43:52",4,"NORTH CAROLINA",2,1,1,1,1,1,"GASES",8,1,1,1,3,98,1,1,2,2,,,,,,,4,4,3,4,4,1,2,2,1,1,1,1,1,1,1,5,98,,1,6,1,1,1,2,5,1,1,5,4,1,0.26
461,"C","10/8/2012 5:46:29",4,"CALIFORNIA",4,1,1,1,1,1,"SCIENTIFIC RESEARCH",4,1,3,1,2,1,2,1,1,2,,,,,,,4,4,4,4,4,1,1,1,1,1,1,1,4,4,3,98,98,,3,5,3,1,6,,5,5,2,3,,1,0.26
493,"L","10/8/2012 6:35:32",4,"VIRGINIA",2,2,,,,,,,,,,,,,,,,3,"NO IDEA",8,2,4,2,4,4,4,4,3,3,3,3,2,2,2,2,4,98,98,98,98,,3,2,2,1,2,,5,1,2,1,4,1,0.26
539,"L","10/8/2012 7:38:25",4,"TEXAS",2,1,1,2,2,3,"CO2 LEVELS",8,4,4,4,3,4,4,4,2,2,,,,,,,1,1,1,1,3,3,2,1,2,2,1,1,2,3,3,98,2,,1,4,3,1,1,2,5,5,,2,,1,0.26
579,"L","10/8/2012 8:18:55",4,"FLORDIA",2,2,,,,,,,,,,,,,,,,2,"EARTH GOES THROUGH CYCLES",2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,3,3,,98,98,,,2,2,1,1,2,5,1,2,2,3,1,0.26
641,"C","10/9/2012 5:07:39",4,"NEW YORK",1,1,1,3,1,1,"FOSSIL FUEL EMISSIONS AND CARBON MONOXIDE",8,1,1,2,2,2,1,2,1,1,,,,,,,4,4,4,4,2,1,2,2,1,1,1,1,1,1,5,3,2,,5,6,3,1,,,5,2,4,4,6,1,0.26
663,"C","10/9/2012 5:34:28",4,"MARYLAND",2,2,,,,,,,,,,,,,,,,4,"NOT SURE",9,4,4,2,1,2,3,2,1,3,3,3,4,4,3,3,4,4,2,3,98,,2,1,2,1,1,98,5,1,2,2,,1,0.26
713,"L","10/9/2012 8:26:21",4,"INDIANA",3,1,1,1,2,2,"PEOPLE WHO I TRUST TELL ME",10,1,2,2,2,2,2,1,2,2,,,,,,,4,4,4,4,4,1,1,1,1,1,1,1,2,2,1,98,98,,1,3,1,1,1,2,5,1,1,4,4,1,0.26
722,"L","10/9/2012 8:34:15",4,"ARKANSAS",2,1,1,3,1,1,"NEWS",6,1,4,1,1,98,1,98,1,1,,,,,,,4,4,3,3,4,2,3,3,4,4,4,4,1,1,1,98,2,,1,4,2,1,1,2,5,2,4,3,6,1,0.26
758,"L","10/9/2012 9:19:21",4,"TEXAS",2,1,2,3,2,3,"NEWS REPORTS",6,3,2,98,98,2,2,4,2,4,,,,,,,4,3,3,3,2,1,1,2,1,98,98,98,4,4,1,4,2,,5,3,3,1,1,98,5,1,1,3,98,1,0.26
767,"L","10/10/2012 8:28:17",4,"NEW YORK",1,2,,,,,,,,,,,,,,,,1,"BEEN TO ICELAND",9,2,1,98,4,4,1,4,3,2,2,2,1,2,1,1,1,2,3,98,98,,3,5,3,1,2,,5,5,1,2,,1,0.26
860,"L","10/11/2012 7:54:38",4,"TEXAS",2,2,,,,,,,,,,,,,,,,1,"TOO MANY NUTS IN THIS WORLD",9,4,4,4,1,1,98,1,1,3,3,3,4,4,4,4,4,4,2,1,98,,98,1,2,1,1,2,5,98,4,1,,1,0.26
881,"L","10/11/2012 8:25:34",4,"CALIFORNIA",4,1,1,3,1,1,"THAWING SOUTH POLE",1,1,1,1,1,2,98,1,1,1,,,,,,,4,4,3,4,4,1,1,1,1,1,1,1,1,1,1,98,2,,1,3,3,1,6,,5,5,1,4,5,1,0.26
54,"C","9/27/2012 5:35:04",4,"NORTH CAROLINA",2,1,2,1,2,1,"GAS EMISSIONS",8,,,,1,98,98,,,,,,,,,,,3,,,4,1,2,3,1,1,98,1,2,2,3,2,1,1,3,6,98,1,1,2,4,1,2,4,3,1,0.29
65,"C","9/27/2012 6:02:30",4,"TEXAS",2,2,,,,,,,,,,,,,,,,1,"LIVED HERE LONG ENOUGH TO SEE THE CYCLE",1,1,3,98,1,98,1,1,98,3,3,3,4,4,2,4,4,4,2,3,1,1,4,1,2,1,1,1,4,6,2,1,,1,0.29
181,"L","9/27/2012 9:25:17",4,"OKLAHOMA",2,2,,,,,,,,,,,,,,,,2,"NORMAL SEASONS",1,2,2,2,1,1,1,1,1,3,3,3,4,4,4,4,4,4,3,98,1,98,3,1,2,1,1,2,4,2,2,2,,1,0.29
239,"C","10/1/2012 8:50:43",4,"CALIFORNIA",4,1,1,98,4,4,"NATURAL CAUSES",9,1,98,98,1,2,4,3,3,4,,,,,,,1,1,1,1,1,3,3,3,1,3,2,2,4,4,2,4,98,,2,2,2,1,2,,4,1,4,3,5,1,0.29
299,"L","10/2/2012 8:46:12",4,"IOWA",3,1,1,1,1,1,"MELTING OF GLACIERS",1,1,2,98,1,1,2,3,1,1,,,,,,,4,4,4,4,4,1,1,2,1,1,1,1,3,3,1,98,2,,1,3,3,1,7,,4,1,1,5,5,1,0.29
347,"L","10/3/2012 8:20:32",4,"GEORGIA",2,2,,,,,,,,,,,,,,,,1,"SCIENTISTS CANNOT AGREE ON IT",3,4,3,1,1,1,1,1,1,3,3,3,4,4,4,4,4,4,2,1,2,,2,1,2,1,1,1,4,1,4,2,,1,0.29
351,"L","10/3/2012 8:26:12",4,"NEW JERSRY",1,1,1,3,1,2,"DATA",4,1,2,2,2,2,2,2,1,2,,,,,,,4,2,4,3,2,1,2,2,1,1,1,1,1,1,1,2,2,,5,4,3,1,6,,4,4,4,3,,1,0.29
359,"L","10/3/2012 8:41:20",4,"NEW JERSEY",1,2,,,,,,,,,,,,,,,,2,"POLITICAL HYPE",7,4,4,1,1,1,1,1,1,3,3,3,4,4,4,4,4,4,2,1,1,1,2,1,2,1,1,1,4,1,2,1,,1,0.29
392,"L","10/4/2012 8:38:09",4,"CALIFORNIA",4,98,,,,,,,,,,,,,,,,,,,,,,98,1,98,98,98,2,2,3,2,98,2,98,3,3,5,2,98,,5,2,3,1,1,2,4,1,2,2,,1,0.29
574,"L","10/8/2012 8:16:33",4,"FLORIDA",2,1,1,1,1,1,"DATA",4,1,4,2,4,2,4,2,4,4,,,,,,,3,4,3,4,4,1,2,3,2,2,1,2,1,1,1,98,98,,1,4,3,1,2,,4,2,1,3,3,1,0.29
656,"C","10/9/2012 5:24:36",4,"PENNSYLVANIA",1,1,1,1,2,2,"HUMAN ACTIVITY AND NATURE",8,2,2,2,3,4,2,1,2,2,,,,,,,4,4,3,3,3,2,2,3,2,2,2,2,2,2,98,98,2,,98,98,1,1,1,2,4,1,4,3,98,1,0.29
660,"C","10/9/2012 5:27:51",4,"NEW YORK",1,1,1,3,1,1,"ICE MELTING",1,1,1,4,4,98,4,1,1,1,,,,,,,4,4,2,98,4,2,2,2,1,1,1,1,1,1,1,98,98,,1,4,98,1,6,,4,1,4,2,4,1,0.29
731,"L","10/9/2012 8:46:37",4,"OHIO",3,2,,,,,,,,,,,,,,,,1,"MONEY TO LINE POLITICIANS POCKETS",7,3,4,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,5,98,98,,5,1,3,1,2,,4,1,2,2,,1,0.29
898,"L","10/11/2012 9:16:06",4,"TEXAS",2,1,1,3,1,1,"TEMPERATURE CHANGES",2,2,2,2,2,2,3,2,2,2,,,,,,,4,4,4,4,4,1,1,2,1,1,1,1,1,1,1,2,1,1,1,4,1,1,2,,4,2,1,5,4,1,0.29
912,"L","10/11/2012 9:42:30",4,"MISSOURI",3,2,,,,,,,,,,,,,,,,1,"EARTHS NATURAL CYCLE",2,2,4,1,1,1,1,1,1,3,3,3,4,4,4,4,4,4,2,98,1,1,3,1,2,1,1,1,4,1,2,1,,1,0.29
101,"L","9/27/2012 7:35:27",4,"ILLINOIS",3,1,1,1,1,1,"ICE CAPS MELTING",1,1,3,2,3,2,3,1,2,3,,,,,,,4,4,4,4,4,1,1,1,1,2,1,2,4,4,2,98,98,,2,6,3,1,1,2,4,1,4,3,2,1,0.39
3,"L","9/26/2012 8:44:31",4,"IOWA",3,98,,,,,,,,,,,,,,,,,,,,,,2,98,2,1,4,1,1,1,1,2,1,1,1,1,1,98,98,,1,6,2,1,1,2,3,1,3,3,4,1,0.44
5,"L","9/26/2012 8:48:48",4,"WASHINGTON",4,2,,,,,,,,,,,,,,,,3,"WEATHER",1,3,3,4,1,1,1,1,1,3,3,3,3,4,4,4,4,4,3,98,1,98,4,2,2,1,1,2,3,1,1,4,3,1,0.44
18,"L","9/26/2012 9:20:20",4,"COLORADO",4,1,2,1,2,2,"INTERNET",6,2,1,2,3,4,2,4,2,4,,,,,,,4,4,98,2,4,2,2,2,1,1,1,1,1,1,3,1,2,,3,5,3,1,2,,3,2,2,3,3,1,0.44
80,"C","9/27/2012 6:37:36",4,"MONTANA",4,1,1,1,1,1,"BIG FACTORIES AND AUTOMOBILES.",8,2,2,2,4,2,98,98,1,2,,,,,,,4,4,4,4,4,1,3,3,1,2,1,1,1,1,1,2,98,,98,3,98,1,1,2,3,1,1,4,6,1,0.44
358,"L","10/3/2012 8:39:06",4,"VIRGINIA",2,98,,,,,,,,,,,,,,,,,,,,,,3,98,1,3,4,2,2,3,2,2,2,2,1,2,1,3,2,,1,2,3,1,1,98,,3,2,2,,1,0.44
375,"L","10/4/2012 8:11:55",4,"NORTH CAROLINA",2,1,1,1,1,1,"RISING OF SEA LEVE",11,1,1,1,2,2,2,1,1,1,,,,,,,4,4,4,4,4,1,1,1,1,1,1,1,1,1,5,98,2,,5,3,1,1,1,2,3,2,1,4,5,1,0.44
385,"L","10/4/2012 8:26:24",4,"MINNESOTA",3,1,1,1,1,1,"WARMER WEATHER",2,1,1,1,1,1,1,1,1,1,,,,,,,4,4,4,4,4,1,1,2,1,1,1,1,2,2,1,98,98,,2,3,2,1,1,2,3,2,1,3,3,1,0.44
479,"L","10/8/2012 6:22:23",4,"ILLINOIS",3,1,2,2,4,4,"NATURAL REASON",9,3,3,4,4,4,3,3,3,3,,,,,,,1,1,1,1,1,3,3,3,4,4,2,3,4,4,2,1,98,,2,2,2,1,98,,3,1,4,3,,1,0.44
550,"L","10/8/2012 7:49:38",4,"NEW YORK",1,1,2,3,3,2,"WEATHER AND ALL MODERN THINGS",3,2,2,2,2,3,2,2,2,2,,,,,,,3,2,2,3,1,2,2,2,1,1,1,2,2,2,4,98,98,,4,2,2,1,1,2,3,1,1,3,4,1,0.44
552,"L","10/8/2012 7:52:04",4,"OHIO",3,1,1,3,1,1,"ALASKA IS MELTING",1,1,2,4,4,2,2,3,2,2,,,,,,,4,3,3,3,3,1,1,1,1,1,1,1,1,1,1,98,1,98,1,3,3,1,,,,2,,,,1,0.44
560,"L","10/8/2012 7:58:32",4,"TEXAS",2,1,1,1,1,1,"SCIENTIFC STUDIES",4,1,1,1,1,1,2,1,1,1,,,,,,,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,98,1,98,1,6,3,1,7,,3,1,4,2,4,1,0.44
570,"L","10/8/2012 8:08:09",4,"WASHINGTON",4,98,,,,,,,,,,,,,,,,,,,,,,4,3,3,1,1,2,2,2,1,4,1,2,4,4,5,2,2,,6,3,3,1,6,,3,5,1,2,3,1,0.44
601,"L","10/8/2012 8:48:51",4,"FLORIDA",2,2,,,,,,,,,,,,,,,,1,"EARTH HAS A LONG HISTORY, AND THIS IS A NORMAL THING",2,3,4,4,1,98,2,1,3,3,3,3,1,3,1,1,4,4,2,98,98,,4,1,2,1,1,1,3,1,4,1,3,1,0.44
644,"C","10/9/2012 5:10:07",4,"PENNSYLVANIA",1,1,1,1,1,2,"POLLUTION",8,3,4,2,2,2,2,2,1,1,,,,,,,3,1,2,3,1,1,1,1,2,2,1,1,98,1,98,98,98,,98,98,98,1,98,,98,98,98,98,,1,0.44
759,"L","10/9/2012 9:20:17",4,"MISSOURI",3,98,,,,,,,,,,,,,,,,,,,,,,1,1,98,3,4,2,2,2,1,2,1,1,3,4,2,4,98,,2,1,2,1,98,,3,1,4,1,3,1,0.44
853,"L","10/11/2012 7:44:52",4,"TEXAS",2,1,1,2,3,3,"HISTORY",10,1,1,4,3,4,2,1,2,2,,,,,,,4,4,4,4,1,3,3,3,2,3,1,2,4,4,3,98,98,,3,3,2,1,6,,3,1,1,3,3,1,0.44
868,"L","10/11/2012 8:04:19",4,"OHIO",3,1,1,3,1,1,"MILDER WINTERS",2,2,1,2,2,3,1,2,2,2,,,,,,,4,3,2,2,2,1,2,2,1,2,2,2,3,3,1,98,98,,1,2,2,1,1,1,3,1,1,3,,1,0.44
913,"L","10/11/2012 9:44:13",4,"ILLINOIS",3,1,1,1,1,1,"WARMEST SUMMER I HAVE EVER HAD",2,1,1,4,3,4,3,1,2,3,,,,,,,4,4,4,4,4,1,1,1,1,1,1,1,2,4,2,98,98,,2,2,2,1,1,2,3,1,4,2,3,1,0.44
264,"L","10/1/2012 9:35:00",4,"MISSOURI",3,1,1,3,2,2,"OZONE LAYER",10,2,3,1,1,2,1,4,4,3,,,,,,,4,98,3,4,1,2,2,3,4,4,1,1,1,4,1,2,2,,1,5,1,10,2,,5,5,2,2,6,1,0.44
870,"L","10/11/2012 8:06:53",4,"LOUISIANA",2,1,2,1,1,1,"POLLUTION",8,2,3,3,3,3,2,2,2,2,,,,,,,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,98,1,3,1,2,3,10,2,,5,5,,,,1,0.44
302,"L","10/2/2012 8:56:27",4,"VIRGINIA",2,1,2,3,2,1,"EDUCATIONAL TELEVISION",6,1,3,4,3,98,2,4,2,4,,,,,,,1,2,3,1,3,1,1,1,1,,1,2,3,3,98,98,98,,98,98,2,1,6,,4,1,2,2,1,1,0.47
7,"L","9/26/2012 8:52:45",4,"PENNSYLVANIA",1,1,1,1,1,1,"ALASKA ICEBERGS ARE MELTING",1,1,1,98,1,98,2,98,2,1,,,,,,,3,3,4,3,98,3,1,1,2,3,2,3,3,4,2,98,1,1,3,1,2,1,1,2,2,1,,,,1,0.47
16,"L","9/26/2012 9:18:01",4,"UTAH",4,2,,,,,,,,,,,,,,,,1,"WE ARE NOT THAT WARM THAT OFTEN",1,1,2,2,3,3,3,1,1,2,3,3,3,1,4,4,1,1,6,3,2,,5,1,2,1,6,,2,3,2,1,4,1,0.47
24,"L","9/26/2012 9:39:31",4,"WISCONSIN",3,1,2,2,1,2,"RECEDING GLACIERS",1,1,2,2,2,2,2,1,1,2,,,,,,,2,1,1,1,4,1,1,1,1,1,2,2,2,2,5,1,2,,5,2,1,1,1,1,2,1,4,3,3,1,0.47
34,"L","9/26/2012 9:55:20",4,"kANSAS",3,1,3,2,3,3,"WEATHER",3,3,2,2,3,3,2,4,2,3,,,,,,,1,2,3,1,2,3,3,3,4,4,4,4,4,4,1,2,98,,1,1,2,1,1,1,2,1,2,3,5,1,0.47
43,"C","9/27/2012 5:17:48",4,"LOUISIANA",2,2,,,,,,,,,,,,,,,,2,"TEMPERATURES",1,1,4,1,2,2,1,1,4,3,2,3,1,4,1,1,1,2,3,2,98,,3,1,2,10,2,,4,5,2,2,3,1,0.47
52,"C","9/27/2012 5:34:05",4,"OKLAHOMA",2,2,,,,,,,,,,,,,,,,2,"OWN RESEARCH",1,2,3,2,1,2,1,1,2,3,1,3,4,4,1,3,3,4,1,98,2,,5,1,1,1,1,1,2,5,2,2,6,1,0.47
95,"L","9/27/2012 7:26:32",4,"NEW JERSEY",1,98,,,,,,,,,,,,,,,,,,,,,,3,3,2,2,2,2,2,2,2,2,2,2,3,2,5,98,2,,1,2,3,1,1,1,2,1,4,3,3,1,0.47
108,"L","9/27/2012 7:42:51",4,"CALIFORNIA",4,1,1,1,1,1,"EARTHQUAKES AND OTHER DISASTERS",10,1,3,3,1,3,3,1,3,1,,,,,,,4,4,4,4,4,1,1,1,1,2,1,1,2,4,1,98,98,,1,2,3,1,2,,2,1,2,1,3,1,0.47
122,"L","9/27/2012 7:57:57",4,"NEW YOK",1,1,2,3,2,1,"OZONE LAYER IS DISAPEARING",10,2,1,1,2,2,1,2,2,2,,,,,,,98,3,3,3,3,2,2,3,3,2,1,2,4,3,1,98,2,,1,2,3,1,2,,2,2,4,2,,1,0.47
155,"L","9/27/2012 8:40:47",4,"MASSACHUSETTS",1,1,1,1,1,1,"POLAR ICE CAPS",1,1,2,2,2,2,2,2,2,2,,,,,,,3,4,4,3,4,1,1,2,1,2,1,2,1,2,1,98,1,98,1,2,1,1,1,2,2,1,1,3,,1,0.47
390,"L","10/4/2012 8:35:45",4,"WASHINGTON",4,1,1,1,1,1,"OZONE LAYER",10,2,3,3,2,2,3,98,2,2,,,,,,,3,3,3,3,3,1,1,2,2,2,2,2,1,1,1,98,1,98,1,2,3,1,1,2,2,2,1,5,,1,0.47
425,"C","10/4/2012 9:40:18",4,"ILLINOIS",3,2,,,,,,,,,,,,,,,,1,"IT IS ALL A HOAX",9,2,4,1,1,1,1,1,1,3,3,3,4,4,4,4,4,4,2,98,98,,2,1,2,1,1,2,2,1,2,1,,1,0.47
452,"C","10/8/2012 5:37:09",4,"TEXAS",2,1,1,1,2,1,"HUMAN ACTIVITY",8,1,2,2,3,2,3,1,1,1,,,,,,,1,4,2,4,4,2,2,2,2,2,1,2,2,2,98,3,2,,2,3,2,1,1,2,2,1,4,1,,1,0.47
559,"L","10/8/2012 7:58:06",4,"NORTH CAROLINA",2,1,1,1,1,1,"NEW TEMPERATURE RECORDS",2,1,1,2,4,2,4,1,2,2,,,,,,,4,1,2,4,4,1,1,1,1,1,1,1,1,1,98,1,2,,6,4,1,1,1,2,2,6,1,4,5,1,0.47
614,"C","10/8/2012 9:11:32",4,"ARIZONA",4,2,,,,,,,,,,,,,,,,1,"A BUNCH OF BOLOGNA",9,3,4,4,1,1,1,1,1,3,3,3,4,4,4,4,4,4,2,98,1,98,2,1,2,1,1,2,2,1,2,3,,1,0.47
647,"C","10/9/2012 5:15:09",4,"NEW JERSEY",1,1,2,2,2,3,"WEATER",3,4,4,4,4,4,4,2,2,4,,,,,,,2,2,2,2,1,2,3,3,4,4,4,4,4,4,2,3,2,,5,1,2,1,2,,2,2,4,2,6,1,0.47
787,"L","10/10/2012 8:59:23",4,"NEW HAMPSHIRE",1,1,98,3,2,2,"POLLUTION",8,2,2,2,3,98,2,1,1,1,,,,,,,1,1,3,1,4,1,1,2,2,1,4,4,98,98,98,3,1,2,5,2,2,1,6,,2,1,4,2,6,1,0.47
826,"C","10/11/2012 7:06:15",4,"NORTH CAROLINA",2,1,1,1,1,1,"CRAZY WEATHER CHANGES",3,2,1,3,3,2,1,2,2,2,,,,,,,3,3,3,3,3,1,1,1,2,2,2,2,2,2,1,1,1,1,1,3,1,10,6,,4,5,4,3,,1,0.47
27,"L","9/26/2012 9:43:48",3,"LOUISIANA",2,1,2,2,2,3,"WEATHER",3,2,2,2,2,3,3,3,2,2,,,,,,,3,1,1,1,1,3,3,3,1,1,1,2,3,4,3,2,2,,3,6,1,1,2,,5,3,2,1,6,1,0.48
32,"L","9/26/2012 9:52:40",3,"ORGEGON",4,98,,,,,,,,,,,,,,,,,,,,,,2,3,3,2,1,2,2,3,2,2,3,3,4,4,2,98,98,,2,98,2,1,6,,5,5,2,2,6,1,0.48
42,"C","9/27/2012 5:17:18",3,"PENNSYLVANIA",1,1,3,2,3,3,"CHANGES IN THE SUN. CYCLICAL PATTERNS IN THE CLIMATE.",9,3,3,4,4,4,2,4,4,4,,,,,,,1,1,1,1,2,3,3,2,4,4,3,4,4,4,5,98,1,98,5,1,2,1,2,,5,6,2,1,4,1,0.48
81,"C","9/27/2012 6:43:27",3,"NEW YORK",1,1,1,1,2,2,"ATMOSPHERIC SCIENTIST",4,2,3,2,4,1,3,3,3,3,,,,,,,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,98,98,,1,5,1,1,6,,5,5,4,4,6,1,0.48
231,"C","10/1/2012 8:39:22",3,"NEW JERSEY",1,1,1,1,1,2,"READING",6,1,2,1,2,1,2,2,2,2,,,,,,,4,3,4,3,4,1,1,1,1,2,1,2,1,2,5,4,1,1,1,2,2,1,1,2,5,3,1,4,5,1,0.48
232,"C","10/1/2012 8:41:05",3,"WISCONSIN",3,1,2,2,3,3,"MEDIA",6,2,3,2,3,4,3,2,2,2,,,,,,,3,1,1,1,2,2,2,2,4,4,4,4,4,4,3,98,98,,3,1,3,1,1,1,5,5,2,2,6,1,0.48
241,"C","10/1/2012 8:56:33",3,"NEW YORK",1,1,1,3,1,2,"FACT THAT FOSSIL FUELS CARBON EMMISIONS GO UNCHECKED FOR YEARS",8,1,1,98,98,2,4,2,98,98,,,,,,,4,4,98,4,1,1,1,2,1,1,1,1,1,1,1,98,98,,1,4,3,1,7,,5,5,4,3,,1,0.48
362,"L","10/3/2012 8:47:19",3,"NEW JERSEY",1,2,,,,,,,,,,,,,,,,2,"HAVE NOT SEEN A DRAMATIC CHANGE IN YOUR LIFE THAT WOULD SEEM GLOBAL",1,2,4,3,2,2,2,1,2,3,3,3,4,4,98,4,4,4,4,1,98,,1,3,2,1,2,,5,1,4,2,,1,0.48
369,"L","10/3/2012 8:56:27",3,"SOUTH CAROLINA",2,1,2,2,3,3,"STORMS",3,1,3,3,1,3,3,3,4,4,,,,,,,4,1,1,1,1,2,2,2,4,4,1,1,4,4,5,98,98,,5,1,3,1,1,2,5,1,4,3,4,1,0.48
