"RespNum","Sample","Date","demog_age_list","demog_state","demog_state_region","gw_belief","believer_confidence","believer_cause","believer_factor_open","believer_factor_open_coded","believer_factor_glaciers","believer_factor_warmer","believer_factor_models","believer_factor_hurricane","believer_factor_mildwint","believer_factor_polarbrs","believer_factor_droughts","believer_factor_extremes","nonbeliever_confidence","nonbeliever_factor_open","nonbeliever_factor_open_coded","nonbeliever_factor_weath","nonbeliever_factor_scievid","nonbeliever_factor_distort","gw_concern","ccvsgw_concern","intl_support_v2","intl_support_china_v2","intl_kyotoknowldg","state_fftax_nocost","state_fftax_cost10pct","state_captrade","state_captrade_cost10pct","state_rps_v2","state_rps_v2_cost100","state_gastax_nocost","state_gastax_cost25cpg","captrade_knowldg","captrade_support_v1","captrade_cost15dol","carbontax_support","carbontax_cost15dol","carbontax_rev4research_v2","carbontax_revneutral_v2","coalfpp_support","coalfpp_support_Obama","carbontax_partisan1","carbontax_partisan2","carbontax_partisan3","carbontax_partisan4","carbontax_partisan5","carbontax_partisan_support","carbontax_partisan_oppose","willing2pay_list","willing2pay_open","willing2pay_open_coded","govt_nostateaction","state_rps_economy","state_neighborsact","state_impactsfelt","fed_moralobligation","pipelines_support","demog_race","demog_relig","demog_relig_evang","demog_edu","demog_news","demog_polparty","demog_polviews","demog_persfinance","demog_income","demog_gender","weight"
351,"l","10/10/2013 5:46:37",2,"NY",1,1,1,3,"MELTING OF ICE CAPS",1,1,1,1,1,1,1,1,1,,,,,,,,1,,1,1,3,,2,,,2,,4,3,98,2,98,98,2,,2,,,,98,,,,,,"NOT SURE",98,2,2,3,2,98,2,10,6,,5,5,1,4,3,6,1,1.1
352,"l","10/10/2013 5:49:44",3,"OH",3,1,98,2,"WEATHER IS DIFFERENT",3,2,2,98,98,1,98,2,1,,,,,,,,4,,5,2,3,,4,,,4,,4,3,4,4,4,2,3,,4,,,,2,,,,1,,"0",1,1,2,4,2,3,3,1,2,,2,1,4,3,3,2,1,0.72
353,"l","10/10/2013 5:53:10",4,"PA",1,2,,,,,,,,,,,,,1,"NOT SURE",9,1,2,3,,3,,4,98,4,,4,,,4,,4,98,4,4,98,98,4,,4,,,,98,,,,,,"0",1,4,4,1,98,98,98,1,1,1,4,1,2,2,3,4,2,0.597
354,"l","10/10/2013 5:56:25",4,"FL",2,2,,,,,,,,,,,,,2,"CYCLES",2,4,3,4,,3,,5,2,4,,98,,,4,,4,2,4,4,4,4,4,,4,,,,2,,,,1,,"0",1,4,98,98,4,98,1,1,1,,3,1,2,2,3,3,2,0.747
355,"l","10/10/2013 5:59:49",3,"NY",1,1,3,3,"WEATHER",3,1,2,2,1,3,1,1,1,,,,,,,,1,,1,1,,,2,,,1,,3,3,4,3,4,4,2,,3,,,,2,,,,2,,"0",1,2,2,2,2,3,4,1,1,2,5,4,4,3,2,6,1,0.57
356,"l","10/10/2013 6:03:13",4,"SC",2,98,,,,,,,,,,,,,,,,,,,,4,,5,98,4,,4,,,4,,4,3,98,4,4,4,4,,4,,,,2,,,,2,,"0",1,3,3,98,3,98,98,1,1,2,1,1,98,98,2,1,2,1.217
357,"l","10/10/2013 6:05:46",4,"MI",3,1,2,3,"WHAT I SEE OUTSIDE",2,2,1,4,3,2,2,3,2,,,,,,,,3,,2,2,3,,2,,,3,,4,2,2,4,4,4,4,,4,,,,2,,,,1,,"0",1,4,2,2,4,4,2,1,6,,4,1,4,3,3,1,1,0.24
358,"l","10/10/2013 6:07:41",3,"PA",1,2,,,,,,,,,,,,,1,"SCIENTIFIC FACT",5,2,1,1,,3,,4,2,4,,2,,,3,,4,2,4,4,4,4,4,,4,,,,3,,,,,,"0",1,4,4,4,4,4,3,1,2,,3,5,2,1,3,5,1,0.69
359,"l","10/10/2013 6:09:19",3,"FL",2,1,2,3,"WEATHER CHANGES",3,1,4,3,2,4,2,2,2,,,,,,,,2,,2,98,3,,98,,,2,,4,3,98,3,98,3,98,,98,,,,98,,,,,,"$25",2,2,2,3,3,98,2,2,1,2,2,1,4,3,1,,2,1.467
360,"l","10/10/2013 6:09:30",3,"NC",2,98,,,,,,,,,,,,,,,,,,,,2,,2,98,4,,4,,,3,,4,3,98,98,4,98,98,,98,,,,3,,,,,,"$100",3,2,2,3,2,2,1,1,1,1,3,1,2,2,2,2,2,0.967
361,"l","10/10/2013 6:11:38",3,"VA",2,1,2,2,"THE NATURAL WAY THINGS GO OVER THE CENTURIES",9,2,2,3,2,2,3,2,1,,,,,,,,2,,2,1,4,,3,,,2,,4,2,2,2,4,4,2,,2,,,,1,,,3,,,"$50",2,98,2,2,2,2,1,1,1,1,4,2,2,2,2,3,2,0.817
362,"l","10/10/2013 6:16:37",3,"PA",1,2,,,,,,,,,,,,,1,"GOD IS IN CONTROL",6,2,2,1,,3,,5,98,4,,3,,,4,,4,3,98,4,4,4,98,,4,,,,2,,,,1,,"0",1,4,3,4,3,98,1,1,2,,3,1,2,2,2,,1,0.69
363,"l","10/10/2013 6:17:14",4,"WV",2,1,1,2,"NOT SURE",10,3,1,1,1,3,98,1,98,,,,,,,,1,,1,2,3,,4,,,98,,98,3,4,98,98,98,98,,4,,,,1,,,3,,,"0",1,1,1,4,4,4,3,1,1,2,4,1,2,3,3,2,2,0.597
364,"l","10/10/2013 6:17:48",2,"KY",2,1,1,98,"WEATHER CHANGES",3,2,1,4,1,4,3,3,1,,,,,,,,2,,3,2,2,,1,,,1,,3,2,2,1,3,4,2,,3,,,,3,,,,,,"$300",5,2,4,4,2,2,1,1,1,2,4,5,4,2,1,6,1,0.98
365,"l","10/10/2013 6:20:00",4,"TX",2,2,,,,,,,,,,,,,2,"NOTHING HAS CHANGED HERE",1,1,4,4,,4,,2,2,4,,4,,,2,,4,3,98,98,4,4,2,,2,,,,1,,,2,,,"$10",2,98,2,4,4,3,1,9,2,,2,1,1,4,2,2,1,1.55
366,"l","10/10/2013 6:20:16",1,"IN",3,1,1,3,"NEWS",6,1,1,1,3,1,3,3,3,,,,,,,,2,,1,98,2,,2,,,3,,3,2,98,98,3,3,2,,3,,,,2,,,,98,,"$500",5,2,2,3,1,2,3,1,2,,5,5,4,98,3,,2,1.467
367,"l","10/10/2013 6:21:12",3,"NM",4,2,,,,,,,,,,,,,3,"IT IS TOO COLD",1,1,4,4,,4,,5,2,4,,3,,,4,,4,3,4,4,4,4,4,,4,,,,2,,,,1,,"0",1,4,98,2,4,4,1,10,6,,2,1,2,1,2,1,2,1.067
368,"l","10/10/2013 6:24:06",4,"MA",1,2,,,,,,,,,,,,,1,"PLENTY COLD IN MY STATE WINTERS, ARE STILL COLD AND LONG",1,1,4,4,,4,,3,2,4,,4,,,3,,4,1,4,4,4,4,4,,4,,,,2,,,,2,,"0",1,4,98,2,4,4,1,1,2,,4,1,1,3,2,3,1,0.32
369,"l","10/10/2013 6:24:07",2,"NY",1,1,1,1,"MELTING ICEBERGS",1,1,2,2,2,2,2,2,2,,,,,,,,1,,1,1,2,,2,,,1,,3,1,1,1,2,1,1,,2,,,,2,,,,2,,"$100",3,2,2,3,2,1,2,1,,,4,2,1,4,1,,1,0.92
370,"l","10/10/2013 6:26:28",4,"FL",2,2,,,,,,,,,,,,,1,"STATISTICS AND HISTORY",5,4,1,1,,4,,5,2,4,,4,,,4,,4,1,4,4,4,4,4,,4,,,,3,,,,,,"0",1,4,4,4,4,4,1,1,2,,4,5,3,1,2,,1,0.32
371,"l","10/10/2013 6:29:55",3,"UT",4,2,,,,,,,,,,,,,1,"LIVING IT",1,1,1,1,,3,,5,2,4,,2,,,4,,4,3,2,4,4,4,2,,3,,,,3,,,,,,"$100",3,2,98,1,4,4,1,1,6,,3,5,2,2,2,4,2,0.967
372,"l","10/10/2013 6:32:37",2,"LA",2,2,,,,,,,,,,,,,2,"FROM WHAT I HEAR IT IS COOLING NOT WARMING",5,1,4,3,,4,,4,98,4,,3,,,3,,3,2,4,4,1,4,3,,4,,,,2,,,,1,,"NOT SURE",98,98,2,98,98,4,1,1,1,2,4,2,2,1,,,2,1.197
373,"l","10/10/2013 6:33:27",3,"MO",3,2,,,,,,,,,,,,,2,"THINGS I HAVE READ",5,1,4,4,,4,,5,2,4,,3,,,4,,4,2,98,4,4,4,4,,4,,,,2,,,,2,,"0",1,4,4,2,4,3,1,1,1,2,3,1,4,2,2,3,1,0.69
374,"l","10/10/2013 6:34:54",4,"MO",3,98,,,,,,,,,,,,,,,,,,,,3,,3,98,4,,98,,,4,,4,3,98,3,4,3,4,,98,,,,2,,,,1,,"0",1,4,3,98,3,98,98,1,1,1,4,1,4,3,3,,1,0.32
375,"l","10/10/2013 6:36:58",4,"FL",2,98,,,,,,,,,,,,,,,,,,,,3,,4,2,4,,98,,,4,,4,3,3,4,4,4,4,,4,,,,2,,,,1,,"0",1,3,98,1,98,3,2,1,1,2,2,1,1,4,2,2,2,0.777
376,"l","10/10/2013 6:41:24",2,"NJ",1,1,2,1,"NEVER ANY WINTERS",3,1,1,3,1,1,2,2,2,,,,,,,,1,,2,98,3,,98,,,3,,4,2,98,3,98,3,1,,98,,,,2,,,,2,,"$50",2,2,2,2,1,2,2,9,2,,4,5,4,4,1,,1,1.97
377,"l","10/10/2013 6:43:28",3,"IL",3,2,,,,,,,,,,,,,2,"1985 AND 1992 WERE HOTTER THAN NOW",5,1,4,4,,4,,5,2,4,,4,,,4,,4,3,4,4,4,3,2,,4,,,,1,,,1,,,"0",1,4,2,2,4,4,1,2,6,,3,5,4,2,2,2,1,1.16
378,"l","10/10/2013 6:49:01",3,"MT",4,2,,,,,,,,,,,,,2,"TEMPERATURES IN MY AREA",1,3,3,3,,3,,3,98,3,,4,,,2,,4,2,3,3,3,2,2,,98,,,,3,,,,,,"0",1,2,2,3,3,3,1,1,1,2,3,1,4,3,3,5,1,0.69
379,"l","10/10/2013 6:51:38",2,"NJ",1,98,,,,,,,,,,,,,,,,,,,,3,,1,98,2,,3,,,1,,4,3,98,98,4,3,1,,1,,,,2,,,,3,,"$100",3,2,2,3,3,2,4,9,7,,4,5,4,3,1,6,1,2.03
380,"l","10/10/2013 7:08:43",4,"IN",3,1,2,3,"ICE MELTING",1,1,3,4,2,3,2,2,2,,,,,,,,2,,2,1,2,,2,,,2,,2,2,2,2,2,2,1,,2,,,,3,,,,,,"$50",2,3,2,2,2,2,2,1,6,,2,1,,,2,,1,0.5
381,"l","10/10/2013 7:10:14",2,"MA",1,2,,,,,,,,,,,,,2,"NATURAL PATTERNS",2,1,4,4,,4,,1,2,4,,4,,,1,,4,2,1,4,4,4,2,,2,,,,1,,,1,,,"$500",5,2,2,3,3,2,1,1,6,,4,5,4,3,3,4,1,0.92
382,"l","10/10/2013 7:11:03",4,"NY",1,1,2,2,"THE SUN IS GETTING CLOSER TO THE EARTH",10,4,2,2,2,3,98,4,2,,,,,,,,2,,2,98,3,,98,,,98,,4,3,98,98,4,4,98,,3,,,,98,,,,,,"NOT SURE",98,98,98,98,2,98,2,1,1,2,2,2,2,1,2,,2,0.777
383,"l","10/10/2013 7:15:10",2,"CA",4,2,,,,,,,,,,,,,2,"RESEARCH",5,1,1,1,,4,,3,2,3,,2,,,4,,4,2,2,4,3,4,2,,3,,,,3,,,,,,"$50",2,3,2,2,4,2,2,1,1,2,3,1,4,3,2,2,1,1.07
384,"l","10/10/2013 7:15:43",2,"CA",4,1,2,2,"MOON HAS CAUSED PULL OF HIGHER TIDES",10,2,1,2,3,3,2,2,2,,,,,,,,2,,2,1,4,,2,,,2,,4,2,2,2,4,4,2,,98,,,,3,,,,,,"$75",3,3,2,2,2,1,1,9,2,,4,5,1,5,3,4,1,1.97
385,"l","10/10/2013 7:15:50",2,"GA",2,1,1,1,"WEATHER CHANGES",3,2,3,3,3,2,3,2,2,,,,,,,,1,,2,2,2,,2,,,2,,3,1,1,2,3,2,1,,2,,,,3,,,,,,"NOT SURE",98,2,2,3,3,2,2,10,2,,3,1,4,3,3,,1,1.22
386,"l","10/10/2013 7:17:44",4,"FL",2,1,2,1,"TREES COMING DOWN",10,2,1,4,2,2,3,2,2,,,,,,,,2,,3,98,2,,2,,,3,,3,3,2,3,3,3,2,,2,,,,3,,,,,,"0",1,2,3,3,3,2,1,1,6,,2,2,2,2,1,3,2,0.777
387,"l","10/10/2013 7:18:33",4,"CA",4,98,,,,,,,,,,,,,,,,,,,,3,,2,98,3,,98,,,4,,4,3,2,4,4,4,4,,4,,,,2,,,,2,,"0",1,4,98,2,4,3,2,1,1,2,3,1,4,4,3,3,2,0.747
388,"l","10/10/2013 7:22:25",2,"HI",4,1,2,1,"TOO MUCH NUCLEAR TESTING DESTROYING THE ATMOSPHERE",8,1,1,1,1,3,2,2,1,,,,,,,,1,,1,1,4,,4,,,1,,4,3,98,2,4,4,2,,3,,,,2,,,,1,,"$100",3,2,2,3,1,2,2,10,6,,5,5,4,5,3,4,1,1.04
389,"l","10/10/2013 7:23:05",3,"IN",3,1,2,3,"ALL THE NATURAL DISASTERS",3,2,2,3,1,3,2,2,1,,,,,,,,1,,1,98,2,,2,,,2,,3,2,2,2,2,2,1,,2,,,,1,,,2,,,"$100",3,1,2,2,1,1,1,1,1,2,4,1,4,2,3,2,2,0.817
390,"l","10/10/2013 7:24:16",2,"LA",2,2,,,,,,,,,,,,,1,"DATA",5,2,2,1,,3,,5,2,4,,4,,,4,,4,1,4,4,4,4,4,,4,,,,2,,,,1,,"0",1,4,4,4,4,4,1,1,1,98,5,1,1,1,2,4,1,0.89
391,"l","10/10/2013 7:27:33",1,"CO",4,2,,,,,,,,,,,,,2,"STEADY TEMPERATURES THROUGOUT THE  YEARS",1,1,4,4,,4,,3,98,4,,4,,,2,,4,2,3,3,4,4,2,,2,,,,2,,,,1,,"0",1,4,1,3,4,3,3,1,1,2,3,2,2,1,3,,2,1.647
392,"l","10/10/2013 7:28:05",4,"IN",3,98,,,,,,,,,,,,,,,,,,,,4,,3,98,4,,4,,,4,,4,2,4,4,4,4,2,,4,,,,2,,,,2,,"0",1,4,98,2,4,2,2,1,1,2,2,1,1,3,2,2,2,0.777
393,"l","10/10/2013 7:34:26",3,"CA",4,98,,,,,,,,,,,,,,,,,,,,3,,2,2,2,,2,,,3,,4,2,2,3,3,3,2,,3,,,,2,,,,2,,"0",1,3,2,2,3,2,2,1,6,,3,2,4,3,3,2,2,0.967
394,"l","10/10/2013 7:34:59",1,"CA",4,1,1,2,"EARTHS OZONE LAYER IS GETTING THINNER",10,1,1,2,2,3,2,1,1,,,,,,,,2,,2,1,4,,2,,,2,,4,2,2,2,3,3,2,,2,,,,3,,,,,,"$25",2,4,1,2,2,2,1,10,6,,4,5,2,1,2,,1,1.37
395,"l","10/10/2013 7:35:44",2,"TN",2,98,,,,,,,,,,,,,,,,,,,,4,,5,98,4,,4,,,4,,4,2,3,4,3,3,3,,3,,,,98,,,,,,"0",1,3,3,98,4,3,2,2,1,1,3,1,2,1,3,,2,1.817
396,"l","10/10/2013 7:43:00",3,"IL",3,2,,,,,,,,,,,,,2,"TOO MANY FACTORS TO MENTION",8,1,2,2,,3,,3,98,4,,4,,,4,,4,3,98,98,4,3,3,,3,,,,3,,,,,,"0",1,4,3,2,4,3,2,10,1,2,2,2,1,4,2,2,1,0.87
397,"l","10/10/2013 7:47:37",4,"FL",2,1,2,2,"GOD",12,3,2,3,1,2,2,2,1,,,,,,,,2,,3,98,2,,2,,,4,,3,3,98,3,3,4,98,,2,,,,3,,,,,,"0",1,3,98,3,3,2,2,1,2,,3,1,2,2,3,3,1,0.47
398,"l","10/10/2013 7:48:32",3,"IL",3,1,2,3,"MANS MISUSE OF FOSSIL FUELS AND SOME NATURAL TRENDSTHROUGH THE YEARS",8,2,3,3,3,2,3,1,1,,,,,,,,2,,2,98,3,,3,,,3,,4,3,3,3,4,4,3,,3,,,,1,,,1,,,"0",1,4,2,3,2,2,2,1,2,,4,1,1,4,3,4,1,0.54
399,"l","10/10/2013 7:49:10",4,"NJ",1,1,2,3,"JUST HEARD ABOUT THIS ON RADIO",6,2,2,3,2,2,2,3,2,,,,,,,,1,,1,1,3,,3,,,1,,4,2,2,3,3,3,2,,3,,,,3,,,,,,"0",1,2,2,2,2,1,2,1,6,,4,1,1,5,2,,2,0.597
400,"l","10/10/2013 7:49:12",4,"OH",3,1,1,3,"THE TREES AND GRASS, JUST NATURE",14,1,2,2,2,2,2,2,2,,,,,,,,2,,1,2,1,,2,,,1,,98,1,1,3,3,3,2,,2,,,,1,,,2,,,"$200",4,2,98,4,2,2,4,1,2,,1,1,1,3,2,,1,1.02
401,"l","10/10/2013 7:50:40",2,"MA",1,2,,,,,,,,,,,,,1,"SCIENCE REPORTS ARE FALSE",5,4,3,1,,2,,4,98,4,,4,,,4,,3,2,98,98,4,4,2,,3,,,,2,,,,2,,"$100",3,2,4,3,3,2,2,1,1,1,5,5,4,2,3,,1,0.89
402,"l","10/10/2013 7:51:58",3,"NC",2,1,2,98,"EXPERIENCE",2,2,2,2,2,2,2,3,2,,,,,,,,1,,5,98,4,,3,,,4,,4,3,98,4,4,4,2,,4,,,,2,,,,1,,"0",1,2,98,2,4,1,1,2,6,,3,1,98,3,3,,2,1.437
403,"l","10/10/2013 7:54:40",3,"MN",3,1,1,1,"READING",6,1,3,2,2,3,2,2,2,,,,,,,,1,,1,2,2,,2,,,3,,4,2,2,2,2,2,2,,2,,,,98,,,,,,"$100",3,1,2,98,3,2,3,1,,,2,1,1,3,2,,1,0.72
404,"l","10/10/2013 7:55:22",3,"PA",1,2,,,,,,,,,,,,,2,"LIFE HAS GONE IN CYCLES OVER THE LAST 2000 YRS",2,4,4,4,,4,,1,1,4,,4,,,4,,4,3,4,4,4,4,4,,4,,,,3,,,,,,"0",1,4,4,4,4,4,1,1,1,2,4,2,2,1,,,2,0.817
405,"l","10/10/2013 8:01:34",3,"OR",4,98,,,,,,,,,,,,,,,,,,,,3,,3,98,3,,3,,,3,,3,3,98,4,4,4,4,,4,,,,98,,,,,,"0",1,4,4,4,4,4,2,1,,,4,1,98,98,2,2,2,0.817
406,"l","10/10/2013 8:02:12",3,"IN",3,2,,,,,,,,,,,,,98,"RESEARCH",5,1,3,1,,2,,3,98,4,,98,,,4,,3,3,4,98,4,98,2,,4,,,,98,,,,,,"0",1,,,98,98,2,4,,,,,,,,,,2,1.117
407,"l","10/10/2013 8:07:49",3,"WA",4,1,1,1,"HORRIBLE STORMS COMING FROM DEEP SPACE",3,1,3,2,1,3,2,2,1,,,,,,,,2,,2,98,4,,4,,,3,,4,2,3,2,3,3,2,,2,,,,1,,,1,,,"$10",2,4,2,98,4,3,2,1,1,2,2,1,1,3,2,1,2,0.917
408,"l","10/10/2013 8:15:34",2,"KS",3,1,1,1,"SUMMERS ARE HOTTER, WINTERS NOT AS COLD",2,2,1,3,3,1,2,2,3,,,,,,,,2,,1,2,4,,2,,,3,,4,2,2,4,2,3,2,,3,,,,3,,,,,,"$100",3,2,3,2,2,98,3,1,6,,2,5,1,4,1,2,1,1.1
409,"l","10/10/2013 8:23:43",2,"CA",4,1,2,2,"STORMS WASHING BEACHES AWAY WITH THE HIGH TIDES",3,2,1,2,2,2,2,1,1,,,,,,,,2,,1,1,4,,2,,,2,,3,2,2,2,3,3,2,,2,,,,1,,,1,,,"$125",4,4,1,2,2,2,1,1,1,2,5,5,2,1,3,5,1,0.89
410,"l","10/10/2013 8:26:28",3,"SC",2,98,,,,,,,,,,,,,,,,,,,,2,,3,98,3,,3,,,2,,3,3,3,3,3,3,2,,3,,,,3,,,,,,"0",1,2,3,3,98,3,3,1,,,,1,,3,3,,2,0.967
411,"l","10/10/2013 8:30:05",3,"CA",4,1,2,3,"MAN  POKING A HOLE IN THE OZONE AND SOME NATURAL PATTERNS",8,1,1,1,1,3,2,2,1,,,,,,,,1,,1,1,4,,2,,,2,,4,1,1,2,3,3,2,,2,,,,1,,,1,,,"$100",3,3,2,2,2,2,2,1,6,,5,5,4,5,3,6,2,0.847
412,"l","10/10/2013 8:32:48",2,"CA",4,2,,,,,,,,,,,,,2,"JUST SOMETHING TO MAKE MONEY FROM",7,2,4,4,,4,,3,2,4,,98,,,4,,4,3,2,4,4,4,4,,4,,,,2,,,,2,,"0",1,4,98,2,4,4,3,9,2,,2,1,1,2,2,2,1,2.15
413,"l","10/10/2013 8:34:14",4,"NY",1,1,2,98,"BECAUSE OF THE WEATHER CHANGES",3,1,3,3,1,3,2,2,2,,,,,,,,2,,98,98,98,,3,,,3,,4,98,98,3,3,3,98,,98,,,,98,,,,,,"0",1,98,98,98,2,98,98,1,2,,2,1,1,4,2,2,2,0.777
414,"l","10/10/2013 8:34:33",3,"CA",4,1,1,2,"MELTING POLAR ICE CAPS",1,1,1,2,2,2,2,1,1,,,,,,,,2,,2,98,4,,4,,,1,,4,2,3,3,3,3,3,,3,,,,2,,,,2,,"$50",2,3,2,2,2,2,2,1,1,2,3,2,1,4,,,2,0.967
415,"l","10/10/2013 8:35:18",2,"AZ",4,2,,,,,,,,,,,,,1,"GAS EMISSIONS",9,4,4,4,,1,,1,98,4,,4,,,4,,4,3,98,4,4,1,1,,1,,,,3,,,,,,"0",1,4,4,1,98,98,1,5,,,,5,,,3,,1,1.22
416,"l","10/10/2013 8:35:50",4,"PA",1,2,,,,,,,,,,,,,2,"HISTORY HAS PROVED THAT THERE ARS COLD AND WARM CYCLES.  HUMANS HAVE NO EFFECT.",5,4,4,4,,4,,5,98,4,,98,,,4,,4,98,98,3,4,4,4,,4,,,,2,,,,2,,"0",1,3,3,1,3,2,1,1,1,1,2,1,2,1,3,,2,0.777
417,"l","10/10/2013 8:40:25",4,"TX",2,1,1,2,"WEATHER",3,2,3,3,3,1,3,1,1,,,,,,,,2,,4,98,4,,4,,,4,,4,3,4,4,4,4,3,,3,,,,2,,,,2,,"0",1,2,98,2,2,98,2,1,1,2,2,2,4,1,3,2,2,0.777
418,"l","10/10/2013 8:41:32",5,"CA",4,1,2,1,"MY OWN OBERVATIONS OF HOTTER TEMPERATURES",2,1,3,1,98,4,98,1,1,,,,,,,,1,,1,2,1,,1,,,1,,2,1,2,2,2,2,1,,2,,,,1,,,2,,,"$100",3,2,2,4,1,1,4,10,6,,4,5,1,4,3,,1,0.87
419,"l","10/10/2013 8:43:40",3,"MT",4,2,,,,,,,,,,,,,1,"COLDER",1,1,4,2,,3,,5,98,4,,2,,,1,,2,2,4,4,4,2,2,,4,,,,3,,,,,,"$100",3,2,2,2,2,4,1,1,1,1,4,1,2,2,3,4,2,0.817
420,"l","10/10/2013 8:46:57",3,"HI",4,2,,,,,,,,,,,,,2,"ALWAYS  HOT HERE OVER THE CENTURIES",1,1,4,4,,4,,3,2,4,,4,,,1,,4,3,3,3,4,4,2,,3,,,,1,,,1,,,"$100",3,4,1,3,4,4,98,10,6,,3,5,2,2,3,3,2,1.117
