Congress,Year,Party,Committee,Position
82,1951,All,Appropriations,0.025
83,1953,All,Appropriations,0.164
84,1955,All,Appropriations,0.012
85,1957,All,Appropriations,0.029
86,1959,All,Appropriations,0.019
87,1961,All,Appropriations,0.011
88,1963,All,Appropriations,-0.004
89,1965,All,Appropriations,-0.062
90,1967,All,Appropriations,-0.012
91,1969,All,Appropriations,-0.028
92,1971,All,Appropriations,-0.048
93,1973,All,Appropriations,-0.058
94,1975,All,Appropriations,-0.114
95,1977,All,Appropriations,-0.126
96,1979,All,Appropriations,-0.145
97,1981,All,Appropriations,-0.102
98,1983,All,Appropriations,-0.128
99,1985,All,Appropriations,-0.122
100,1987,All,Appropriations,-0.113
101,1989,All,Appropriations,-0.118
102,1991,All,Appropriations,-0.12
103,1993,All,Appropriations,-0.101
104,1995,All,Appropriations,0.038
105,1997,All,Appropriations,0.028
106,1999,All,Appropriations,0.035
107,2001,All,Appropriations,0.052
108,2003,All,Appropriations,0.047
109,2005,All,Appropriations,0.079
110,2007,All,Appropriations,-0.031
111,2009,All,Appropriations,-0.054
112,2011,All,Appropriations,0.146
113,2013,All,Appropriations,0.128
80,1947,Democrats,Appropriations,-0.17
81,1949,Democrats,Appropriations,-0.196
82,1951,Democrats,Appropriations,-0.206
83,1953,Democrats,Appropriations,-0.162
84,1955,Democrats,Appropriations,-0.217
85,1957,Democrats,Appropriations,-0.195
86,1959,Democrats,Appropriations,-0.201
87,1961,Democrats,Appropriations,-0.21
88,1963,Democrats,Appropriations,-0.218
89,1965,Democrats,Appropriations,-0.225
90,1967,Democrats,Appropriations,-0.211
91,1969,Democrats,Appropriations,-0.218
92,1971,Democrats,Appropriations,-0.255
93,1973,Democrats,Appropriations,-0.27
94,1975,Democrats,Appropriations,-0.289
95,1977,Democrats,Appropriations,-0.307
96,1979,Democrats,Appropriations,-0.337
97,1981,Democrats,Appropriations,-0.34
98,1983,Democrats,Appropriations,-0.346
99,1985,Democrats,Appropriations,-0.361
100,1987,Democrats,Appropriations,-0.36
101,1989,Democrats,Appropriations,-0.364
102,1991,Democrats,Appropriations,-0.373
103,1993,Democrats,Appropriations,-0.386
104,1995,Democrats,Appropriations,-0.404
105,1997,Democrats,Appropriations,-0.428
106,1999,Democrats,Appropriations,-0.41
107,2001,Democrats,Appropriations,-0.412
108,2003,Democrats,Appropriations,-0.395
109,2005,Democrats,Appropriations,-0.384
110,2007,Democrats,Appropriations,-0.423
111,2009,Democrats,Appropriations,-0.401
112,2011,Democrats,Appropriations,-0.438
113,2013,Democrats,Appropriations,-0.386
80,1947,Republicans,Appropriations,0.37
81,1949,Republicans,Appropriations,0.342
82,1951,Republicans,Appropriations,0.371
83,1953,Republicans,Appropriations,0.382
84,1955,Republicans,Appropriations,0.356
85,1957,Republicans,Appropriations,0.352
86,1959,Republicans,Appropriations,0.348
87,1961,Republicans,Appropriations,0.33
88,1963,Republicans,Appropriations,0.316
89,1965,Republicans,Appropriations,0.286
90,1967,Republicans,Appropriations,0.288
91,1969,Republicans,Appropriations,0.273
92,1971,Republicans,Appropriations,0.277
93,1973,Republicans,Appropriations,0.274
94,1975,Republicans,Appropriations,0.247
95,1977,Republicans,Appropriations,0.247
96,1979,Republicans,Appropriations,0.238
97,1981,Republicans,Appropriations,0.254
98,1983,Republicans,Appropriations,0.247
99,1985,Republicans,Appropriations,0.258
100,1987,Republicans,Appropriations,0.279
101,1989,Republicans,Appropriations,0.275
102,1991,Republicans,Appropriations,0.306
103,1993,Republicans,Appropriations,0.344
104,1995,Republicans,Appropriations,0.365
105,1997,Republicans,Appropriations,0.388
106,1999,Republicans,Appropriations,0.389
107,2001,Republicans,Appropriations,0.403
108,2003,Republicans,Appropriations,0.403
109,2005,Republicans,Appropriations,0.442
110,2007,Republicans,Appropriations,0.471
111,2009,Republicans,Appropriations,0.528
112,2011,Republicans,Appropriations,0.569
113,2013,Republicans,Appropriations,0.568
80,1947,All,Armed Services,0.131
81,1949,All,Armed Services,0.019
82,1951,All,Armed Services,0.05
83,1953,All,Armed Services,0.098
84,1955,All,Armed Services,0.02
85,1957,All,Armed Services,0.014
86,1959,All,Armed Services,-0.018
87,1961,All,Armed Services,0.024
88,1963,All,Armed Services,0.045
89,1965,All,Armed Services,-0.03
90,1967,All,Armed Services,0.021
91,1969,All,Armed Services,0.039
92,1971,All,Armed Services,0.04
93,1973,All,Armed Services,0.064
94,1975,All,Armed Services,0.005
95,1977,All,Armed Services,0.01
96,1979,All,Armed Services,0.024
97,1981,All,Armed Services,0.068
98,1983,All,Armed Services,0.081
99,1985,All,Armed Services,0.064
100,1987,All,Armed Services,0.035
101,1989,All,Armed Services,0.022
102,1991,All,Armed Services,0.003
103,1993,All,Armed Services,0.025
104,1995,All,Armed Services,0.137
105,1997,All,Armed Services,0.168
106,1999,All,Armed Services,0.119
107,2001,All,Armed Services,0.114
108,2003,All,Armed Services,0.144
109,2005,All,Armed Services,0.153
110,2007,All,Armed Services,0.08
111,2009,All,Armed Services,0.07
112,2011,All,Armed Services,0.231
113,2013,All,Armed Services,0.215
80,1947,Democrats,Armed Services,-0.105
81,1949,Democrats,Armed Services,-0.189
82,1951,Democrats,Armed Services,-0.172
83,1953,Democrats,Armed Services,-0.132
84,1955,Democrats,Armed Services,-0.169
85,1957,Democrats,Armed Services,-0.172
86,1959,Democrats,Armed Services,-0.185
87,1961,Democrats,Armed Services,-0.153
88,1963,Democrats,Armed Services,-0.148
89,1965,Democrats,Armed Services,-0.178
90,1967,Democrats,Armed Services,-0.167
91,1969,Democrats,Armed Services,-0.145
92,1971,Democrats,Armed Services,-0.125
93,1973,Democrats,Armed Services,-0.148
94,1975,Democrats,Armed Services,-0.139
95,1977,Democrats,Armed Services,-0.129
96,1979,Democrats,Armed Services,-0.117
97,1981,Democrats,Armed Services,-0.094
98,1983,Democrats,Armed Services,-0.127
99,1985,Democrats,Armed Services,-0.153
100,1987,Democrats,Armed Services,-0.182
101,1989,Democrats,Armed Services,-0.209
102,1991,Democrats,Armed Services,-0.231
103,1993,Democrats,Armed Services,-0.229
104,1995,Democrats,Armed Services,-0.261
105,1997,Democrats,Armed Services,-0.281
106,1999,Democrats,Armed Services,-0.303
107,2001,Democrats,Armed Services,-0.324
108,2003,Democrats,Armed Services,-0.289
109,2005,Democrats,Armed Services,-0.311
110,2007,Democrats,Armed Services,-0.32
111,2009,Democrats,Armed Services,-0.262
112,2011,Democrats,Armed Services,-0.329
113,2013,Democrats,Armed Services,-0.302
80,1947,Republicans,Armed Services,0.306
81,1949,Republicans,Armed Services,0.323
82,1951,Republicans,Armed Services,0.313
83,1953,Republicans,Armed Services,0.305
84,1955,Republicans,Armed Services,0.243
85,1957,Republicans,Armed Services,0.232
86,1959,Republicans,Armed Services,0.256
87,1961,Republicans,Armed Services,0.257
88,1963,Republicans,Armed Services,0.285
89,1965,Republicans,Armed Services,0.278
90,1967,Republicans,Armed Services,0.274
91,1969,Republicans,Armed Services,0.304
92,1971,Republicans,Armed Services,0.298
93,1973,Republicans,Armed Services,0.331
94,1975,Republicans,Armed Services,0.291
95,1977,Republicans,Armed Services,0.299
96,1979,Republicans,Armed Services,0.278
97,1981,Republicans,Armed Services,0.292
98,1983,Republicans,Armed Services,0.411
99,1985,Republicans,Armed Services,0.372
100,1987,Republicans,Armed Services,0.371
101,1989,Republicans,Armed Services,0.353
102,1991,Republicans,Armed Services,0.37
103,1993,Republicans,Armed Services,0.395
104,1995,Republicans,Armed Services,0.456
105,1997,Republicans,Armed Services,0.466
106,1999,Republicans,Armed Services,0.462
107,2001,Republicans,Armed Services,0.47
108,2003,Republicans,Armed Services,0.485
109,2005,Republicans,Armed Services,0.521
110,2007,Republicans,Armed Services,0.551
111,2009,Republicans,Armed Services,0.549
112,2011,Republicans,Armed Services,0.631
113,2013,Republicans,Armed Services,0.641
80,1947,All,Budget,n.a.
81,1949,All,Budget,n.a.
82,1951,All,Budget,n.a.
83,1953,All,Budget,n.a.
84,1955,All,Budget,n.a.
85,1957,All,Budget,n.a.
86,1959,All,Budget,n.a.
87,1961,All,Budget,n.a.
88,1963,All,Budget,n.a.
89,1965,All,Budget,n.a.
90,1967,All,Budget,n.a.
91,1969,All,Budget,n.a.
92,1971,All,Budget,n.a.
93,1973,All,Budget,-0.096
94,1975,All,Budget,-0.105
95,1977,All,Budget,-0.138
96,1979,All,Budget,-0.15
97,1981,All,Budget,-0.015
98,1983,All,Budget,-0.077
99,1985,All,Budget,-0.036
100,1987,All,Budget,-0.047
101,1989,All,Budget,-0.058
102,1991,All,Budget,-0.074
103,1993,All,Budget,-0.083
104,1995,All,Budget,0.094
105,1997,All,Budget,0.094
106,1999,All,Budget,0.096
107,2001,All,Budget,0.13
108,2003,All,Budget,0.127
109,2005,All,Budget,0.169
110,2007,All,Budget,0.043
111,2009,All,Budget,-0.006
112,2011,All,Budget,0.28
113,2013,All,Budget,0.221
80,1947,Democrats,Budget,n.a.
81,1949,Democrats,Budget,n.a.
82,1951,Democrats,Budget,n.a.
83,1953,Democrats,Budget,n.a.
84,1955,Democrats,Budget,n.a.
85,1957,Democrats,Budget,n.a.
86,1959,Democrats,Budget,n.a.
87,1961,Democrats,Budget,n.a.
88,1963,Democrats,Budget,n.a.
89,1965,Democrats,Budget,n.a.
90,1967,Democrats,Budget,n.a.
91,1969,Democrats,Budget,n.a.
92,1971,Democrats,Budget,n.a.
93,1973,Democrats,Budget,-0.38
94,1975,Democrats,Budget,-0.322
95,1977,Democrats,Budget,-0.368
96,1979,Democrats,Budget,-0.378
97,1981,Democrats,Budget,-0.303
98,1983,Democrats,Budget,-0.339
99,1985,Democrats,Budget,-0.325
100,1987,Democrats,Budget,-0.338
101,1989,Democrats,Budget,-0.326
102,1991,Democrats,Budget,-0.316
103,1993,Democrats,Budget,-0.323
104,1995,Democrats,Budget,-0.356
105,1997,Democrats,Budget,-0.36
106,1999,Democrats,Budget,-0.375
107,2001,Democrats,Budget,-0.413
108,2003,Democrats,Budget,-0.381
109,2005,Democrats,Budget,-0.329
110,2007,Democrats,Budget,-0.406
111,2009,Democrats,Budget,-0.389
112,2011,Democrats,Budget,-0.404
113,2013,Democrats,Budget,-0.43
80,1947,Republicans,Budget,n.a.
81,1949,Republicans,Budget,n.a.
82,1951,Republicans,Budget,n.a.
83,1953,Republicans,Budget,n.a.
84,1955,Republicans,Budget,n.a.
85,1957,Republicans,Budget,n.a.
86,1959,Republicans,Budget,n.a.
87,1961,Republicans,Budget,n.a.
88,1963,Republicans,Budget,n.a.
89,1965,Republicans,Budget,n.a.
90,1967,Republicans,Budget,n.a.
91,1969,Republicans,Budget,n.a.
92,1971,Republicans,Budget,n.a.
93,1973,Republicans,Budget,0.347
94,1975,Republicans,Budget,0.358
95,1977,Republicans,Budget,0.352
96,1979,Republicans,Budget,0.335
97,1981,Republicans,Budget,0.394
98,1983,Republicans,Budget,0.4
99,1985,Republicans,Budget,0.408
100,1987,Republicans,Budget,0.388
101,1989,Republicans,Budget,0.345
102,1991,Republicans,Budget,0.324
103,1993,Republicans,Budget,0.346
104,1995,Republicans,Budget,0.446
105,1997,Republicans,Budget,0.466
106,1999,Republicans,Budget,0.484
107,2001,Republicans,Budget,0.5
108,2003,Republicans,Budget,0.529
109,2005,Republicans,Budget,0.553
110,2007,Republicans,Budget,0.625
111,2009,Republicans,Budget,0.649
112,2011,Republicans,Budget,0.802
113,2013,Republicans,Budget,0.807
80,1947,All,District of Columbia,0.125
81,1949,All,District of Columbia,0.024
82,1951,All,District of Columbia,0.055
83,1953,All,District of Columbia,0.075
84,1955,All,District of Columbia,0.034
85,1957,All,District of Columbia,0.029
86,1959,All,District of Columbia,-0.005
87,1961,All,District of Columbia,0.01
88,1963,All,District of Columbia,-0.004
89,1965,All,District of Columbia,-0.048
90,1967,All,District of Columbia,-0.012
91,1969,All,District of Columbia,0
92,1971,All,District of Columbia,-0.012
93,1973,All,District of Columbia,-0.059
94,1975,All,District of Columbia,-0.189
95,1977,All,District of Columbia,-0.179
96,1979,All,District of Columbia,-0.164
97,1981,All,District of Columbia,-0.278
98,1983,All,District of Columbia,-0.254
99,1985,All,District of Columbia,-0.241
100,1987,All,District of Columbia,-0.237
101,1989,All,District of Columbia,-0.211
102,1991,All,District of Columbia,-0.205
103,1993,All,District of Columbia,-0.161
104,1995,All,District of Columbia,n.a.
105,1997,All,District of Columbia,n.a.
106,1999,All,District of Columbia,n.a.
107,2001,All,District of Columbia,n.a.
108,2003,All,District of Columbia,n.a.
109,2005,All,District of Columbia,n.a.
110,2007,All,District of Columbia,n.a.
111,2009,All,District of Columbia,n.a.
112,2011,All,District of Columbia,n.a.
113,2013,All,District of Columbia,n.a.
80,1947,Democrats,District of Columbia,-0.119
81,1949,Democrats,District of Columbia,-0.166
82,1951,Democrats,District of Columbia,-0.129
83,1953,Democrats,District of Columbia,-0.129
84,1955,Democrats,District of Columbia,-0.136
85,1957,Democrats,District of Columbia,-0.142
86,1959,Democrats,District of Columbia,-0.158
87,1961,Democrats,District of Columbia,-0.095
88,1963,Democrats,District of Columbia,-0.134
89,1965,Democrats,District of Columbia,-0.159
90,1967,Democrats,District of Columbia,-0.161
91,1969,Democrats,District of Columbia,-0.16
92,1971,Democrats,District of Columbia,-0.18
93,1973,Democrats,District of Columbia,-0.38
94,1975,Democrats,District of Columbia,-0.288
95,1977,Democrats,District of Columbia,-0.295
96,1979,Democrats,District of Columbia,-0.397
97,1981,Democrats,District of Columbia,-0.52
98,1983,Democrats,District of Columbia,-0.539
99,1985,Democrats,District of Columbia,-0.54
100,1987,Democrats,District of Columbia,-0.531
101,1989,Democrats,District of Columbia,-0.579
102,1991,Democrats,District of Columbia,-0.577
103,1993,Democrats,District of Columbia,-0.553
104,1995,Democrats,District of Columbia,n.a.
105,1997,Democrats,District of Columbia,n.a.
106,1999,Democrats,District of Columbia,n.a.
107,2001,Democrats,District of Columbia,n.a.
108,2003,Democrats,District of Columbia,n.a.
109,2005,Democrats,District of Columbia,n.a.
110,2007,Democrats,District of Columbia,n.a.
111,2009,Democrats,District of Columbia,n.a.
112,2011,Democrats,District of Columbia,n.a.
113,2013,Democrats,District of Columbia,n.a.
80,1947,Republicans,District of Columbia,0.317
81,1949,Republicans,District of Columbia,0.308
82,1951,Republicans,District of Columbia,0.271
83,1953,Republicans,District of Columbia,0.264
84,1955,Republicans,District of Columbia,0.25
85,1957,Republicans,District of Columbia,0.246
86,1959,Republicans,District of Columbia,0.269
87,1961,Republicans,District of Columbia,0.167
88,1963,Republicans,District of Columbia,0.191
89,1965,Republicans,District of Columbia,0.188
90,1967,Republicans,District of Columbia,0.177
91,1969,Republicans,District of Columbia,0.202
92,1971,Republicans,District of Columbia,0.241
93,1973,Republicans,District of Columbia,0.321
94,1975,Republicans,District of Columbia,0.036
95,1977,Republicans,District of Columbia,0.037
96,1979,Republicans,District of Columbia,0.209
97,1981,Republicans,District of Columbia,0.206
98,1983,Republicans,District of Columbia,0.245
99,1985,Republicans,District of Columbia,0.282
100,1987,Republicans,District of Columbia,0.279
101,1989,Republicans,District of Columbia,0.433
102,1991,Republicans,District of Columbia,0.446
103,1993,Republicans,District of Columbia,0.427
104,1995,Republicans,District of Columbia,n.a.
105,1997,Republicans,District of Columbia,n.a.
106,1999,Republicans,District of Columbia,n.a.
107,2001,Republicans,District of Columbia,n.a.
108,2003,Republicans,District of Columbia,n.a.
109,2005,Republicans,District of Columbia,n.a.
110,2007,Republicans,District of Columbia,n.a.
111,2009,Republicans,District of Columbia,n.a.
112,2011,Republicans,District of Columbia,n.a.
113,2013,Republicans,District of Columbia,n.a.
80,1947,All,Education & the Workforce,0.123
81,1949,All,Education & the Workforce,-0.088
82,1951,All,Education & the Workforce,0.016
83,1953,All,Education & the Workforce,0.014
84,1955,All,Education & the Workforce,-0.083
85,1957,All,Education & the Workforce,-0.112
86,1959,All,Education & the Workforce,-0.151
87,1961,All,Education & the Workforce,-0.066
88,1963,All,Education & the Workforce,-0.113
89,1965,All,Education & the Workforce,-0.189
90,1967,All,Education & the Workforce,-0.125
91,1969,All,Education & the Workforce,-0.126
92,1971,All,Education & the Workforce,-0.14
93,1973,All,Education & the Workforce,-0.112
94,1975,All,Education & the Workforce,-0.197
95,1977,All,Education & the Workforce,-0.173
96,1979,All,Education & the Workforce,-0.153
97,1981,All,Education & the Workforce,-0.101
98,1983,All,Education & the Workforce,-0.161
99,1985,All,Education & the Workforce,-0.09
100,1987,All,Education & the Workforce,-0.114
101,1989,All,Education & the Workforce,-0.155
102,1991,All,Education & the Workforce,-0.164
103,1993,All,Education & the Workforce,-0.119
104,1995,All,Education & the Workforce,0.027
105,1997,All,Education & the Workforce,0.022
106,1999,All,Education & the Workforce,0.071
107,2001,All,Education & the Workforce,0.038
108,2003,All,Education & the Workforce,0.052
109,2005,All,Education & the Workforce,0.063
110,2007,All,Education & the Workforce,-0.04
111,2009,All,Education & the Workforce,-0.008
112,2011,All,Education & the Workforce,0.154
113,2013,All,Education & the Workforce,0.255
80,1947,Democrats,Education & the Workforce,-0.305
81,1949,Democrats,Education & the Workforce,-0.345
82,1951,Democrats,Education & the Workforce,-0.28
83,1953,Democrats,Education & the Workforce,-0.365
84,1955,Democrats,Education & the Workforce,-0.441
85,1957,Democrats,Education & the Workforce,-0.44
86,1959,Democrats,Education & the Workforce,-0.4
87,1961,Democrats,Education & the Workforce,-0.354
88,1963,Democrats,Education & the Workforce,-0.397
89,1965,Democrats,Education & the Workforce,-0.415
90,1967,Democrats,Education & the Workforce,-0.427
91,1969,Democrats,Education & the Workforce,-0.459
92,1971,Democrats,Education & the Workforce,-0.429
93,1973,Democrats,Education & the Workforce,-0.436
94,1975,Democrats,Education & the Workforce,-0.393
95,1977,Democrats,Education & the Workforce,-0.381
96,1979,Democrats,Education & the Workforce,-0.403
97,1981,Democrats,Education & the Workforce,-0.405
98,1983,Democrats,Education & the Workforce,-0.4
99,1985,Democrats,Education & the Workforce,-0.414
100,1987,Democrats,Education & the Workforce,-0.377
101,1989,Democrats,Education & the Workforce,-0.437
102,1991,Democrats,Education & the Workforce,-0.454
103,1993,Democrats,Education & the Workforce,-0.426
104,1995,Democrats,Education & the Workforce,-0.456
105,1997,Democrats,Education & the Workforce,-0.447
106,1999,Democrats,Education & the Workforce,-0.455
107,2001,Democrats,Education & the Workforce,-0.46
108,2003,Democrats,Education & the Workforce,-0.465
109,2005,Democrats,Education & the Workforce,-0.463
110,2007,Democrats,Education & the Workforce,-0.48
111,2009,Democrats,Education & the Workforce,-0.439
112,2011,Democrats,Education & the Workforce,-0.464
113,2013,Democrats,Education & the Workforce,-0.409
80,1947,Republicans,Education & the Workforce,0.408
81,1949,Republicans,Education & the Workforce,0.369
82,1951,Republicans,Education & the Workforce,0.393
83,1953,Republicans,Education & the Workforce,0.365
84,1955,Republicans,Education & the Workforce,0.386
85,1957,Republicans,Education & the Workforce,0.317
86,1959,Republicans,Education & the Workforce,0.348
87,1961,Republicans,Education & the Workforce,0.39
88,1963,Republicans,Education & the Workforce,0.338
89,1965,Republicans,Education & the Workforce,0.285
90,1967,Republicans,Education & the Workforce,0.285
91,1969,Republicans,Education & the Workforce,0.318
92,1971,Republicans,Education & the Workforce,0.285
93,1973,Republicans,Education & the Workforce,0.32
94,1975,Republicans,Education & the Workforce,0.228
95,1977,Republicans,Education & the Workforce,0.242
96,1979,Republicans,Education & the Workforce,0.327
97,1981,Republicans,Education & the Workforce,0.312
98,1983,Republicans,Education & the Workforce,0.295
99,1985,Republicans,Education & the Workforce,0.327
100,1987,Republicans,Education & the Workforce,0.312
101,1989,Republicans,Education & the Workforce,0.321
102,1991,Republicans,Education & the Workforce,0.35
103,1993,Republicans,Education & the Workforce,0.4
104,1995,Republicans,Education & the Workforce,0.404
105,1997,Republicans,Education & the Workforce,0.467
106,1999,Republicans,Education & the Workforce,0.496
107,2001,Republicans,Education & the Workforce,0.459
108,2003,Republicans,Education & the Workforce,0.459
109,2005,Republicans,Education & the Workforce,0.508
110,2007,Republicans,Education & the Workforce,0.553
111,2009,Republicans,Education & the Workforce,0.629
112,2011,Republicans,Education & the Workforce,0.632
113,2013,Republicans,Education & the Workforce,0.745
80,1947,All,Energy and Commerce,0.065
81,1949,All,Energy and Commerce,-0.087
82,1951,All,Energy and Commerce,0
83,1953,All,Energy and Commerce,0.042
84,1955,All,Energy and Commerce,-0.001
85,1957,All,Energy and Commerce,0.028
86,1959,All,Energy and Commerce,-0.006
87,1961,All,Energy and Commerce,-0.003
88,1963,All,Energy and Commerce,-0.021
89,1965,All,Energy and Commerce,-0.065
90,1967,All,Energy and Commerce,-0.021
91,1969,All,Energy and Commerce,-0.043
92,1971,All,Energy and Commerce,-0.028
93,1973,All,Energy and Commerce,-0.029
94,1975,All,Energy and Commerce,-0.114
95,1977,All,Energy and Commerce,-0.12
96,1979,All,Energy and Commerce,-0.069
97,1981,All,Energy and Commerce,-0.021
98,1983,All,Energy and Commerce,-0.031
99,1985,All,Energy and Commerce,-0.045
100,1987,All,Energy and Commerce,-0.019
101,1989,All,Energy and Commerce,-0.026
102,1991,All,Energy and Commerce,-0.048
103,1993,All,Energy and Commerce,-0.044
104,1995,All,Energy and Commerce,0.071
105,1997,All,Energy and Commerce,0.069
106,1999,All,Energy and Commerce,0.067
107,2001,All,Energy and Commerce,0.08
108,2003,All,Energy and Commerce,0.074
109,2005,All,Energy and Commerce,0.099
110,2007,All,Energy and Commerce,0.043
111,2009,All,Energy and Commerce,0.033
112,2011,All,Energy and Commerce,0.222
113,2013,All,Energy and Commerce,0.228
80,1947,Democrats,Energy and Commerce,-0.235
81,1949,Democrats,Energy and Commerce,-0.321
82,1951,Democrats,Energy and Commerce,-0.226
83,1953,Democrats,Energy and Commerce,-0.244
84,1955,Democrats,Energy and Commerce,-0.211
85,1957,Democrats,Energy and Commerce,-0.179
86,1959,Democrats,Energy and Commerce,-0.176
87,1961,Democrats,Energy and Commerce,-0.181
88,1963,Democrats,Energy and Commerce,-0.201
89,1965,Democrats,Energy and Commerce,-0.224
90,1967,Democrats,Energy and Commerce,-0.249
91,1969,Democrats,Energy and Commerce,-0.284
92,1971,Democrats,Energy and Commerce,-0.289
93,1973,Democrats,Energy and Commerce,-0.285
94,1975,Democrats,Energy and Commerce,-0.305
95,1977,Democrats,Energy and Commerce,-0.31
96,1979,Democrats,Energy and Commerce,-0.3
97,1981,Democrats,Energy and Commerce,-0.289
98,1983,Democrats,Energy and Commerce,-0.296
99,1985,Democrats,Energy and Commerce,-0.303
100,1987,Democrats,Energy and Commerce,-0.303
101,1989,Democrats,Energy and Commerce,-0.307
102,1991,Democrats,Energy and Commerce,-0.306
103,1993,Democrats,Energy and Commerce,-0.324
104,1995,Democrats,Energy and Commerce,-0.344
105,1997,Democrats,Energy and Commerce,-0.38
106,1999,Democrats,Energy and Commerce,-0.386
107,2001,Democrats,Energy and Commerce,-0.399
108,2003,Democrats,Energy and Commerce,-0.396
109,2005,Democrats,Energy and Commerce,-0.419
110,2007,Democrats,Energy and Commerce,-0.403
111,2009,Democrats,Energy and Commerce,-0.361
112,2011,Democrats,Energy and Commerce,-0.382
113,2013,Democrats,Energy and Commerce,-0.386
80,1947,Republicans,Energy and Commerce,0.271
81,1949,Republicans,Energy and Commerce,0.253
82,1951,Republicans,Energy and Commerce,0.26
83,1953,Republicans,Energy and Commerce,0.261
84,1955,Republicans,Energy and Commerce,0.254
85,1957,Republicans,Energy and Commerce,0.277
86,1959,Republicans,Energy and Commerce,0.292
87,1961,Republicans,Energy and Commerce,0.27
88,1963,Republicans,Energy and Commerce,0.255
89,1965,Republicans,Energy and Commerce,0.284
90,1967,Republicans,Energy and Commerce,0.288
91,1969,Republicans,Energy and Commerce,0.272
