"Survey_Iteration","Orig_ID","Month","Day","Year","demog_state","demog_state_region","demog_age_list","gw_belief","believer_confidence","believer_cause","believer_problem","gw_concern","gwimpacts_storms","gwimpacts_droughts","gwimpacts_disease","gwimpacts_species","gwimpacts_areas","gw_noevidence","gw_scioverstate","gw_nattrend","gw_mediaoverstate","gw_adapt","govt_fed","govt_state","govt_local","govt_fedvsstate","state_neighborsact","govt_nostateaction","state_rps_economy","state_impactsfelt","state_rps_neighbr","religion_govtaction","religion_govtactionexplain","state_vehicles_v1","state_fftax","state_nuclear","state_captrade","state_rps_v2","state_gastax","captrade_govt_v1","fftax_govt","nuclear_govt","gastax_govt","rps_govt","ethanol_govt","vehicle_govt","captrade_support_v1","captrade_cost15dol","captrade_cost50","carbontax_support","carbontax_cost15dol","carbontax_cost50dol","willing2pay_list","demog_race","demog_relig","demog_relig_evang","demog_edu","demog_news","demog_polparty","demog_income","demog_gender","Weight"
"FALL 2009",794,9,28,2009,"MI",3,1,1,2,3,2,2,2,2,1,2,2,4,4,4,4,4,1,1,2,2,4,2,2,2,2,3,,2,2,2,2,1,1,3,3,3,3,3,3,3,2,2,1,2,2,2,4,1,1,2,4,1,1,4,2,0.03
"FALL 2009",795,9,28,2009,"KS",3,2,2,,,,,,,,,,2,2,1,1,4,98,2,1,2,98,1,1,98,4,4,,1,2,4,2,1,2,1,1,1,1,3,3,1,1,3,4,3,2,4,2,1,2,,4,1,4,5,2,0.03
"FALL 2009",804,9,28,2009,"PA",1,2,2,,,,,,,,,,2,1,1,1,2,3,3,3,3,3,3,2,3,2,3,,3,3,3,3,3,3,4,4,4,4,4,4,4,3,3,4,3,3,4,1,1,1,1,4,1,2,2,2,0.03
"FALL 2009",809,9,28,2009,"GA",2,2,2,,,,,,,,,,2,1,1,1,2,2,2,2,2,3,3,2,4,3,2,3,2,3,98,2,2,3,3,4,98,4,4,4,3,2,98,3,3,98,3,98,1,1,1,4,1,2,6,2,0.03
"FALL 2009",816,9,29,2009,"CO",4,1,1,2,1,3,3,2,2,3,3,3,2,2,2,2,2,2,2,3,1,2,2,2,2,2,3,,2,2,2,1,2,2,2,2,2,1,2,2,2,3,3,2,3,2,3,4,1,6,,4,5,2,5,2,0.03
"FALL 2009",857,9,29,2009,"NJ",1,2,98,,,,,,,,,,2,3,3,2,4,1,1,1,2,4,1,1,3,98,4,,1,2,1,98,1,2,98,2,3,2,3,3,3,98,3,4,3,2,3,2,1,6,,4,5,4,6,2,0.03
"FALL 2009",873,9,29,2009,"CA",4,2,1,2,1,1,1,3,2,2,1,1,3,3,3,3,4,1,2,2,1,3,2,3,1,2,4,,1,1,1,2,1,1,2,3,3,3,3,3,1,1,2,2,1,1,1,4,1,6,,5,5,4,4,2,0.03
"FALL 2009",882,9,30,2009,"MI",3,1,1,1,3,1,1,1,1,1,1,1,4,3,4,2,4,1,1,1,1,2,1,1,1,1,98,,2,3,2,2,2,3,3,4,3,4,3,3,4,98,98,2,3,3,4,98,1,1,1,4,5,4,6,2,0.03
"FALL 2009",886,9,30,2009,"MD",2,2,1,1,1,1,2,2,1,1,1,2,4,4,4,4,4,1,2,2,1,3,1,2,3,3,3,,1,2,2,1,1,4,3,2,1,98,3,1,1,1,1,3,3,2,4,4,1,2,,5,4,4,6,2,0.03
"FALL 2009",894,9,30,2009,"CA",4,1,98,,,,,,,,,,3,4,4,4,4,1,1,1,1,4,1,2,1,3,4,,1,1,1,2,1,1,3,3,3,3,3,3,3,2,2,2,1,1,1,6,1,7,,5,5,1,2,2,0.03
"FALL 2009",914,9,30,2009,"NY",1,1,1,2,3,1,1,2,2,1,1,2,3,4,3,3,3,2,2,2,2,3,2,2,2,2,4,,1,4,1,4,1,4,1,4,3,4,3,3,3,2,4,4,4,4,4,1,1,6,,4,5,4,3,2,0.03
"FALL 2009",934,10,1,2009,"FL",2,1,1,1,1,1,2,1,2,2,1,1,4,4,4,4,4,1,2,2,2,3,2,2,2,2,4,,2,2,98,2,2,2,1,1,1,1,1,1,1,2,2,4,2,2,4,2,1,6,,4,1,4,3,2,0.03
"FALL 2009",939,10,1,2009,"MI",3,1,2,,,,,,,,,,2,3,2,2,3,1,1,2,2,3,2,3,3,2,4,,4,4,2,3,3,4,4,4,3,4,4,4,4,3,4,4,4,4,4,1,1,1,2,4,3,2,4,2,0.03
"FALL 2009",944,10,1,2009,"FL",2,2,98,,,,,,,,,,2,2,2,2,3,1,2,2,2,3,2,1,98,98,3,,2,4,2,98,2,4,4,4,3,4,3,3,1,3,3,4,4,3,4,2,1,3,,4,1,4,1,2,0.03
"FALL 2009",962,10,1,2009,"OH",3,1,2,,,,,,,,,,2,2,98,1,98,2,1,2,2,98,2,2,98,3,3,,4,4,2,2,1,3,2,4,3,4,2,4,4,3,3,4,4,4,4,3,1,1,2,5,2,4,5,2,0.03
"FALL 2009",971,10,2,2009,"WI",3,2,1,2,3,3,3,4,4,4,2,4,2,1,2,2,2,2,2,2,2,3,2,98,3,3,3,,2,2,2,3,2,2,3,2,3,4,3,2,2,2,4,4,98,4,3,1,1,2,,4,1,4,4,2,0.03
"FALL 2009",983,10,2,2009,"TX",2,1,98,,,,,,,,,,98,98,98,98,98,1,1,1,98,98,98,98,98,98,98,,98,98,98,98,98,98,98,98,98,98,98,98,98,1,1,1,1,1,1,4,1,,,5,5,4,4,2,0.03
"FALL 2009",988,10,2,2009,"MN",3,1,1,2,3,2,2,3,2,1,1,2,3,4,4,3,4,1,2,2,1,4,2,1,3,4,4,,1,1,1,1,1,1,3,3,3,3,3,3,3,2,2,2,1,1,2,6,1,1,2,5,5,4,5,2,0.03
"FALL 2009",989,10,2,2009,"OR",4,2,1,2,1,1,2,2,2,2,2,2,4,3,4,4,4,1,2,2,1,4,2,1,2,3,2,1,1,2,4,2,1,2,1,3,4,3,3,3,3,2,2,98,1,1,98,4,1,3,,5,5,1,3,2,0.03
"FALL 2009",1019,10,4,2009,"OR",4,1,1,2,3,2,2,2,2,2,1,1,4,4,3,4,4,1,2,2,1,4,1,98,2,3,4,,2,2,3,1,1,3,3,98,4,4,3,4,3,1,1,2,2,1,2,3,1,6,,4,1,1,2,2,0.03
"FALL 2009",1052,10,5,2009,"NY",1,2,1,2,3,2,2,2,1,1,1,2,3,3,3,2,3,1,2,2,1,4,1,2,3,3,4,,2,3,3,2,2,3,3,4,4,1,1,1,1,2,3,4,2,3,4,1,1,3,,5,2,1,4,2,0.03
"FALL 2009",1066,10,5,2009,"OH",3,1,98,,,,,,,,,,2,98,98,2,2,2,2,2,2,98,2,1,98,2,4,,2,2,3,2,2,3,3,1,1,4,3,3,3,2,2,4,2,2,4,2,1,,,4,2,1,4,2,0.03
"FALL 2009",1068,10,5,2009,"ID",4,2,1,2,3,2,1,1,1,1,2,1,3,4,4,4,4,1,2,2,1,3,1,2,2,2,4,,2,2,1,2,1,3,2,3,1,1,1,1,1,2,2,4,2,2,4,3,1,6,,4,1,1,3,2,0.03
"FALL 2009",1090,10,6,2009,"SC",2,2,1,2,3,2,2,3,3,2,2,2,3,4,3,3,4,1,2,2,2,3,2,1,98,4,4,,2,4,3,98,2,4,98,4,4,4,3,3,3,98,98,98,98,98,98,2,1,6,,5,1,1,5,2,0.03
"FALL 2009",1100,10,6,2009,"CO",4,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,1,2,2,1,4,1,1,3,4,4,,1,1,2,3,1,1,4,3,3,3,3,3,3,3,2,2,1,1,1,6,1,7,,4,5,1,2,2,0.03
"FALL 2009",1113,10,6,2009,"UT",4,1,98,,,,,,,,,,2,2,1,1,3,3,3,3,4,4,4,4,4,1,4,,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,2,4,5,2,3,2,0.03
"FALL 2009",1117,10,6,2009,"GA",2,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,1,1,1,1,4,1,1,1,4,98,,1,1,1,1,1,1,3,3,3,3,3,3,3,1,1,1,1,1,2,5,1,1,2,4,1,1,5,2,0.03
"FALL 2009",1122,10,6,2009,"TN",2,1,1,3,2,2,2,3,2,1,3,2,2,2,3,2,4,3,2,1,3,2,2,1,2,2,2,2,2,4,1,1,2,4,3,4,98,4,3,3,3,98,3,4,4,3,4,2,1,1,2,4,1,2,2,2,0.03
"FALL 2009",1137,10,6,2009,"MO",3,1,2,,,,,,,,,,1,3,98,2,3,2,2,2,3,3,3,3,3,3,2,3,2,2,2,2,2,2,3,3,3,3,3,3,3,2,2,98,2,98,98,2,1,1,1,4,4,2,4,2,0.03
"FALL 2009",1144,10,6,2009,"TX",2,2,2,,,,,,,,,,1,1,2,2,3,2,2,2,2,3,2,2,4,3,4,,2,4,2,98,3,4,4,4,3,4,3,3,1,3,3,4,3,3,4,2,1,1,1,4,1,2,4,2,0.03
"FALL 2009",1145,10,6,2009,"TX",2,1,1,3,1,2,2,3,2,2,3,3,2,2,2,2,3,2,2,2,2,3,3,3,3,3,3,,3,3,3,3,2,3,4,4,4,4,3,3,3,3,3,4,3,3,4,2,1,6,,4,5,2,5,2,0.03
"FALL 2009",1161,10,7,2009,"MN",3,2,98,,,,,,,,,,2,2,2,1,3,2,2,2,1,3,2,1,98,4,4,,1,4,3,2,1,4,3,3,3,3,3,3,3,3,3,4,2,2,3,2,1,,,4,1,2,6,2,0.03
"FALL 2009",1168,10,7,2009,"KS",3,1,1,2,3,1,1,1,1,1,1,1,4,4,3,3,4,1,1,1,1,4,1,2,2,98,98,,2,2,4,98,1,3,98,98,98,98,3,3,3,2,2,4,98,2,4,2,1,6,,4,1,4,2,2,0.03
"FALL 2009",1180,10,7,2009,"SD",3,1,1,3,3,2,1,1,1,1,1,1,3,3,3,3,4,2,2,2,1,4,1,1,2,4,4,,1,2,2,1,1,2,1,2,2,2,1,1,1,1,1,2,2,2,3,2,1,1,1,4,5,4,3,2,0.03
"FALL 2009",1184,10,7,2009,"TX",2,1,1,1,3,1,1,1,1,1,1,1,4,4,3,4,4,2,2,2,3,2,1,1,1,3,4,,1,3,3,98,1,98,3,3,3,3,3,3,3,98,3,4,3,4,4,2,1,6,,4,1,4,4,2,0.03
"FALL 2009",1192,10,7,2009,"PA",1,2,1,3,3,3,3,2,3,3,2,3,3,2,2,1,2,2,2,2,2,4,3,98,3,98,4,,1,4,2,2,2,4,2,4,3,4,3,4,3,2,3,4,4,4,4,1,1,1,2,4,1,2,5,2,0.03
"FALL 2009",1202,10,7,2009,"DC",2,2,98,,,,,,,,,,1,1,2,1,3,2,2,2,2,3,4,4,4,2,4,,1,4,2,4,2,4,4,4,3,4,3,3,3,2,4,4,4,4,4,2,1,3,,4,2,4,4,2,0.03
"FALL 2009",1226,10,8,2009,"NY",1,1,1,2,3,3,3,4,2,2,1,3,3,1,2,1,2,3,3,3,2,1,2,2,3,98,4,,1,1,1,1,1,1,98,98,98,98,98,98,98,98,98,98,1,2,4,1,1,6,,4,4,4,2,2,0.03
"FALL 2009",1270,10,9,2009,"CA",4,2,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,2,1,1,1,4,3,2,1,4,4,,1,1,1,1,1,1,3,3,3,3,3,3,3,1,1,1,1,1,1,6,1,3,,4,5,1,2,2,0.03
"FALL 2009",1273,10,9,2009,"OH",3,1,98,,,,,,,,,,2,2,2,2,1,1,1,1,1,3,3,1,2,2,4,,1,2,98,1,2,2,2,1,3,2,2,3,2,2,2,3,3,2,3,3,1,2,,5,5,1,5,2,0.03
"FALL 2009",1293,10,10,2009,"MI",3,2,1,2,3,1,2,2,1,2,1,1,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,3,3,3,3,3,3,2,2,2,2,2,3,4,1,7,,4,5,4,5,2,0.03
"FALL 2009",1306,10,10,2009,"NJ",1,2,1,2,1,2,2,2,2,1,1,1,4,4,3,4,3,2,2,2,2,4,2,3,3,3,4,,2,3,2,98,1,4,98,98,1,4,3,3,98,98,2,3,2,2,3,2,1,2,,5,1,4,4,2,0.03
"FALL 2009",1308,10,10,2009,"CA",4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,2,,5,5,1,6,2,0.03
"FALL 2009",1329,10,11,2009,"MA",1,2,98,,,,,,,,,,3,3,4,3,4,2,2,2,2,2,2,3,3,3,3,,3,3,3,2,2,3,3,3,4,4,4,3,2,3,2,4,4,3,4,1,1,2,,5,1,4,,2,0.03
"FALL 2009",1334,10,11,2009,"MA",1,1,1,2,3,2,2,2,2,2,2,2,4,2,4,4,2,2,2,2,1,4,2,2,2,4,98,,1,3,3,2,2,3,3,4,4,4,3,3,1,2,3,4,3,3,4,2,1,6,,4,5,1,1,2,0.03
"FALL 2009",1346,10,11,2009,"PA",1,1,1,2,2,2,3,3,2,2,3,4,2,2,2,3,2,2,2,2,2,3,2,2,98,3,4,,2,3,2,2,2,3,3,3,1,4,1,1,1,1,3,4,4,4,4,2,1,6,,4,1,1,3,2,0.03
"FALL 2009",1350,10,11,2009,"CA",4,1,1,1,1,1,1,2,2,2,1,2,1,4,4,4,4,1,1,1,1,3,1,2,1,4,4,,1,1,98,3,2,2,98,2,2,2,3,3,3,98,3,4,3,3,3,3,1,6,,5,5,1,4,2,0.03
"FALL 2009",1366,10,11,2009,"IA",3,1,2,,,,,,,,,,1,1,1,1,3,3,3,3,4,1,4,3,4,1,4,,3,4,2,4,2,4,4,4,3,4,98,98,4,4,4,4,4,4,4,2,1,2,,4,5,2,4,2,0.03
"FALL 2009",1370,10,11,2009,"PA",1,1,1,2,3,2,2,3,3,3,2,2,3,2,3,2,3,2,2,2,2,98,2,3,3,2,3,,3,3,3,3,2,3,1,4,3,4,4,3,3,3,3,4,3,3,4,2,1,1,1,5,1,2,3,2,0.03
"FALL 2009",1379,10,12,2009,"CA",4,2,98,,,,,,,,,,2,2,98,2,4,1,2,2,3,3,2,98,3,98,3,,2,3,2,3,2,3,2,2,3,2,3,3,1,2,2,4,3,3,4,2,1,1,1,4,5,2,2,2,0.03
"FALL 2009",1381,10,12,2009,"NV",4,1,1,2,3,2,2,2,1,1,2,1,3,2,3,2,3,2,2,3,2,3,2,2,2,3,4,,1,3,2,2,1,2,2,1,3,2,1,1,1,2,1,3,2,2,3,4,1,6,,4,5,2,3,2,0.03
"FALL 2009",1384,10,12,2009,"CT",1,1,2,,,,,,,,,,2,2,2,2,98,1,1,1,98,98,98,98,98,98,4,,2,3,3,2,2,2,98,98,98,98,98,98,98,3,2,1,2,2,1,2,1,6,,5,1,2,3,2,0.03
"FALL 2009",1388,10,12,2009,"NC",2,2,2,,,,,,,,,,1,1,2,1,2,2,2,2,2,1,3,3,4,3,4,,3,4,3,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,1,1,6,,4,5,2,5,2,0.03
"FALL 2009",1402,10,12,2009,"MT",4,1,2,,,,,,,,,,1,1,1,2,3,1,1,1,2,1,2,2,4,98,4,,2,3,2,3,2,2,3,3,3,3,3,3,3,3,2,1,4,4,4,1,1,6,,4,5,2,2,2,0.03
"FALL 2009",1410,10,13,2009,"IN",3,1,2,,,,,,,,,,1,1,2,1,3,1,1,1,2,3,2,2,98,2,3,,2,3,3,2,1,4,98,4,98,4,4,3,98,2,2,4,4,2,4,2,1,1,1,4,1,2,3,2,0.03
"FALL 2009",1426,10,14,2009,"CA",4,1,2,,,,,,,,,,2,1,2,1,4,1,1,1,2,98,2,98,2,98,4,,3,4,2,98,2,4,98,4,3,4,3,4,4,3,4,4,3,3,4,2,1,,,4,5,1,6,2,0.03
"FALL 2009",1437,10,14,2009,"NY",1,1,98,,,,,,,,,,4,4,4,3,98,2,2,2,2,3,2,1,2,4,4,,1,1,98,2,1,2,3,3,3,3,3,3,3,2,1,1,2,1,1,2,1,,,4,5,4,1,2,0.03
"FALL 2009",1449,10,15,2009,"CT",1,1,1,1,1,1,1,2,1,2,3,3,4,3,2,3,2,2,2,2,2,3,4,2,3,2,2,3,2,3,3,2,2,1,2,2,3,2,3,4,2,98,98,98,1,1,1,4,1,3,,4,5,4,6,2,0.03
"FALL 2009",1455,10,15,2009,"CA",4,1,1,1,3,1,1,1,1,2,1,1,4,4,3,4,4,1,1,2,1,4,1,1,1,4,4,,1,2,2,2,1,2,2,2,2,2,1,1,1,2,1,2,2,1,2,3,1,3,,5,5,1,6,2,0.03
"FALL 2009",1457,10,15,2009,"MI",3,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,2,2,3,3,1,1,1,98,2,2,3,3,2,2,98,98,3,3,3,3,3,1,2,4,2,2,3,2,1,6,,4,1,4,3,2,0.03
"FALL 2009",1467,10,15,2009,"ND",3,1,1,3,1,3,3,2,3,2,2,2,2,2,4,1,4,2,98,98,2,3,3,2,2,98,98,,3,98,98,3,98,98,3,98,98,98,98,3,2,3,2,2,98,98,98,3,1,7,,5,1,4,2,2,0.03
"FALL 2009",1470,10,15,2009,"LA",2,2,2,,,,,,,,,,2,2,98,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,3,3,4,3,4,3,3,4,98,3,4,98,3,4,2,1,6,,4,1,4,3,2,0.03
"FALL 2009",1473,10,15,2009,"HI",4,2,1,2,2,3,2,2,2,2,2,2,3,2,2,2,3,2,2,2,3,2,98,2,98,98,4,,2,2,2,2,2,2,98,98,3,2,2,2,1,2,4,4,98,3,3,3,1,6,,4,5,4,6,2,0.03
"FALL 2009",1505,10,16,2009,"CA",4,2,1,2,3,1,2,2,2,2,2,2,3,4,3,4,4,1,1,1,1,4,2,98,98,3,4,,3,2,3,2,1,3,3,3,4,4,4,2,1,2,2,3,2,2,3,4,1,6,,5,2,1,6,2,0.03
"FALL 2009",608,9,21,2009,"PA",1,1,1,2,1,1,1,2,1,1,2,1,4,98,4,4,98,3,2,1,1,3,2,1,3,4,3,,1,1,4,3,2,1,3,3,4,2,3,3,3,2,3,4,2,2,3,3,5,5,,5,5,1,5,2,0.22
"FALL 2009",619,9,21,2009,"CA",4,1,1,2,1,2,2,1,1,1,2,1,4,3,3,2,4,1,1,1,2,4,1,1,1,2,4,,1,98,98,1,1,4,98,98,98,4,3,3,3,1,3,4,3,2,4,2,5,6,,4,5,1,3,2,0.22
"FALL 2009",640,9,22,2009,"CA",4,1,1,2,3,1,2,2,2,98,2,2,4,3,3,98,4,2,2,2,2,98,2,2,98,3,98,,98,2,2,98,2,3,3,3,3,4,3,3,3,98,2,3,98,2,3,3,5,7,,4,1,1,5,2,0.22
"FALL 2009",756,9,25,2009,"MD",2,2,1,2,1,2,3,2,1,3,3,2,2,2,3,1,4,2,3,2,2,4,3,2,2,3,4,,2,3,3,3,4,3,3,4,2,1,2,2,4,2,3,4,3,3,4,2,5,5,,5,5,1,5,2,0.22
"FALL 2009",803,9,28,2009,"NY",1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,4,5,5,,5,4,1,5,2,0.22
"FALL 2009",833,9,29,2009,"OK",2,1,2,,,,,,,,,,2,1,1,1,3,2,3,3,1,2,98,3,4,1,2,2,4,3,1,4,1,4,4,4,3,4,2,2,4,4,4,4,4,4,4,2,10,1,1,4,5,2,3,2,0.22
"FALL 2009",922,9,30,2009,"IA",3,2,1,1,3,1,1,1,1,1,1,1,4,4,4,4,3,1,2,2,1,4,1,1,1,4,4,,1,1,2,3,1,1,3,3,3,3,3,3,3,2,1,1,1,1,1,4,5,1,1,4,1,1,3,2,0.22
"FALL 2009",961,10,1,2009,"MN",3,1,98,,,,,,,,,,2,2,2,2,2,1,1,1,2,2,2,2,3,2,3,,2,2,2,2,2,2,3,3,3,3,3,3,98,2,2,3,2,2,3,1,5,6,,5,5,1,6,2,0.22
