"Orig_ID","Month","Day","Year","demog_state","demog_state_region","demog_age_list","gw_belief","believer_confidence","believer_cause","believer_problem","believer_immediacy","believer_factor_open","believer_factor_open_coded","believer_factor_glaciers","believer_factor_warmer","believer_factor_models","believer_factor_hurricane","believer_factor_algore","believer_factor_mildwint","believer_factor_polarbrs","believer_factor_droughts","nonbeliever_factor_open","nonbeliever_factor_open_coded","gw_noevidence","gw_scioverstate","gw_earthtoobig","gw_nattrend","gw_mediaoverstate","govt_fed","govt_state","govt_local","state_neighborsact","govt_nostateaction","state_rps_economy","state_impactsfelt","state_rps_neighbr","religion_govtaction","religion_govtactionexplain","state_rps_knowledge","state_cleancoal","state_vehicles_v1","state_hybrids","state_fftax","state_nuclear","state_captrade","state_rps_v1","state_sprawl","state_ee","state_gastax","state_vehicles_v2","state_ethanol","willing2pay_list","demog_race","demog_relig","demog_relig_evang","demog_edu","demog_news","demog_polparty","demog_income","demog_gender","GenWeight","RaceWeight","EdWeight","AgeWeight","Weight"
17,9,8,2008,,1,2,1,1,3,1,1,"WEATHER GETTING WORSE",3,1,3,98,1,3,2,1,1,,,4,4,4,4,4,1,1,1,4,1,2,98,98,4,,98,98,4,98,98,98,2,1,98,98,98,2,1,98,5,6,,5,1,4,,2,0.07,0.4,0.06,0.45,0.98
18,9,8,2008,,2,1,2,,,,,,,,,,,,,,,"NO SPECIFIC REASON",8,2,3,1,1,2,2,2,2,1,1,2,2,2,4,,2,1,4,2,1,1,1,1,2,4,4,4,1,3,10,1,1,2,1,4,,2,0.07,0.25,0.75,0.45,1.52
19,9,8,2008,,1,3,1,2,3,2,1,"SEASONAL CHANGES",3,2,1,1,2,98,2,2,1,,,2,2,2,3,2,1,2,2,2,2,2,2,3,4,,98,1,1,1,4,2,3,1,4,1,4,1,2,5,1,1,98,3,1,98,3,1,0.58,0.06,0.3,0.35,1.285
20,9,8,2008,,1,4,2,,,,,,,,,,,,,,,"NOT VERY DIFFERENT",9,3,2,4,3,98,1,1,3,1,2,4,98,4,4,,98,1,1,1,3,1,1,1,98,1,4,1,98,3,1,2,,3,2,4,4,1,0.58,0.06,0.3,0.1,1.035
21,9,8,2008,,2,3,2,,,,,,,,,,,,,,,"READING I HAVE DONE",5,1,4,4,1,1,2,2,2,4,1,1,4,4,98,,2,1,1,2,1,1,4,1,4,1,1,1,3,6,1,1,1,5,1,1,5,1,0.58,0.06,0.06,0.12,0.815
22,9,8,2008,,3,2,1,2,98,2,1,"EXTREME TEMPERATURES",3,1,1,2,1,98,2,2,4,,,4,4,4,98,3,1,2,2,4,1,2,1,2,4,,98,98,1,1,4,98,2,2,2,1,4,2,98,98,2,1,2,5,1,4,,2,0.07,1,0.06,0.35,1.48
23,9,8,2008,,2,3,1,2,1,1,98,"TEMPERATURES ARE GETTING HOTTER",2,1,1,1,1,1,1,1,1,,,4,4,98,4,4,2,2,2,1,4,2,3,1,4,,98,4,1,1,3,4,4,98,4,98,4,98,98,1,1,2,,2,1,98,2,2,0.07,0.06,0.75,0.12,1
24,9,8,2008,,2,3,2,,,,,,,,,,,,,,,"THE WEATHER GETTING WARMER",1,2,98,3,3,3,3,3,3,3,3,2,2,2,4,,2,2,2,1,3,2,98,2,2,2,3,2,3,6,1,,,5,1,2,6,1,0.58,0.06,0.06,0.12,0.815
25,9,8,2008,,2,4,2,,,,,,,,,,,,,,,"NOT TOO HOT MILDER WINTERS",1,1,1,2,2,1,3,3,3,1,4,1,4,4,1,2,98,4,1,4,4,3,98,4,4,4,4,1,1,3,1,1,2,5,1,4,2,2,0.07,0.06,0.06,0.1,0.29
26,9,8,2008,,1,1,1,1,3,1,1,"MELTING ICE CAPS",1,1,2,2,2,3,2,1,2,,,4,3,4,3,3,1,2,3,3,2,1,2,2,4,,2,1,1,1,2,4,2,1,1,1,4,2,1,3,1,1,2,2,1,1,5,1,0.58,0.06,0.75,0.45,1.835
27,9,8,2008,,1,3,1,3,2,3,2,"THE WORLD GOES AROUND AND COMES AROUND",3,2,98,2,1,98,4,2,2,,,98,1,1,1,1,3,98,3,1,4,4,4,1,4,,2,4,1,4,4,1,4,1,4,1,4,4,4,1,1,2,,4,1,1,3,1,0.58,0.06,0.13,0.12,0.885
28,9,8,2008,,3,4,2,,,,,,,,,,,,,,,"LIVE AROUND LAKE",1,1,1,1,1,1,3,3,3,4,4,4,4,4,4,,98,2,2,2,2,2,2,2,4,1,4,98,4,5,,,,5,2,4,6,1,0.58,0.25,0.06,0.1,0.985
29,9,8,2008,,3,2,2,,,,,,,,,,,,,,,"THE TEMPERATURE",1,1,1,4,2,1,2,2,2,4,2,1,3,4,4,,2,1,1,1,4,1,4,2,4,2,4,1,4,5,1,2,,4,5,2,4,2,0.07,0.06,0.13,0.35,0.61
30,9,8,2008,,1,1,1,2,3,2,98,"POPULATION",10,4,1,2,1,98,2,2,2,,,1,1,4,1,1,2,2,2,1,4,4,1,4,4,,2,1,4,4,98,98,98,1,4,1,1,4,4,1,5,6,,2,1,98,1,2,0.07,0.4,0.75,0.45,1.67
31,9,8,2008,,3,3,1,1,1,2,1,"MELTING OF ICE FLOWS",1,1,2,2,2,2,3,1,1,,,4,4,4,3,3,1,1,1,4,1,1,2,3,4,,98,1,1,1,2,1,2,1,2,1,2,1,2,,1,1,2,3,3,1,5,2,0.07,0.06,0.3,0.12,0.55
32,9,8,2008,,2,2,1,2,2,3,2,"THE EARTHS ATMOSPHERE",10,2,2,4,4,4,4,4,2,,,3,2,2,2,3,2,2,2,3,3,2,2,3,4,,2,2,1,1,3,3,2,2,2,2,2,2,2,98,1,1,1,4,1,4,3,2,0.07,0.06,0.13,0.35,0.61
33,9,8,2008,,1,3,1,2,3,1,1,"I SEE THE ENVIRONMENT CHANGING",2,1,1,3,2,4,1,1,1,,,4,4,4,4,4,2,1,1,4,1,1,1,1,4,,98,1,1,1,1,1,4,1,4,1,4,98,4,3,1,1,2,4,1,2,5,2,0.07,0.06,0.13,0.12,0.38
34,9,8,2008,,1,1,1,2,3,1,1,"TEMPERATURE CHANGES IN DIFFERENT LOCATIONS",2,1,1,1,1,1,1,1,1,,,1,2,2,98,2,2,2,2,98,2,2,2,98,98,,1,1,98,2,4,3,4,1,98,4,4,1,1,98,9,2,,3,2,98,2,2,0.07,3.2,0.3,0.45,4.02
35,9,9,2008,,3,4,2,,,,,,,,,,,,,,,"GETTING COLDER",1,1,1,98,2,1,98,3,3,4,2,2,4,4,4,,98,2,2,2,4,1,4,4,3,2,4,4,98,1,1,1,1,2,1,2,2,2,0.07,0.06,0.75,0.1,0.98
36,9,9,2008,,2,3,1,1,1,1,1,"ICE MELTING",1,1,1,1,1,2,1,1,1,,,4,4,4,4,4,1,1,1,4,1,1,1,3,4,,98,1,1,1,1,98,1,1,2,1,2,1,1,6,2,2,,4,2,1,6,2,0.07,1,0.13,0.35,1.55
37,9,9,2008,,1,2,1,1,1,1,1,"ALL THE POLLUTION",8,1,1,3,1,1,1,1,1,,,4,4,4,4,4,2,2,3,3,1,2,1,4,4,,98,1,3,1,4,98,1,1,3,1,4,3,1,4,9,2,,5,5,4,6,2,0.07,3.2,0.06,0.35,3.68
38,9,9,2008,,1,3,1,1,1,1,1,"EMISSIONS",8,1,1,98,1,4,1,1,98,,,4,4,4,4,4,2,2,3,4,1,1,1,2,4,,98,1,1,2,4,1,2,1,4,1,4,1,2,1,1,2,,3,1,4,3,1,0.58,0.06,0.3,0.12,1.055
39,9,9,2008,,2,3,1,2,2,2,2,"RESEARCH",4,3,4,2,4,4,4,2,4,,,1,1,4,4,1,2,2,2,1,4,1,4,4,4,,2,1,4,4,4,4,1,1,4,4,4,4,4,2,1,6,,4,2,4,5,2,0.07,0.06,0.13,0.35,0.61
40,9,9,2008,,2,4,2,,,,,,,,,,,,,,,"NOTHING SPECIFIC",8,4,4,4,4,4,3,3,2,4,1,1,1,4,4,,2,1,1,1,1,98,2,1,4,2,1,1,1,5,1,1,2,3,2,1,,2,0.07,0.06,0.3,0.1,0.53
41,9,9,2008,,3,2,1,1,1,1,2,"THE WAY THE ICE IS MELTING",1,1,3,1,2,98,3,3,2,,,3,3,3,3,3,1,2,98,3,2,2,3,2,4,,98,2,2,2,4,2,98,2,3,2,3,2,1,3,2,2,,5,1,1,4,2,0.07,1,0.06,0.35,1.48
42,9,9,2008,,3,2,1,1,3,1,1,"WHAT I HAVE HEARD",6,1,3,1,1,1,4,1,1,,,4,4,4,4,4,1,1,1,4,1,98,98,1,1,1,98,1,1,1,4,1,1,1,1,1,1,1,1,3,1,2,,4,4,4,4,1,0.58,0.06,0.13,0.35,1.115
43,9,9,2008,,3,2,1,2,3,1,1,"SHIFT OF ATMOSPHERE",10,1,4,1,1,98,4,1,1,,,2,98,4,4,1,1,1,2,4,1,98,98,4,4,,98,1,1,3,98,98,1,1,3,1,4,1,1,98,1,1,1,4,5,98,4,2,0.07,0.06,0.13,0.45,0.71
44,9,9,2008,,1,4,1,1,3,1,1,"WHAT HE WATCHES ON THE NEWS",6,1,3,1,4,3,4,1,1,,,3,4,4,3,4,1,2,2,4,1,1,1,2,4,,98,1,1,1,2,4,3,1,4,3,1,1,4,98,1,2,,5,1,1,98,1,0.58,0.06,0.06,0.1,0.795
45,9,9,2008,,2,2,1,1,3,1,2,"BIBLE",10,1,2,2,1,98,1,4,2,,,1,4,4,4,4,1,3,3,4,4,2,1,2,1,2,1,1,4,4,4,4,4,2,4,4,4,3,2,1,1,6,,1,6,3,,1,0.58,0.06,1,0.35,1.985
46,9,9,2008,,2,2,2,,,,,,,,,,,,,,,"THE TIME",9,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,98,2,3,3,3,2,3,3,3,2,2,3,3,1,1,1,1,3,5,2,4,2,0.07,0.06,0.3,0.35,0.78
47,9,9,2008,,3,2,1,2,3,2,1,"NOTHING IN PARTICULAR",10,2,2,2,1,4,2,4,1,,,3,3,4,3,4,2,2,2,1,2,1,2,1,3,,1,2,2,2,3,3,1,2,1,2,4,2,1,4,2,6,,5,1,,,2,0.07,1,0.06,0.35,1.48
48,9,9,2008,,1,4,1,1,3,1,1,"ICE MELTING IN ARCTIC",1,1,3,98,2,98,2,1,2,,,2,2,3,4,2,1,1,1,3,1,1,98,3,4,,98,3,1,1,4,3,4,2,3,1,3,1,98,2,1,,,2,1,1,2,2,0.07,0.06,0.75,0.1,0.98
49,9,9,2008,,1,2,1,2,1,1,1,"POLAR CAP",10,1,2,2,1,98,1,4,4,,,4,4,3,3,4,1,2,2,4,2,3,2,2,4,,98,2,2,1,3,98,98,2,4,1,3,2,98,3,10,,,4,1,1,2,2,0.07,0.25,0.13,0.35,0.8
50,9,9,2008,,3,3,1,2,2,4,2,"IT IS MUCH HOTTER",2,3,4,4,3,98,4,4,4,,,1,1,3,1,2,3,3,3,4,3,2,4,3,4,,98,98,2,3,4,2,3,1,2,1,4,1,2,3,1,6,,4,1,1,3,2,0.07,0.06,0.13,0.35,0.61
51,9,9,2008,,1,3,1,1,3,2,1,"WEATHER",2,98,3,3,3,3,3,98,3,,,3,2,98,3,4,2,2,2,4,4,3,2,2,4,,98,98,98,98,2,2,98,2,2,2,1,1,98,98,10,2,,4,2,2,98,2,0.07,0.25,0.13,0.12,0.57
52,9,9,2008,,3,2,1,1,1,1,1,"LITERATURE I HAVE READ BY CLIMATE SCIENTISTS",6,3,3,2,2,4,3,3,2,,,4,2,4,3,3,2,2,2,4,1,1,2,4,4,,2,3,1,2,2,3,2,1,1,1,2,2,3,6,1,1,2,3,5,1,4,2,0.07,0.06,0.3,0.35,0.78
53,9,9,2008,,3,3,2,,,,,,,,,,,,,,,"STUDIES",5,1,3,3,1,1,1,1,1,1,4,1,4,4,4,,98,1,1,1,3,1,1,1,3,1,3,3,1,98,1,2,,4,1,2,,1,0.58,0.06,0.13,0.12,0.885
54,9,9,2008,,2,4,1,1,98,2,98,"THE MELTING ICE",1,98,2,3,4,98,3,1,98,,,98,98,98,98,98,2,2,98,2,3,2,3,2,98,,98,98,2,4,2,4,2,98,2,98,2,4,2,1,1,2,,2,1,2,1,2,0.07,0.06,0.75,0.1,0.98
55,9,9,2008,,1,4,2,,,,,,,,,,,,,,,"TEMPERATURE THE SAME",1,1,4,4,1,1,3,3,3,1,4,1,4,1,4,,98,1,1,1,4,1,4,1,1,1,4,1,4,1,1,2,,3,3,4,2,1,0.58,0.06,0.3,0.1,1.035
56,9,9,2008,,3,1,1,2,3,1,1,"WHAT I HAVE READ",6,1,2,2,2,98,2,2,2,,,4,4,4,3,4,1,1,1,4,1,2,98,98,4,,98,1,1,2,2,3,2,1,1,1,2,1,1,3,1,7,,3,1,1,98,2,0.07,0.06,0.3,0.45,0.88
57,9,9,2008,,2,1,1,1,3,2,2,"WEATHER",3,2,1,2,1,3,1,2,1,,,2,4,2,2,4,2,2,2,3,2,2,2,2,98,,2,3,4,4,4,4,4,4,3,4,1,4,4,2,2,6,,3,1,4,,2,0.07,1,0.3,0.45,1.82
58,9,9,2008,,3,4,1,98,2,1,1,"WEATHER PATTERNS",3,98,2,2,1,2,3,1,2,,,98,4,4,4,4,3,98,98,2,98,98,2,98,4,,1,4,4,98,1,98,2,1,1,1,2,4,4,1,10,1,2,1,1,98,1,2,0.07,0.25,1,0.1,1.42
59,9,9,2008,,3,2,1,1,2,4,2,"CYCLING CLIMATES",3,4,4,2,4,4,2,4,4,,,2,1,1,1,1,3,3,3,98,4,2,1,3,1,98,2,4,4,4,4,2,2,4,4,4,4,4,1,98,1,1,1,5,5,2,4,1,0.58,0.06,0.06,0.35,1.045
60,9,9,2008,,1,3,2,,,,,,,,,,,,,,,"ITS CYCLICAL",2,2,3,3,2,2,2,2,3,3,2,2,3,3,4,,2,1,1,4,4,4,98,1,4,2,4,2,98,1,1,2,,3,2,4,5,1,0.58,0.06,0.3,0.12,1.055
61,9,9,2008,,2,3,1,1,3,1,1,"DIFFERENT CHANGE",3,1,2,2,1,2,2,2,1,,,3,3,3,3,3,2,2,2,3,2,2,2,3,3,,1,2,2,2,98,2,2,2,98,2,3,2,2,4,1,1,2,3,1,,6,1,0.58,0.06,0.3,0.12,1.055
62,9,9,2008,,1,2,2,,,,,,,,,,,,,,,"WEATHER",1,2,4,2,1,4,1,1,2,1,1,1,3,4,1,2,1,1,1,1,1,1,1,1,3,1,3,3,1,2,5,98,,2,5,98,4,1,0.58,0.4,0.75,0.35,2.075
63,9,9,2008,,2,4,1,2,2,2,2,"MEDIA",6,2,3,2,4,3,3,2,2,,,1,2,4,1,1,2,98,98,1,4,4,1,4,4,,2,1,4,4,4,1,4,4,4,4,4,4,4,1,1,1,1,2,5,2,1,1,0.58,0.06,0.75,0.1,1.485
64,9,9,2008,,2,4,1,1,2,1,1,"WHAT I READ THE EARTH IS GETTING CLOSER TO THE SUN",6,1,1,1,1,98,1,98,1,,,4,1,4,1,2,1,1,2,1,1,1,1,1,98,,1,1,1,1,4,1,1,1,1,1,4,4,1,2,2,6,,2,1,1,2,1,0.58,1,0.75,0.1,2.425
65,9,9,2008,,2,3,1,2,1,1,1,"RECORD BREAKING TEMPERATURES",2,1,1,2,1,2,1,1,2,,,4,4,4,4,3,1,2,2,4,1,1,2,3,4,,1,2,1,2,2,3,2,1,2,2,4,2,3,4,1,2,,4,2,4,6,1,0.58,0.06,0.13,0.12,0.885
66,9,9,2008,,1,3,98,,,,,,,,,,,,,,,,,2,98,98,3,98,3,3,3,2,3,1,98,3,4,,2,2,2,1,4,2,2,1,3,1,4,1,2,3,1,1,98,2,1,2,4,2,0.07,0.06,0.75,0.12,1
67,9,9,2008,,2,4,2,,,,,,,,,,,,,,,"LACK OF EVIDENCE",3,1,2,4,4,1,2,3,3,4,4,98,4,4,4,,98,4,4,4,4,1,4,4,1,4,4,4,4,1,1,2,,5,2,2,,2,0.07,0.06,0.06,0.1,0.29
68,9,9,2008,,3,4,1,2,98,1,2,"EVERY DAY LIVING",3,2,1,4,1,1,1,1,1,,,4,3,98,2,2,98,98,98,2,98,1,1,2,1,2,2,1,4,1,4,4,2,1,3,98,4,4,1,1,1,1,1,2,1,1,98,2,0.07,0.06,0.75,0.1,0.98
69,9,9,2008,,2,3,1,2,3,1,1,"TV SHOWS",6,1,1,98,1,,1,2,1,,,4,4,3,3,4,1,1,1,4,1,98,2,4,4,,2,1,1,1,1,98,98,1,3,1,4,1,2,2,10,1,2,2,1,98,1,2,0.07,0.25,0.75,0.12,1.19
70,9,9,2008,,3,3,1,1,3,1,1,"READING IN JOURNALS PERIODICALS",6,2,3,3,2,4,4,2,2,,,3,4,4,98,3,1,2,2,3,2,2,98,2,4,,2,1,2,3,2,1,1,2,3,2,2,2,3,5,1,1,2,5,1,4,6,1,0.58,0.06,0.06,0.12,0.815
71,9,9,2008,,2,2,1,1,1,1,1,"POLAR ICE CAPS MELTING",1,1,3,2,1,4,3,1,1,,,4,4,4,3,3,2,2,2,4,1,2,2,3,4,,2,2,1,2,2,1,2,2,2,1,1,1,3,5,1,6,,4,4,1,6,2,0.07,0.06,0.13,0.35,0.61
72,9,9,2008,,1,3,1,3,98,1,1,"WHAT I HEARD",2,1,1,2,2,98,3,98,98,,,2,3,98,2,3,1,1,1,2,2,2,2,2,3,,98,2,2,2,2,2,2,2,2,2,3,2,2,1,,,,,,,,1,0.58,0.25,0.25,0.12,1.195
73,9,9,2008,,2,3,1,1,1,1,1,"LITERATURE READ",6,1,2,2,1,4,1,1,1,,,4,4,4,4,4,2,2,3,4,1,1,3,2,4,,98,1,1,1,1,1,1,1,2,1,2,1,1,3,10,1,2,4,1,1,4,2,0.07,0.25,0.13,0.12,0.57
74,9,9,2008,,3,1,2,,,,,,,,,,,,,,,"HEARD AND READ",8,3,3,3,4,4,3,3,3,4,1,98,,1,4,,98,2,2,2,3,2,98,2,2,2,4,1,3,2,1,,,4,1,,2,2,0.07,0.06,0.13,0.45,0.71
75,9,9,2008,,1,3,1,1,3,1,98,"WE CUT DOWN ALOT OF TREES",10,4,2,2,2,4,3,3,1,,,3,3,3,2,3,2,2,2,4,2,1,2,3,4,,1,1,2,3,4,1,3,1,4,1,4,4,4,4,10,6,,4,5,98,5,1,0.58,0.25,0.13,0.12,1.075
76,9,9,2008,,2,3,2,,,,,,,,,,,,,,,"NORMAL CYCLE",2,1,2,4,2,2,1,2,2,3,1,3,1,1,4,,98,1,1,2,3,1,2,1,2,1,4,2,2,2,9,1,1,2,1,2,1,1,0.58,3.2,0.75,0.12,4.645
77,9,9,2008,,1,2,1,2,2,3,2,"THE MEDIA",6,1,4,4,3,4,4,4,4,,,3,3,2,2,1,2,2,2,4,4,4,4,4,4,,98,4,4,4,2,1,2,98,4,2,1,4,2,5,1,1,2,4,2,4,,1,0.58,0.06,0.13,0.35,1.115
78,9,9,2008,,2,5,1,1,1,2,1,"NUMBER OF HURRICANES",3,1,1,1,1,1,4,1,1,,,4,4,4,4,4,2,2,1,4,1,1,1,4,4,,1,1,1,4,4,2,2,1,2,1,4,1,4,3,1,2,,4,1,1,2,2,0.07,0.06,0.13,0.25,0.51
79,9,9,2008,,2,3,1,2,3,2,1,"ICE MELTING",1,1,1,98,1,2,2,2,1,,,4,3,4,3,3,1,1,1,4,1,1,2,3,4,,1,1,1,1,98,1,2,1,98,1,98,1,2,4,10,2,,4,4,4,6,1,0.58,0.25,0.13,0.12,1.075
80,9,9,2008,,1,3,1,1,1,1,1,"SCENTIFIC REPORTS",4,1,2,1,1,1,2,1,1,,,4,4,4,4,4,1,1,2,4,1,1,2,4,1,1,98,2,1,1,2,3,98,1,3,1,3,1,1,3,1,6,,5,4,4,3,2,0.07,0.06,0.06,0.12,0.31
81,9,9,2008,,1,4,1,2,1,1,1,"TV SHOWS",6,1,3,3,1,3,1,1,1,,,4,4,4,4,4,1,2,2,1,1,1,1,4,4,,2,2,1,1,1,1,1,1,1,1,4,1,1,3,1,2,,3,1,1,2,2,0.07,0.06,0.3,0.1,0.53
82,9,9,2008,,3,2,1,1,2,3,2,"INFORMATION",5,1,4,4,4,4,4,4,4,,,2,1,4,1,4,2,2,2,1,4,4,1,1,4,,98,1,2,4,4,1,98,1,4,1,4,4,4,2,1,1,2,4,3,2,4,1,0.58,0.06,0.13,0.35,1.115
83,9,9,2008,,2,3,1,1,1,1,1,"ICE CAPS",1,1,1,4,1,4,2,1,1,,,4,4,4,4,4,1,1,1,4,1,1,1,3,4,,98,4,1,1,4,4,4,1,4,1,4,1,1,6,1,6,,4,1,1,1,2,0.07,0.06,0.13,0.12,0.38
84,9,9,2008,,3,4,1,1,3,1,1,"FEELS WARMER  ICE CAPS",2,1,2,2,1,,3,2,2,,,4,1,3,2,4,1,1,2,4,1,2,98,3,4,,1,1,1,98,4,1,2,1,1,1,4,3,4,2,1,2,,4,98,1,2,1,0.58,0.06,0.13,0.1,0.865
85,9,9,2008,,2,3,2,,,,,,,,,,,,,,,"FACTS CHANGE",2,1,1,1,1,1,3,2,3,4,4,4,4,4,1,2,1,4,4,4,4,3,4,4,4,4,4,4,4,1,1,6,,5,1,1,6,2,0.07,0.06,0.06,0.12,0.31
86,9,9,2008,,2,1,1,1,1,1,1,"HURRICANES DISASTERS",3,1,1,1,1,2,4,1,1,,,4,1,4,4,4,1,1,1,3,3,1,1,3,4,,98,1,1,1,1,1,1,1,1,1,4,1,1,2,9,2,,3,5,1,3,2,0.07,3.2,0.3,0.45,4.02
87,9,9,2008,,1,2,1,1,1,1,1,"WEATHER",3,1,2,4,1,2,2,4,2,,,4,4,4,4,4,1,1,1,4,1,2,1,2,4,,98,1,1,1,2,98,98,1,98,1,98,1,1,5,,,,3,98,,6,2,0.07,0.25,0.3,0.45,1.07
88,9,9,2008,,3,3,1,2,98,2,98,"TIDAL WAVES",3,1,4,3,1,98,4,98,1,,,4,4,4,4,98,1,1,1,4,1,2,98,98,4,,98,98,2,1,4,98,98,1,2,1,4,4,4,4,1,7,,2,2,98,,2,0.07,0.06,0.75,0.12,1
