"RespNum","Sample","Call_Date_Time","version_willing2pay","demog_age_open_coded","demog_state","demog_state_region","gw_belief","believer_confidence","believer_cause","believer_problem","believer_immediacy","believer_factor_open","believer_factor_open_coded","believer_factor_glaciers","believer_factor_warmer","believer_factor_models","believer_factor_hurricane","believer_factor_mildwint","believer_factor_polarbrs","believer_factor_droughts","believer_factor_extremes","nonbeliever_confidence","nonbeliever_factor_open","nonbeliever_factor_open_coded","nonbeliever_factor_weath","nonbeliever_factor_scievid","nonbeliever_factor_distort","gw_noevidence","gw_scioverstate","gw_mediaoverstate","state_neighborsact","govt_nostateaction","state_impactsfelt","religion_govtaction","state_fftax","state_captrade","state_rps_v1","state_gastax","captrade_support_calif","enrgysecfund_support","industrial_caa_action","willing2pay_list","willing2pay_open","willing2pay_open_coded","demog_race","demog_relig","demog_relig_evang","demog_edu","demog_news","demog_polparty","demog_polviews","demog_income","demog_gender","totalweight"
32,"c","4/1/2013 6:37:09 P","A",4,"LOUISIANA","2",1,98,2,98,98,"NOTHING",10,98,2,98,98,2,98,98,3,,,,,,,1,1,98,98,98,98,98,4,3,98,4,3,3,2,1,,,2,6,,2,1,1,2,1,2,1.22
33,"c","4/1/2013 6:37:44 P","A",3,"SOUTH CAROLINA","2",1,2,1,2,1,"TOO MUCH EMMISSIONS FROM BUSINESSES",8,2,2,3,1,2,2,2,1,,,,,,,3,2,2,3,3,2,3,3,2,2,3,2,2,1,3,,,1,1,2,3,2,2,2,4,2,0.84
34,"c","4/1/2013 6:38:18 P","A",3,"TEXAS","2",1,1,1,1,1,"MELTING GLACIERS",1,1,2,2,2,2,2,2,2,,,,,,,4,4,3,3,1,2,4,2,2,1,2,1,1,1,3,,,1,2,,4,2,1,5,,1,0.84
35,"c","4/1/2013 6:39:38 P","A",3,"TEXAS","2",1,1,1,1,1,"STORMS, CROP FAILURE AND MUCH WARMER",3,1,1,3,1,3,1,1,1,,,,,,,4,4,4,4,1,1,4,2,1,1,3,1,1,1,2,,,1,1,1,4,5,4,4,4,1,0.84
36,"c","4/1/2013 6:40:53 P","A",3,"ARIZONA","4",1,1,3,2,98,"TAKES METEOROLOGY CLASS",4,2,4,2,4,4,98,2,2,,,,,,,3,3,3,4,98,98,4,4,2,98,4,98,4,98,1,,,1,1,1,4,5,1,3,,2,0.85
37,"c","4/1/2013 6:43:49 P","A",2,"FLORIDA","2",2,,,,,"",,,,,,,,,,1,"WEATHER PATTERNS",2,1,2,2,1,1,1,98,4,4,,4,4,4,4,4,4,2,1,,,1,1,2,4,5,4,3,,1,1.18
38,"c","4/1/2013 6:45:08 P","A",3,"MICHIGAN","3",1,2,3,2,1,"RESEARCH DATA",4,1,1,1,3,3,1,1,3,,,,,,,4,4,4,4,2,1,4,3,1,1,4,1,1,1,3,,,1,6,,4,1,4,2,3,2,0.85
39,"c","4/1/2013 6:47:13 P","A",1,"PENNSYLVANIA","1",1,2,2,1,1,"CLIMATE",10,2,1,3,2,2,1,2,2,,,,,,,1,3,1,4,1,2,2,2,2,2,3,1,4,1,1,,,2,1,1,2,1,4,3,,1,2.05
40,"c","4/1/2013 6:50:18 P","A",3,"ILLINOIS","3",2,,,,,"",,,,,,,,,,2,"GOD MAKES THE TEMPERATURES",6,3,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,2,1,,,1,1,2,2,1,,3,,1,0.84
41,"c","4/1/2013 6:50:43 P","A",4,"FLORIDA","2",1,2,3,2,2,"MELTING ICE",1,4,4,4,4,4,4,4,4,,,,,,,1,1,1,3,3,2,,4,4,4,4,4,4,2,1,,,1,2,,4,1,4,2,3,2,0.725
42,"c","4/1/2013 6:54:27 P","A",3,"MICHIGAN","3",1,1,1,3,1,"MOVIES",6,1,2,3,4,2,4,3,3,,,,,,,4,3,2,3,4,2,4,2,2,4,4,1,1,1,2,,,10,6,,3,2,4,3,,1,0.91
43,"c","4/1/2013 6:58:10 P","A",2,"GEORGIA","2",2,,,,,"",,,,,,,,,,2,"THERE ARE CHANGES BUT NOT BECAUSE OF GLOBAL WARMING",2,1,3,2,1,1,1,4,3,4,3,4,98,4,4,98,4,2,98,,,5,2,,5,3,2,1,6,2,1.25
44,"c","4/1/2013 7:08:33 P","B",1,"TEXAS","2",1,1,1,1,1,"TIDE AND BEACH EROSIONS",11,2,4,2,3,3,3,3,3,,,,,,,3,3,3,3,1,2,4,1,1,1,2,1,1,1,,"$50",2,1,1,2,4,1,4,3,6,1,1.555
45,"c","4/1/2013 7:12:10 P","B",2,"MASSACHUSETTS","1",1,2,3,2,2,"SEVERE WEATHER AND BEACH EROSION",3,1,3,3,2,3,2,2,1,,,,,,,3,2,2,3,2,2,4,3,2,2,3,2,2,1,,"$75",3,1,1,2,5,5,2,1,6,1,1.18
46,"c","4/1/2013 7:12:45 P","B",3,"NORTH CAROLINA","2",2,,,,,"",,,,,,,,,,2,"THIS YEAR NEWS SAID IT WAS COLDER THAN EVER",1,1,3,3,2,2,2,2,4,4,4,4,2,1,4,1,2,1,,"$0",1,1,6,,3,1,4,2,3,1,0.84
47,"c","4/1/2013 7:12:49 P","B",1,"NEW JERSEY","1",1,2,1,2,1,"WEATHER",3,2,1,2,2,3,2,2,1,,,,,,,4,2,1,1,2,98,98,2,2,2,4,2,2,98,,"$20",2,9,6,,2,5,,2,,2,2.05
48,"c","4/1/2013 7:12:52 P","B",4,"WYOMING","4",2,,,,,"",,,,,,,,,,1,"NATURAL WEATHER PATTERNS",2,3,2,1,1,1,1,1,4,3,2,4,4,4,4,4,4,2,,"$0",1,1,1,1,2,1,2,1,1,1,0.725
49,"c","4/1/2013 7:16:16 P","B",4,"MASSACHUSETTS","1",2,,,,,"",,,,,,,,,,1,"NOT AFTER THE WINTER WE JUST HAD",1,1,4,4,1,1,1,1,4,98,4,4,2,1,4,1,1,1,,"$0",1,1,1,2,2,1,1,3,2,2,0.725
50,"c","4/1/2013 7:16:25 P","B",1,"INDIANA","3",1,2,98,2,98,"DO NOT KNOW",10,3,2,2,2,2,2,2,2,,,,,,,2,2,3,3,3,3,2,4,4,2,3,3,3,2,,"REFUSED",,1,98,,2,5,1,5,,2,1.555
51,"c","4/1/2013 7:16:54 P","B",3,"PENNSYLVANIA","1",1,1,3,1,1,"CLIMATE CHANGES",3,2,2,2,2,2,2,2,2,,,,,,,3,3,3,3,1,2,4,2,2,1,2,2,2,1,,"$100",3,1,2,,4,2,1,5,,1,0.84
52,"c","4/1/2013 7:17:51 P","B",2,"INDIANA","3",2,,,,,"",,,,,,,,,,2,"NATURAL TRENDS OVER THE CENTURIES",2,1,4,2,1,1,1,4,4,4,4,4,4,4,4,4,4,2,,"$0",1,1,1,2,2,4,4,3,,2,1.18
53,"c","4/1/2013 7:18:08 P","B",3,"WEST VIRGINIA","2",1,2,1,1,1,"WEATHER",3,1,2,1,1,2,1,1,1,,,,,,,1,2,4,4,1,1,1,1,1,1,2,2,1,1,,"$1,000",6,1,1,2,2,1,2,2,3,1,0.84
54,"c","4/1/2013 7:18:44 P","B",4,"ILLINOIS","3",98,,,,,"",,,,,,,,,,,,,,,,98,98,3,1,2,98,3,2,2,2,3,98,1,1,,"REFUSED",,1,2,,2,3,1,4,1,1,0.725
55,"c","4/1/2013 7:21:09 P","B",3,"ILLINOIS","3",1,1,1,1,1,"DROUGHT",3,1,1,4,4,3,1,1,3,,,,,,,4,4,3,4,4,2,4,3,2,1,4,1,1,1,,"$20",2,1,6,,2,1,1,2,3,1,0.84
56,"c","4/1/2013 7:22:29 P","B",3,"CALIFORNIA","4",98,,,,,"",,,,,,,,,,,,,,,,2,2,1,98,98,98,3,3,2,2,3,98,98,98,,"REFUSED",,10,6,,3,1,4,3,,2,0.91
57,"c","4/1/2013 7:22:56 P","B",2,"OHIO","3",2,,,,,"",,,,,,,,,,1,"BRAIN",1,2,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,98,,"$0",1,1,2,,4,1,4,2,4,1,1.18
58,"c","4/1/2013 7:25:26 P","B",3,"TEXAS","2",1,2,3,2,2,"HOTTER SUMMERS AND MORE SEVERE WEATHER",2,2,1,2,1,2,2,2,1,,,,,,,3,3,2,3,3,2,,4,2,2,3,2,2,1,,"$50",2,9,2,,2,1,1,4,2,2,1.335
59,"c","4/1/2013 7:27:11 P","B",3,"ILLINOIS","3",1,1,1,1,1,"WEATHER",3,1,1,2,2,2,1,2,2,,,,,,,3,4,4,1,4,1,4,4,4,4,4,4,1,1,,"$1,000",6,1,1,2,3,5,4,2,3,1,0.84
60,"c","4/1/2013 7:30:22 P","B",2,"NEW YORK","1",1,2,3,4,2,"NATURAL CYCLE",9,2,4,2,4,4,4,4,3,,,,,,,4,3,3,1,4,4,4,4,4,3,4,4,4,2,,"$0",1,,2,,5,3,4,3,,1,1.25
61,"c","4/1/2013 7:31:01 P","B",3,"MISSOURI","3",1,1,3,2,1,"CHANGES IN WEATHER",3,2,2,2,2,2,3,2,2,,,,,,,3,98,98,4,2,2,4,98,98,98,3,98,98,1,,"REFUSED",,1,2,,4,1,1,3,,2,0.84
62,"l","4/1/2013 7:39:39 P","B",4,"MARYLAND","2",2,,,,,"",,,,,,,,,,2,"HAVE SEEN THE NATURAL CHANGES HAPPENING",1,1,3,2,2,2,2,2,3,3,98,4,98,2,4,3,3,3,,"$0",1,1,1,2,4,2,2,2,4,1,0.725
63,"l","4/1/2013 7:42:50 P","B",3,"MICHIGAN","3",1,1,1,1,1,"ALL THE CROP FAILURE AND MORE FOREST FIRES",14,1,1,3,3,3,1,1,3,,,,,,,4,4,4,4,1,1,98,2,2,2,3,2,2,1,,"$50",2,1,1,2,2,1,1,2,3,2,0.85
64,"l","4/1/2013 7:43:16 P","B",4,"TEXAS","2",1,1,3,2,1,"EMMISSIONS",8,2,2,1,4,1,1,1,4,,,,,,,4,2,1,4,1,2,4,4,4,1,4,4,2,1,,"$0",1,1,1,2,4,2,2,3,1,2,0.725
65,"l","4/1/2013 7:43:37 P","B",3,"INDIANA","3",1,2,98,2,98,"NOT SURE",10,3,2,4,2,1,4,1,2,,,,,,,1,3,4,4,2,4,4,1,3,1,1,98,1,1,,"$100",3,1,2,,3,5,2,2,2,2,0.85
66,"l","4/1/2013 7:45:56 P","B",3,"WASHINGTON","4",98,,,,,"",,,,,,,,,,,,,,,,2,2,2,2,4,98,4,4,2,1,4,2,2,1,,"$0",1,1,1,2,3,1,4,2,4,2,0.84
67,"l","4/1/2013 7:46:33 P","B",3,"ALABAMA","2",2,,,,,"",,,,,,,,,,2,"THE SCIENCE IS NOT PROVEN",3,2,3,1,1,1,1,4,4,4,4,4,4,4,4,4,4,2,,"$0",1,1,1,2,4,5,4,1,6,1,0.84
68,"l","4/1/2013 7:47:52 P","B",4,"ILLINOIS","3",1,1,3,3,2,"TELEVISION",6,1,2,2,4,2,4,2,3,,,,,,,1,3,2,1,3,2,4,1,4,1,3,1,4,1,,"$0",1,1,2,,3,1,2,1,2,1,0.725
69,"l","4/1/2013 7:51:56 P","B",4,"MINNESOTA","3",1,1,3,2,2,"SEVERE WEATHER WITH LONGER WINTERS",3,1,4,3,2,4,2,2,1,,,,,,,2,2,2,2,3,3,98,4,2,2,4,2,2,1,,"$100",3,1,1,2,4,5,2,2,3,1,0.725
70,"l","4/1/2013 7:52:12 P","B",3,"KENTUCKY","2",1,2,1,1,1,"CLIMATE",10,1,3,2,2,2,2,2,2,,,,,,,3,3,3,3,1,2,3,2,2,1,2,2,2,1,,"$50",2,1,2,,4,5,1,4,,2,0.85
71,"l","4/1/2013 7:54:37 P","B",4,"NEW JERSEY","1",1,1,3,2,1,"WARMER SUMMERS AND LESS SNOW",2,1,1,3,1,1,1,1,1,,,,,,,4,4,4,4,2,2,4,4,2,1,4,1,1,1,,"$1",2,1,2,,2,1,1,3,2,2,0.725
72,"l","4/1/2013 7:55:04 P","B",3,"MICHIGAN","3",1,1,1,2,1,"SCIENTISTS",4,2,2,3,2,2,2,2,2,,,,,,,4,4,4,4,2,2,98,1,2,2,2,2,4,1,,"DO NOT K",98,1,2,,5,2,1,5,,1,0.84
73,"l","4/1/2013 7:58:55 P","B",4,"ALABAMA","2",2,,,,,"",,,,,,,,,,1,"HAVE SEEN THIS ALL BEFORE",1,1,4,4,1,1,1,1,4,4,4,4,4,4,4,4,2,2,,"$0",1,1,1,2,1,1,1,2,1,1,0.725
74,"l","4/1/2013 7:59:28 P","B",3,"NEW YORK","1",1,1,1,1,1,"HIGHER TIDES, WARMER WINTERS AND MORE SEVERE WEATHER",11,2,1,3,2,2,2,2,1,,,,,,,3,2,2,3,2,2,98,3,3,2,3,2,2,1,,"$100",3,1,3,,4,3,1,4,5,2,0.84
75,"l","4/1/2013 8:00:56 P","B",2,"MAINE","1",1,2,3,2,1,"VEIWING IT",2,2,1,3,3,2,3,2,2,,,,,,,3,3,2,3,3,2,2,4,2,2,3,3,2,1,,"$0",1,1,6,,5,5,2,2,3,1,1.18
76,"l","4/1/2013 8:03:22 P","B",2,"INDIANA","3",1,1,3,2,1,"READING ABOUT IT",6,1,3,4,2,3,1,1,2,,,,,,,4,4,4,4,1,1,98,4,2,2,4,98,1,1,,"$50",2,1,1,2,2,1,2,1,3,2,1.18
77,"l","4/1/2013 8:04:18 P","B",2,"INDIANA","3",98,,,,,"",,,,,,,,,,,,,,,,2,2,2,2,3,98,98,4,3,98,4,98,98,98,,"$0",1,10,6,,2,2,3,3,2,1,1.25
78,"l","4/1/2013 8:04:31 P","B",4,"ARKANSAS","2",1,1,2,1,1,"GLACIERS",1,1,1,98,2,1,1,1,1,,,,,,,4,4,4,4,1,1,4,1,4,1,4,98,1,1,,"$0",1,1,1,98,3,1,4,2,2,2,0.725
79,"l","4/1/2013 8:04:50 P","B",3,"ILLINOIS","3",1,1,3,1,1,"WARM WINTERS",2,2,1,2,3,1,2,3,2,,,,,,,4,4,4,4,1,2,4,2,2,1,2,2,2,1,,"$100",3,1,2,,4,1,1,5,,1,0.84
80,"l","4/1/2013 8:06:17 P","B",4,"NEW JERSEY","1",1,1,1,1,1,"DEPLETION OF OZONE LAYER POLLUTION",10,1,1,3,1,1,1,1,1,,,,,,,4,4,4,4,1,1,4,2,1,1,3,1,1,1,,"$100",3,1,2,,3,1,2,1,3,2,0.725
81,"l","4/1/2013 8:09:22 P","B",2,"CALIFORNIA","4",2,,,,,"",,,,,,,,,,2,"NATURAL WARMING OVER THE CENTURIES",2,1,4,4,1,1,1,2,3,3,3,4,4,4,4,4,4,2,,"$0",1,9,2,,3,4,1,5,3,1,1.69
82,"l","4/1/2013 8:09:42 P","B",2,"CALIFORNIA","4",1,1,3,1,1,"EARTHQUAKES, MUD SLIDES AND FIRES",10,2,2,3,2,3,2,2,2,,,,,,,4,4,4,4,2,1,4,3,1,1,4,1,1,1,,"$35",2,1,6,,3,5,4,4,3,2,1.18
83,"l","4/1/2013 8:09:45 P","B",4,"TEXAS","2",1,1,3,1,1,"CLIMATE CHANGES",3,1,4,2,3,2,1,3,3,,,,,,,4,4,4,4,1,2,4,1,1,1,1,1,1,1,,"$50",2,1,1,2,3,1,,,,1,0.725
84,"l","4/1/2013 8:13:18 P","B",4,"FLORIDA","2",1,1,1,1,1,"RISING WATER",11,1,1,1,1,1,1,1,1,,,,,,,4,4,4,4,1,1,4,1,1,1,2,1,1,1,,"DO NOT K",98,,,,3,3,4,3,,1,0.795
85,"l","4/1/2013 8:13:49 P","B",3,"SOUTH CAROLINA","2",98,,,,,"",,,,,,,,,,,,,,,,2,3,2,2,3,98,98,4,2,2,4,2,2,1,,"$0",1,2,1,1,3,1,1,2,2,2,1.335
86,"l","4/1/2013 8:15:19 P","B",4,"MICHIGAN","3",2,,,,,"",,,,,,,,,,2,"GOD MAKES THE WEATHER",6,1,4,4,1,1,1,3,3,3,4,4,4,2,4,2,2,1,,"$25",2,2,4,,2,2,3,3,2,2,1.22
87,"l","4/1/2013 8:15:52 P","B",3,"NEW JERSEY","1",1,1,1,1,1,"CARBON DIOXIDE FROM POLLUTION FROM BURNING FOSSIL FUEL",8,1,3,1,2,2,2,2,2,,,,,,,3,4,98,4,1,2,4,1,1,1,1,2,2,1,,"$200",4,1,6,,5,4,1,3,6,1,0.84
88,"l","4/1/2013 8:16:22 P","B",3,"MICHIGAN","3",1,1,3,1,2,"NO SNOW IN THE WINTER",3,2,2,98,2,1,4,3,2,,,,,,,4,2,2,4,4,1,2,3,2,1,4,4,4,1,,"$0",1,1,98,,2,1,4,4,4,1,0.84
89,"l","4/1/2013 8:16:38 P","B",3,"MINNESOTA","3",2,,,,,"",,,,,,,,,,1,"FREEZING",1,2,2,2,1,1,1,4,4,4,4,4,4,2,4,4,2,2,,"$0",1,1,6,,2,1,,,,1,0.84
90,"l","4/1/2013 8:20:22 P","B",4,"PENNSYLVANIA","1",98,,,,,"",,,,,,,,,,,,,,,,3,2,2,2,2,3,98,3,98,98,4,98,98,98,,"$0",1,1,2,,2,2,4,3,,2,0.725
91,"l","4/1/2013 8:21:52 P","B",3,"LOUISIANA","2",98,,,,,"",,,,,,,,,,,,,,,,98,98,98,98,98,98,98,3,98,3,4,98,98,98,,"$0",1,1,1,2,3,1,4,3,,2,0.85
92,"l","4/1/2013 8:22:45 P","B",3,"TENNESSEE","2",1,1,1,1,1,"SEA LIFE WASHING UP ON SHORES AND DROUGHTS",7,1,2,3,2,3,1,1,2,,,,,,,4,4,4,4,2,2,4,1,1,1,3,1,1,1,,"$25",2,1,6,,4,5,4,2,4,1,0.84
93,"l","4/1/2013 8:25:19 P","B",4,"CALIFORNIA","4",2,,,,,"",,,,,,,,,,2,"COLDER",1,1,1,1,1,1,1,3,3,4,4,4,3,3,4,3,1,3,,"$0",1,1,2,,2,1,1,4,1,1,0.725
94,"l","4/1/2013 8:26:09 P","B",4,"MISSISSIPPI","2",1,2,3,2,2,"SUMMERS ARE GETTING LONGER AND HOTTER",2,2,2,3,2,2,2,2,2,,,,,,,98,2,2,2,3,2,3,4,2,2,4,2,2,1,,"$20",2,2,2,,1,1,1,4,1,2,1.22
95,"l","4/1/2013 8:26:32 P","B",4,"OHIO","3",2,,,,,"",,,,,,,,,,1,"STILL DIGGING OUT FROM SNOW THIS PAST YEAR",1,1,4,4,2,2,2,2,4,4,98,4,98,2,4,98,2,1,,"$0",1,1,1,2,4,1,4,2,3,2,0.725
96,"l","4/1/2013 8:27:42 P","B",4,"ALASKA","4",1,2,3,1,1,"CLIMATE",10,1,3,1,2,3,2,2,2,,,,,,,4,4,4,4,1,1,4,2,2,1,2,2,2,1,,"REFUSED",,1,,,3,1,1,4,4,1,0.725
