"closup_id","SampleType","VersionAB","VersionCD","Date","demog_age_list","demog_state","demog_state_region","gw_belief","believer_confidence","believer_cause","believer_factor_open","believer_factor_open_coded","believer_factor_glaciers","believer_factor_warmer","believer_factor_models","believer_factor_hurricane","believer_factor_mildwint","believer_factor_polarbrs","believer_factor_droughts","believer_factor_extremes","nonbeliever_confidence","nonbeliever_factor_open","nonbeliever_factor_open_coded","nonbeliever_factor_weath","nonbeliever_factor_scievid","nonbeliever_factor_distort","carbontax_support","carbontax_support_info","carbontax_cost10pct","carbontax_revneutral_v1","carbontax_revneutral_v1_info","carbontax_rev4research_v1","carbontax_rev4research_v1_info","carbontax_rev4debt_v2","carbontax_rev4debt_v2_info","carbontax_revfed_v2","willing2pay_temprise_5","willing2pay_temprise_10","willing2pay_temprise_20","willing2pay_temprise_40","willing2pay_certain","willing2pay_temprise_most_coded","discountrate_2pct","discountrate_2pct_info","discountrate_5pct","discountrate_5pct_info","discountrate_10pct","discountrate_10pct_info","discountrate_20pct","discountrate_20pct_info","discountrate_44pct","discountrate_44pct_info","discountrate_76pct","discountrate_76pct_info","discountrate_open_coded","demog_race","demog_relig","demog_relig_evang","demog_edu","demog_news","demog_polparty","demog_polviews","demog_persfinance","demog_income","feedback_understand","demog_gender","Weight"
16,"l","A","C","3/25/2014 7:24:32",4,"IL",3,2,,,,,,,,,,,,,1,"TEMPERATURE GUAGES",5,1,1,1,4,,3,2,,4,,4,,98,2,,,,,1,1,,1,,1,,1,,1,,1,,1,1,1,1,3,1,2,1,3,,1,1,0.56
17,"l","A","D","3/27/2014 6:54:17",4,"IL",3,2,,,,,,,,,,,,,3,"NOT SURE",9,2,2,2,2,,2,2,,2,,2,,3,,,,2,,1,,1,,2,,,,,,,,,1,2,6,,3,1,4,3,2,,2,2,1.49
18,"l","B","D","3/26/2014 6:10:19",4,"IN",3,98,,,,,,,,,,,,,,,,,,,,4,4,,4,,4,,4,1,2,,,,,1,,98,,,,,,,,,,,1,2,1,1,2,1,1,2,3,1,1,2,1.74
19,"c","B","C","4/3/2014 9:22:20 P",4,"LA",2,2,,,,,,,,,,,,,1,"ICE MELTING",9,4,4,4,,4,4,,4,,4,,4,4,2,,,,,1,1,,1,,1,,1,,1,,1,,1,1,2,,3,2,2,1,2,3,1,1,0.46
20,"c","B","D","4/2/2014 8:56:51 P",4,"MA",1,1,1,98,"NOT SURE",10,2,1,98,4,1,98,98,98,,,,,,,,4,4,,4,,1,,4,1,,,,2,,1,,,,,,,,,,,,,1,,,,,2,,1,,,2,1,0.66
21,"c","B","D","4/1/2014 6:05:30 P",3,"MI",3,1,1,1,"CARBON DIOXIDE",8,1,4,98,4,4,1,1,1,,,,,,,,4,4,,4,,1,,98,4,,,,2,,1,,1,,1,,1,,1,,1,,1,1,1,2,,4,1,1,5,2,2,1,1,0.32
22,"c","A","D","4/3/2014 6:50:15 P",3,"MI",3,2,,,,,,,,,,,,,1,"LIBERALS LIE",7,4,4,4,4,,4,4,,4,,4,,4,,,,2,,1,,1,,1,,1,,1,,1,,1,1,1,6,,4,3,2,1,3,6,2,1,0.5
23,"c","B","C","4/3/2014 8:37:34 P",2,"MN",3,98,,,,,,,,,,,,,,,,,,,,98,4,,1,,1,,1,2,,98,,,,1,2,,,,,,,,,,,,1,1,1,1,5,1,2,3,2,3,2,1,0.8
24,"c","B","C","4/10/2014 10:29:29",4,"MT",4,2,,,,,,,,,,,,,1,"NORMAL",2,1,4,4,,4,4,,4,,4,,1,3,,,,,,1,1,,1,,1,,1,,1,,1,,1,1,2,,2,1,4,98,3,,1,2,0.94
25,"l","A","C","3/24/2014 6:25:30",2,"ND",3,98,,,,,,,,,,,,,,,,,,,2,,98,2,,2,,98,,1,,,2,,,1,1,,2,,,,,,,,,,1,1,1,98,2,1,1,4,3,2,4,2,1.33
26,"l","B","D","3/25/2014 5:56:11",4,"NJ",1,98,,,,,,,,,,,,,,,,,,,,3,3,,4,,4,,4,98,,2,,,,1,,1,,1,,1,,1,,1,,1,1,1,6,,4,1,1,98,2,,1,1,0.38
27,"c","B","D","4/1/2014 5:52:48 P",1,"NY",1,98,,,,,,,,,,,,,,,,,,,,4,4,,1,,1,,4,2,,1,,,,1,,1,,1,,1,,1,,1,,1,1,1,6,,3,1,1,4,3,2,1,1,1.45
28,"l","A","C","3/24/2014 7:04:30",3,"OH",3,1,2,2,"CYCLES",9,3,3,3,3,4,3,3,3,,,,,,,3,,4,4,,2,,98,,1,,2,,,,1,1,,1,,1,,1,,1,,1,,1,1,1,1,3,6,4,3,2,2,1,2,0.68
29,"l","B","D","3/31/2014 5:15:42",3,"OH",3,2,,,,,,,,,,,,,2,"EARTH IS OVER POPULATED",9,1,1,4,,4,4,,4,,4,,4,1,,,,,,1,,1,,2,,,,,,,,,1,2,6,,3,5,,3,2,2,2,1,1.25
30,"l","A","D","3/31/2014 6:50:59",4,"OH",3,2,,,,,,,,,,,,,1,"NOT SURE",9,1,1,2,4,,4,4,,4,,4,,4,,,,2,,1,,1,,1,,1,,1,,1,,1,1,1,1,2,3,1,4,2,3,,1,2,0.74
31,"l","A","D","4/1/2014 8:25:29 P",4,"OR",4,2,,,,,,,,,,,,,1,"WEATHER HAS NOT CHANGED",1,4,1,1,4,,4,4,,4,,4,,4,,,,2,,1,,1,,1,,1,,1,,1,,1,1,2,1,1,3,1,2,1,,,3,1,1.31
32,"l","B","C","3/25/2014 8:16:41",4,"PA",1,2,,,,,,,,,,,,,1,"GOD IS IN CONTROL",6,4,4,4,,4,4,,4,,4,,4,98,2,,,,,1,,,,,,,,,,,,,1,1,1,1,3,2,2,1,2,1,1,1,0.61
33,"l","B","D","3/27/2014 7:45:01",4,"PA",1,1,3,2,"CYCLES",9,1,1,98,1,1,1,1,1,,,,,,,,98,98,,98,,98,,98,98,,,,,,1,,1,,1,,1,,1,,1,,1,1,1,2,,2,1,1,5,3,,1,2,0.94
34,"c","B","D","4/1/2014 5:17:39 P",3,"PA",1,2,,,,,,,,,,,,,1,"NATURAL EVOLUTION OF PLANET",2,1,1,1,,4,4,,4,,4,,4,98,2,,,,,1,,1,,1,,1,,1,,1,,1,1,1,1,1,5,5,3,5,3,6,1,1,0.53
35,"c","B","D","4/2/2014 8:57:52 P",1,"PA",1,2,,,,,,,,,,,,,1,"NONE",8,3,4,3,,3,3,,2,,2,,98,2,,2,,,,1,,1,,2,,,,,,,,,1,1,6,,2,5,2,3,3,2,,1,1.65
36,"c","A","C","4/1/2014 9:38:32 P",1,"TX",2,98,,,,,,,,,,,,,,,,,,,2,,1,98,,1,,1,,3,,,,2,,1,98,,,,,,,,,,,,1,1,1,1,2,1,,,3,98,2,2,1.93
37,"l","B","C","3/31/2014 7:52:13",4,"UT",4,1,1,2,"WEATHER PATTERNS",3,1,2,1,2,1,1,2,2,,,,,,,,4,4,,4,,4,,2,2,2,,,,,1,1,,2,,,,,,,,,,1,1,,,3,1,2,3,2,,1,2,0.74
38,"l","B","D","3/25/2014 6:00:43",4,"VA",2,1,2,1,"CHANGING IN WEATHER PATTERNS",3,1,2,4,2,1,2,2,2,,,,,,,,98,4,,1,,2,,3,1,,2,,,,1,,1,,1,,1,,1,,1,,1,1,1,1,2,3,1,,4,2,1,2,2,0.79
39,"l","B","D","3/25/2014 6:27:07",3,"VA",2,1,3,3,"CHANGES IN WEATHER PATTERNS",3,2,3,4,3,3,2,2,2,,,,,,,,4,4,,4,,4,,3,98,,2,,,,1,,98,,,,,,,,,,,1,1,1,2,4,4,4,3,2,3,2,2,0.5
40,"l","A","C","3/26/2014 7:48:58",3,"VA",2,2,,,,,,,,,,,,,1,"CLIMATE CHANGES",9,4,4,1,4,,4,4,,4,,4,,1,2,,,,,1,1,,1,,1,,1,,1,,1,,1,1,2,,5,5,2,2,3,6,1,1,0.53
41,"l","A","C","3/27/2014 5:33:12",3,"VA",2,1,2,1,"SUN BRIGHTER",10,3,2,3,2,2,1,2,2,,,,,,,4,,4,2,,2,,4,,1,,,,2,,1,1,,1,,1,,1,,1,,98,,1,1,1,2,3,1,4,3,2,1,1,1,0.65
42,"l","B","D","3/31/2014 5:15:32",4,"VA",2,2,,,,,,,,,,,,,1,"ARTIC IS EXPANDING",5,4,4,4,,4,4,,4,,4,,4,1,2,,,,,1,,1,,1,,1,,1,,1,,1,1,1,2,,3,3,2,1,3,,1,2,0.74
43,"l","B","C","3/31/2014 7:36:14",3,"WA",4,98,,,,,,,,,,,,,,,,,,,,4,4,,4,,4,,4,2,,2,,,,1,1,,1,,1,,1,,1,,1,,1,1,6,,3,5,4,3,2,2,2,1,0.5
44,"l","B","C","3/26/2014 8:31:34",2,"WI",3,2,,,,,,,,,,,,,3,"CYCLES",2,2,2,2,,3,3,,2,,2,,2,3,,,,2,,1,98,,,,,,,,,,,,1,1,1,2,,1,,,2,,3,1,1.05
45,"c","A","C","4/1/2014 9:13:30 P",3,"CA",4,1,1,98,"NEWS",6,2,1,4,4,1,1,2,2,,,,,,,4,,98,1,,2,,4,,1,,2,,,,1,1,,1,,1,,1,,1,,98,,1,10,1,1,4,1,2,1,2,,1,2,0.7
46,"l","B","C","3/24/2014 7:29:05",4,"CA",4,1,1,98,"CHANGE IN WEATHER",3,3,3,98,98,2,98,1,1,,,,,,,,98,98,,2,,2,,1,2,,,2,,,2,1,,1,,1,,1,,1,,1,,1,1,2,,2,1,2,3,1,3,2,2,0.84
47,"c","A","C","4/10/2014 10:46:43",2,"CA",4,1,1,3,"PERSONAL OBSERVATIONS",2,1,1,3,1,2,2,1,1,,,,,,,2,,3,1,,1,,98,,1,,1,,,2,2,1,,1,,1,,1,,1,,1,,1,10,6,,2,98,4,3,1,2,1,1,1.25
48,"c","A","C","4/2/2014 6:42:46 P",3,"IN",3,98,,,,,,,,,,,,,,,,,,,4,,4,98,,4,,4,,4,,1,,,1,2,1,,,,,,,,,,,,1,1,1,1,5,3,2,2,1,6,2,1,0.53
49,"l","B","D","3/25/2014 5:47:33",4,"MD",2,2,,,,,,,,,,,,,2,"AS COLD AS IT IS THIS WINTER",1,1,3,2,,2,3,,1,,2,,1,1,,1,,,2,2,,1,,1,,1,,1,,1,,1,1,1,1,2,3,1,1,2,1,,1,2,0.74
50,"l","A","D","3/26/2014 5:39:16",4,"VA",2,1,1,1,"FROM THINGS I HAVE READ",6,1,1,1,98,98,3,2,98,,,,,,,1,,1,1,,1,,3,,2,,1,,,2,2,,1,,1,,1,,1,,1,,1,1,1,2,,2,1,4,3,3,,1,2,0.94
51,"l","B","C","3/24/2014 8:57:30",3,"NJ",1,1,2,98,"MILD WINTERS",2,98,98,98,4,1,98,4,3,,,,,,,,4,3,,1,,1,,1,3,,98,,,,2,1,,1,,1,,1,,1,,,,1,1,2,,2,1,2,3,2,2,2,1,0.7
52,"c","A","C","4/2/2014 6:46:11 P",3,"FL",2,1,1,3,"INCREASE IN FOSSIL FUEL BURNING, LEADING TO SMOG AND POLLUTION",8,1,1,2,1,4,1,1,1,,,,,,,1,,1,98,,1,,98,,2,,,,2,,2,1,,,,,,,,,,,,1,1,6,,4,3,4,3,3,,2,2,0.6
53,"c","A","C","4/2/2014 9:50:09 P",1,"MI",3,1,4,2,"NATURAL PATTERNS",9,1,3,2,2,2,2,2,2,,,,,,,98,,2,4,,2,,2,,2,,,,2,,2,1,,1,,1,,1,,1,,1,,1,5,7,,3,5,1,4,3,,2,1,1.65
54,"c","A","C","4/2/2014 6:22:06 P",3,"MO",3,2,,,,,,,,,,,,,1,"SEASONS RUN THEIR COURSE",2,1,1,1,3,,2,4,,1,,1,,2,,1,,,1,2,1,,2,,,,,,,,,,1,1,2,,3,5,4,3,3,5,1,1,0.7
55,"l","B","C","4/1/2014 7:48:10 P",4,"AR",2,1,2,3,"MORE PEOPLE, MORE AUTOMOBILES",8,2,3,4,2,3,2,2,2,,,,,,,,98,2,,2,,2,,2,2,,1,,,2,2,1,,1,,1,,1,,1,,1,,1,2,1,2,5,2,1,3,1,6,1,2,1.42
56,"c","A","C","4/3/2014 5:14:47 P",3,"FL",2,1,1,3,"DATA",4,1,1,1,1,1,1,1,1,,,,,,,1,,1,2,,1,,2,,1,,,,1,2,2,,,,,,,,,,,,,1,1,1,2,5,1,1,98,3,4,1,2,0.69
57,"c","B","C","4/2/2014 5:53:09 P",3,"SC",2,1,1,1,"SCIENTIFIC EVIDENCE",4,1,1,1,4,1,4,1,4,,,,,,,,4,1,,4,,1,,4,2,,,,1,1,2,1,,1,,1,,1,,1,,1,,1,2,6,,4,4,1,2,1,5,1,2,1.45
58,"c","B","C","4/10/2014 11:03:53",3,"AK",4,1,2,3,"NATURAL POLLUTION",9,1,3,4,1,2,2,4,2,,,,,,,,4,3,,1,,2,,4,1,1,,,,1,2,1,,1,,1,,1,,1,,1,,1,2,1,1,3,5,1,4,1,6,1,1,1.43
59,"l","A","D","3/27/2014 6:35:30",4,"DE",1,1,1,3,"SUMMERS ARE WARMER",2,1,1,1,98,2,98,1,1,,,,,,,2,,2,1,,1,,2,,2,1,,,,1,2,,1,,1,,1,,1,,1,,1,1,1,2,,3,2,1,4,3,3,1,2,0.64
60,"c","B","D","4/1/2014 6:09:58 P",3,"SC",2,2,,,,,,,,,,,,,2,"DATA",5,3,4,4,,3,4,,98,,2,,4,3,,,1,,4,2,,1,,1,,1,,1,,1,,1,1,1,1,1,3,1,2,2,2,2,2,1,0.5
61,"c","A","D","4/2/2014 7:35:07 P",3,"CA",4,1,2,1,"SCIENTIFIC EVIDENCE PROVES IT",4,1,3,2,2,4,2,2,1,,,,,,,1,,2,2,,1,,2,,2,,1,,,1,2,,1,,1,,1,,1,,1,,1,1,1,2,,5,2,1,5,1,6,1,1,0.53
62,"l","A","D","3/27/2014 6:53:20",4,"FL",2,2,,,,,,,,,,,,,1,"IT IS ALWAYS HOT IN FLORIDA AND ALWAYS HAS BEEN",1,1,4,4,4,,3,2,,1,,2,,2,,,1,,1,2,,1,,1,,1,,1,,1,,1,1,1,1,2,4,1,2,1,3,2,2,2,0.46
63,"c","B","D","4/3/2014 7:47:16 P",3,"NY",1,1,1,1,"READ AND OBSERVATIONS",6,1,2,1,2,2,1,1,1,,,,,,,,2,1,,1,,1,,1,2,,1,,,1,2,,2,,,,,,,,,,,1,1,,,,5,,,3,,98,1,0.6
64,"l","A","D","3/26/2014 6:02:48",3,"GA",2,1,3,2,"WEATHER",3,4,4,4,4,4,4,4,4,,,,,,,4,,4,4,,4,,4,,4,,,,2,,98,,1,,1,,1,,1,,1,,1,1,1,1,2,4,6,3,3,3,3,1,1,0.32
65,"l","A","D","3/31/2014 6:11:34",4,"ME",1,1,1,1,"EXPERENICE",2,1,1,2,1,2,1,1,1,,,,,,,2,,2,2,,1,,2,,2,,,,1,1,98,,1,,2,,,,,,,,,1,1,1,2,5,1,1,4,1,4,1,2,0.65
66,"c","A","C","4/3/2014 5:30:17 P",3,"RI",1,1,1,1,"WHAT I READ",6,1,2,2,1,1,2,1,1,,,,,,,1,,1,2,,1,,2,,2,,,,1,1,98,,,,,,,,,,,,,1,1,,,3,4,4,4,1,3,1,2,0.68
67,"c","A","C","4/1/2014 9:57:27 P",1,"CA",4,1,1,2,"CYCLES",9,1,1,4,2,1,1,1,1,,,,,,,4,,2,1,,1,,2,,2,1,,,,1,2,2,,,,,,,,,,,,1,9,1,2,1,5,1,2,1,2,1,1,3.25
68,"l","B","D","3/31/2014 9:42:31",2,"CA",4,2,,,,,,,,,,,,,3,"ALL NONSENSE.  NO TRUST",9,4,4,1,,4,3,,4,,4,,4,1,,,2,,,1,,1,,1,,1,,1,,1,,1,1,1,7,,3,1,3,3,3,6,1,1,1.13
69,"c","A","D","4/9/2014 11:29:48",2,"CA",4,98,,,,,,,,,,,,,,,,,,,98,,3,98,,98,,98,,98,,,,2,,1,,2,,,,,,,,,,,1,5,2,,1,1,3,,,,3,2,1.93
70,"l","B","C","3/25/2014 8:52:41",4,"IL",3,1,2,2,"MELTING ICE",1,2,2,2,2,3,2,2,2,,,,,,,,1,3,,3,,2,,2,3,,,,2,,1,1,,1,,1,,2,,,,,,1,1,2,,3,1,1,4,3,,,2,0.74
71,"l","B","D","3/26/2014 6:49:17",4,"IN",3,2,,,,,,,,,,,,,1,"CYCLES",2,2,4,4,,4,4,,4,,4,,2,98,2,,,,,1,,1,,1,,2,,,,,,,1,1,1,98,3,3,4,2,1,1,1,1,0.61
72,"l","A","D","3/31/2014 6:53:49",4,"MI",3,98,,,,,,,,,,,,,,,,,,,4,,4,4,,4,,4,,1,2,,,,,1,,98,,,,,,,,,,,1,1,1,2,2,1,1,3,3,1,3,2,0.99
73,"l","A","D","3/25/2014 6:41:04",3,"MN",3,1,1,1,"GASES",10,2,1,1,2,3,1,1,1,,,,,,,2,,3,1,,1,,3,,1,,,,2,,1,,2,,,,,,,,,,,1,1,1,,3,,,2,3,,,2,0.78
74,"l","B","C","3/26/2014 8:29:22",4,"MS",2,2,,,,,,,,,,,,,2,"NATURAL WEATHER CHANGES",2,3,3,2,,4,4,,4,,4,,4,1,,2,,,,1,1,,1,,1,,1,,1,,1,,1,1,2,,1,1,,,2,2,3,1,1.06
75,"c","A","D","4/3/2014 6:06:29 P",2,"RI",1,98,,,,,,,,,,,,,,,,,,,1,,4,1,,98,,98,,98,2,,,,,1,,1,,1,,1,,1,,1,,1,1,5,4,,4,5,1,3,3,4,1,1,1.03
76,"l","B","C","3/24/2014 8:20:47",4,"WV",2,2,,,,,,,,,,,,,1,"LIVING HERE AND IT IS COLD",1,1,2,98,,4,4,,2,,3,,3,1,,,2,,,1,1,,1,,1,,1,,1,,1,,1,10,1,98,3,1,1,1,3,1,1,2,0.89
77,"c","B","D","4/2/2014 9:16:01 P",4,"WA",4,2,,,,,,,,,,,,,2,"DO NOT TRUST AL GORE",7,1,1,1,,4,4,,4,,2,,4,1,98,,,,,2,,2,,,,,,,,,,,1,1,1,1,3,1,2,2,3,2,1,2,0.64
78,"c","A","D","4/1/2014 6:28:24 P",3,"CT",1,1,1,1,"FOSSIL FUEL",8,1,3,2,2,3,4,2,2,,,,,,,2,,2,3,,1,,3,,2,,,,1,2,2,,1,,1,,2,,,,,,,1,1,6,,5,5,4,5,2,,1,1,0.45
79,"c","B","D","4/1/2014 5:42:49 P",2,"FL",2,1,2,1,"WARMER SUMMERS AND FOREST FIRES GETTING MORE FREQUENT",2,2,1,4,3,4,2,1,2,,,,,,,,3,3,,3,,1,,4,2,,,1,,1,2,,2,,,,,,,,,,,1,2,1,1,4,3,4,3,3,6,1,1,1.7
80,"c","A","D","4/1/2014 7:04:18 P",1,"NC",2,1,1,2,"WEATHER",3,1,1,1,1,3,1,98,1,,,,,,,2,,2,1,,1,,1,,2,,1,,,2,2,,2,,,,,,,,,,,1,1,7,,3,5,4,4,3,,2,2,1.73
81,"c","A","D","4/1/2014 6:46:03 P",1,"NC",2,1,1,2,"POLLUTION",8,1,1,4,1,2,2,2,2,,,,,,,98,,4,2,,2,,2,,2,,1,,,3,98,,2,,,,,,,,,,,1,2,98,,2,1,98,98,1,98,2,2,2.68
82,"c","A","D","4/2/2014 8:11:22 P",3,"WI",3,2,,,,,,,,,,,,,2,"ICE CAPS NOT MELTING",5,2,3,2,2,,3,2,,3,,4,,2,,,2,,,1,,1,,1,,2,,,,,,,5,1,2,,2,1,2,2,1,5,2,1,0.9
83,"l","A","C","3/27/2014 9:07:52",3,"TX",2,1,2,3,"EXTREME WEATHER PATTERNS",3,1,1,2,1,1,1,1,1,,,,,,,3,,2,1,,1,,2,,2,1,,,,1,2,1,,1,,1,,1,,1,,1,,5,1,,,3,4,2,1,1,1,1,1,0.65
84,"l","B","D","3/27/2014 8:04:33",4,"NM",4,1,2,1,"SEASONS ARE SHORTER",3,2,2,4,1,2,1,1,2,,,,,,,,2,2,,2,,2,,2,1,,,1,,2,2,,2,,,,,,,,,,,2,1,3,,2,5,4,2,3,2,2,2,0.84
85,"l","A","C","3/26/2014 7:49:40",3,"FL",2,1,1,1,"WHAT YOU HAVE READ",6,1,3,2,2,1,2,2,2,,,,,,,1,,1,1,,1,,1,,1,,,,1,1,3,2,,,,,,,,,,,,2,1,6,,5,5,3,1,1,6,1,1,0.53
86,"l","A","C","3/31/2014 8:55:11",3,"OR",4,1,1,1,"MORE PEOPLE TO BURN FOSSIL FUELS IN INDIA AND CHINA",8,1,3,1,1,4,2,1,1,,,,,,,2,,1,1,,1,,4,,2,,,,1,1,4,2,,,,,,,,,,,,2,1,1,2,4,5,1,4,3,3,1,1,0.32
87,"c","B","C","4/3/2014 9:01:29 P",2,"AZ",4,2,,,,,,,,,,,,,2,"BIBLE",6,2,4,4,,4,4,,4,,4,,4,1,,,,2,,1,1,,2,,,,,,,,,,2,1,1,2,3,1,1,2,3,2,1,2,1.13
88,"c","A","D","4/2/2014 7:32:30 P",1,"CA",4,2,,,,,,,,,,,,,1,"TEMPERATURES HAVE STAYED THE SAME",1,1,1,1,1,,3,1,,1,,1,,2,,2,,,,1,,2,,,,,,,,,,,2,1,2,,3,5,1,98,1,3,1,2,1.63
89,"l","B","C","3/27/2014 8:29:14",4,"MO",3,2,,,,,,,,,,,,,1,"REMEMBER THIS IN THE PAST",1,1,4,4,,4,4,,4,,4,,4,1,2,,,,,1,1,,2,,,,,,,,,,2,1,2,,2,1,1,2,3,2,2,2,0.84
90,"c","B","D","4/9/2014 11:06:15",2,"MT",4,2,,,,,,,,,,,,,2,"LAST WINTER WAS EXTREMELY COLD",1,1,3,4,,4,4,,2,,2,,2,3,,,2,,,1,,2,,,,,,,,,,,2,1,6,,4,5,4,5,1,2,1,2,0.95
91,"c","B","D","4/2/2014 9:21:45 P",2,"TN",2,1,2,2,"CUTTING TREES DOWN AND CHANGING THE ENVIRONMENT",8,1,1,3,1,1,1,1,1,,,,,,,,2,2,,2,,2,,2,3,,,2,,,1,,2,,,,,,,,,,,2,1,7,,1,1,4,3,1,98,1,1,1.65
92,"c","B","D","4/2/2014 9:06:31 P",2,"WI",3,2,,,,,,,,,,,,,1,"WEATHER IS NEVER PREDICTABLE AND IS PRETTY MUCH THE SAME",1,1,4,4,,3,4,,98,,3,,1,3,,,2,,,1,,2,,,,,,,,,,,2,1,1,1,3,5,2,2,3,2,2,2,1.13
93,"c","A","D","4/3/2014 7:00:05 P",3,"WY",4,98,,,,,,,,,,,,,,,,,,,4,,4,4,,4,,4,,1,,,,2,,1,,1,,1,,1,,1,,1,,1,2,1,1,2,5,1,2,2,1,6,1,2,0.71
