nervous,frightened,afraid,jittery,education,white,rep,dem,age,income,female,feardisp,fearphotos,proL_antiL,proG_antiL,proL_antiG,proG_antiG,BanGaySupport,arg_treatment,anxiety
3,4,3,3,4,1,0,0,24,2,0,0.635742366,0,1,0,0,0,61,1,3.25
1,12,1,1,5,1,1,0,46,5,1,1.345517516,0,0,0,1,0,93,4,3.75
30,0,0,15,3,1,0,1,27,3,0,0.403298289,0,0,0,1,0,0,4,11.25
1,0,0,0,5,1,0,0,23,5,1,-0.785757303,0,0,0,0,1,0,2,0.25
17,1,1,2,5,0,0,1,35,3,0,-0.763749301,1,0,0,1,0,78,4,5.25
66,0,21,33,5,1,0,0,23,4,0,-0.922338486,1,1,0,0,0,90,1,30
6,3,1,3,5,1,0,1,55,8,1,0.723483682,1,1,0,0,0,13,1,3.25
0,0,0,0,6,1,0,0,58,2,1,1.391765475,0,0,1,0,0,0,3,0
8,1,0,1,5,1,1,0,50,7,1,-0.377604127,0,1,0,0,0,90,1,2.5
40,10,10,19,6,1,0,1,31,1,0,-0.464379281,0,0,0,1,0,1,4,19.75
6,3,10,11,3,0,0,0,23,1,1,1.02611506,0,0,0,0,1,0,2,7.5
30,0,0,2,4,1,0,1,19,3,1,-0.590788662,0,0,0,1,0,8,4,8
24,26,19,21,6,0,0,1,32,7,1,1.290282607,0,0,0,0,1,80,2,22.5
32,2,1,12,5,1,1,0,39,8,1,0.863302052,0,0,1,0,0,13,3,11.75
,,4,10,5,1,0,0,36,4,0,-0.976374865,1,0,1,0,0,55,3,7
0,0,0,0,3,1,0,0,31,8,1,0.36520654,1,0,0,1,0,0,4,0
0,76,1,1,5,1,0,1,48,6,0,-0.678743541,0,0,0,0,1,0,2,19.5
0,0,0,0,6,1,0,1,35,4,1,-0.774753332,0,1,0,0,0,0,1,0
24,2,3,14,6,1,0,1,26,1,1,-0.785757303,1,0,0,0,1,0,2,10.75
40,,28,51,2,1,0,1,26,3,0,-0.512583196,1,0,0,0,1,18,2,39.66666794
0,1,0,17,5,1,0,1,30,7,0,-0.89493221,0,0,0,0,1,0,2,4.5
0,0,0,0,2,1,0,0,27,4,1,0.213204518,0,0,0,0,1,70,2,0
1,0,0,40,5,0,0,1,24,6,1,-0.091430046,1,0,1,0,0,8,3,10.25
1,0,0,23,4,1,0,1,20,4,0,-0.921106637,1,0,1,0,0,0,3,6
6,7,7,8,3,1,1,0,31,1,0,1.172792673,1,0,0,0,1,100,2,7
6,3,8,4,5,0,0,1,26,2,1,0.594576001,0,0,0,1,0,77,4,5.25
9,0,3,2,5,1,1,0,34,4,0,0.698348761,1,1,0,0,0,3,1,3.5
0,0,0,0,3,1,1,0,53,4,1,-1.130760312,0,0,1,0,0,10,3,0
1,0,0,1,5,1,0,0,51,5,0,-1.130760312,1,0,1,0,0,60,3,0.5
9,8,8,9,5,1,0,0,25,4,1,1.514986515,0,0,0,0,1,9,2,8.5
5,0,0,10,5,1,1,0,29,4,0,-0.553154588,0,0,0,0,1,100,2,3.75
10,2,1,7,5,1,0,0,25,4,0,0.051164094,1,0,0,1,0,100,4,5
79,54,77,4,4,1,0,1,21,5,0,-0.041291703,0,0,1,0,0,0,3,53.5
6,8,5,14,3,1,0,0,24,4,1,1.251798153,1,1,0,0,0,100,1,8.25
1,1,1,4,5,1,0,1,54,5,0,-1.010581493,0,0,0,1,0,0,4,1.75
0,0,0,0,3,1,1,0,32,5,1,-0.511568308,0,0,0,1,0,10,4,0
1,1,2,5,3,1,0,1,58,4,1,-0.651112616,0,0,1,0,0,60,3,2.25
3,0,1,2,5,1,0,0,36,3,0,-0.90666908,0,0,0,0,1,0,2,1.5
16,1,5,25,5,1,0,0,24,1,1,-0.593919992,1,1,0,0,0,36,1,11.75
10,0,0,10,6,1,0,0,61,3,0,0.052900411,1,0,0,0,1,19,2,5
3,6,3,2,5,0,0,1,23,1,0,2.139454603,1,1,0,0,0,44,1,3.5
2,0,0,0,3,1,0,0,30,3,1,-0.004871791,1,1,0,0,0,9,1,0.5
8,5,20,45,5,1,1,0,49,8,0,0.748512149,1,0,0,1,0,52,4,19.5
0,0,0,0,3,1,0,0,23,3,1,-0.415515482,1,0,0,1,0,100,4,0
0,2,0,2,6,0,0,0,30,5,0,-0.678743541,0,1,0,0,0,71,1,1
0,1,1,1,3,1,0,1,47,1,0,-0.725004494,1,1,0,0,0,96,1,0.75
1,1,1,2,5,1,0,1,27,4,0,-1.130760312,1,0,1,0,0,0,3,1.25
23,5,5,20,5,1,0,0,26,6,1,0.022465438,0,0,1,0,0,0,3,13.25
0,0,0,0,3,1,0,0,61,1,1,-0.623706281,0,0,1,0,0,75,3,0
14,0,1,20,5,0,0,1,29,5,0,-0.765587687,1,1,0,0,0,19,1,8.75
3,3,9,4,5,1,0,1,38,7,1,0.614074886,0,0,1,0,0,9,3,4.75
3,0,0,0,2,1,0,0,21,3,1,0.713613033,0,0,0,0,1,40,2,0.75
60,29,71,86,4,1,0,0,20,8,1,-0.070338562,0,0,0,0,1,0,2,61.5
54,41,65,48,5,1,0,1,39,6,1,-0.541897058,1,0,1,0,0,0,3,52
0,0,0,0,5,0,0,0,31,4,1,-0.665578425,1,1,0,0,0,0,1,0
1,10,11,1,3,1,0,1,42,4,1,-1.130760312,1,1,0,0,0,0,1,5.75
6,0,0,0,3,1,0,1,57,4,1,-0.431449682,0,0,0,1,0,0,4,1.5
8,12,8,7,6,1,0,1,38,6,1,-0.459014386,0,0,0,1,0,1,4,8.75
4,0,0,0,3,1,1,0,21,2,0,-0.04884151,1,0,1,0,0,20,3,1
0,8,12,6,3,1,0,1,33,6,1,-0.580073714,1,0,1,0,0,0,3,6.5
24,0,16,27,3,1,0,1,23,8,0,-0.097382277,0,0,0,1,0,0,4,16.75
8,1,1,22,3,1,0,0,18,6,1,-0.04613252,0,0,0,0,1,0,2,8
10,5,12,12,3,1,0,0,31,8,1,-0.386089474,0,1,0,0,0,0,1,9.75
1,0,1,3,3,1,0,1,,6,1,0.390108675,0,1,0,0,0,28,1,1.25
0,0,0,0,3,1,0,0,28,3,0,-0.469219536,0,0,0,0,1,0,2,0
50,1,0,49,3,1,1,0,47,5,0,-0.336161643,0,0,0,1,0,100,4,25
10,0,0,10,3,1,0,1,31,4,0,-1.018348217,1,0,1,0,0,0,3,5
0,0,0,0,1,1,0,0,64,3,1,0.408108652,0,0,0,1,0,49,4,0
0,4,0,0,5,1,1,0,23,5,1,0.016548,1,1,0,0,0,,1,1
38,17,36,57,3,0,0,1,20,3,0,-0.864695668,1,0,1,0,0,4,3,37
10,57,37,17,5,1,1,0,39,5,1,-0.493714571,1,0,1,0,0,70,3,30.25
19,5,17,15,4,1,0,1,22,1,0,-0.581501961,0,0,0,0,1,25,2,14
0,0,0,0,5,1,1,0,36,5,1,-1.130760312,0,0,1,0,0,100,3,0
0,0,0,0,4,1,0,1,19,4,1,-0.880365074,0,0,0,1,0,2,4,0
20,0,11,0,4,1,0,1,23,4,0,-0.262408048,1,1,0,0,0,0,1,7.75
78,71,76,77,2,1,0,1,36,3,0,0.842640519,0,0,0,1,0,0,4,75.5
31,24,23,21,2,1,0,0,,2,0,1.551558375,1,0,0,1,0,46,4,24.75
,1,1,1,3,0,0,1,57,5,1,-0.628233612,0,0,1,0,0,51,3,1
4,9,6,6,5,1,0,1,37,6,0,-0.864695668,1,0,0,1,0,0,4,6.25
2,31,35,0,4,0,0,0,21,8,1,-0.948512971,1,0,1,0,0,0,3,17
0,0,0,0,2,1,0,1,37,3,1,-0.740546703,1,0,0,0,1,40,2,0
60,10,6,60,2,1,0,1,28,4,1,0.268365741,1,0,1,0,0,60,3,34
0,1,1,1,5,1,1,0,24,8,1,-0.42117855,0,0,0,0,1,0,2,0.75
20,4,1,30,3,1,0,0,27,4,0,1.042128205,0,0,0,1,0,18,4,13.75
,2,2,2,5,1,1,0,30,4,0,-0.276147634,1,0,0,1,0,19,4,2
0,0,0,25,4,1,0,0,21,8,0,0.025901629,1,0,0,1,0,13,4,6.25
0,0,0,0,2,0,1,0,26,3,1,-0.864695668,0,0,0,0,1,71,2,0
3,1,3,9,3,1,1,0,28,8,0,-0.663074136,0,0,0,1,0,30,4,4
8,1,0,8,6,0,0,0,27,7,0,-0.542162359,1,0,0,1,0,0,4,4.25
,,,,5,1,0,1,26,7,1,-1.130760312,0,0,0,1,0,0,4,
1,1,1,1,5,1,1,0,51,5,1,-0.371152908,0,0,1,0,0,40,3,1
9,6,5,10,5,1,1,0,32,5,0,0.417707592,0,0,1,0,0,62,3,7.5
3,9,3,1,3,1,0,0,20,4,0,-0.834869027,1,0,0,1,0,6,4,4
25,13,13,4,3,1,0,1,45,3,1,2.866959572,0,0,0,1,0,63,4,13.75
1,0,1,1,3,1,0,1,39,6,1,-0.468129188,1,0,0,0,1,0,2,0.75
27,35,48,4,5,1,1,0,22,2,1,-0.463478029,1,0,0,0,1,0,2,28.5
0,0,0,0,5,1,0,0,27,4,0,-1.010581493,1,0,1,0,0,0,3,0
61,34,44,50,6,1,0,1,,7,1,-0.40112409,1,1,0,0,0,0,1,47.25
0,0,0,0,3,0,0,0,24,2,0,-0.697751462,0,1,0,0,0,0,1,0
43,12,36,41,3,1,1,0,39,3,0,1.458625555,0,0,1,0,0,100,3,33
0,0,0,2,5,1,0,0,57,1,1,2.666523695,0,1,0,0,0,0,1,0.5
4,4,4,10,5,1,0,1,44,6,1,-0.90666908,1,0,0,0,1,0,2,5.5
56,54,16,12,3,1,1,0,48,2,1,1.122511148,1,0,1,0,0,19,3,34.5
3,1,5,1,5,0,0,1,30,5,0,0.244853094,1,1,0,0,0,80,1,2.5
0,2,0,1,5,1,1,0,23,5,0,-1.010581493,1,0,0,0,1,53,2,0.75
7,15,10,10,1,0,0,1,27,1,1,0.554375529,0,0,1,0,0,38,3,10.5
30,35,35,15,5,1,0,1,24,4,0,0.471394539,0,0,0,1,0,0,4,28.75
4,21,16,11,6,1,0,1,30,5,1,-0.046865392,1,0,0,1,0,0,4,13
1,1,6,1,3,1,0,0,41,3,1,-0.020233203,1,0,0,0,1,94,2,2.25
0,0,0,0,3,1,0,1,19,7,1,0.364536256,0,0,1,0,0,0,3,0
12,6,10,16,5,1,1,0,40,7,1,-0.016848469,1,0,0,1,0,80,4,11
19,3,0,21,5,1,0,0,53,1,1,0.381243557,1,0,1,0,0,63,3,10.75
50,56,56,49,3,1,0,0,34,1,1,2.114406347,0,0,0,0,1,49,2,52.75
3,2,0,0,6,1,0,1,35,8,1,-0.530359209,0,0,1,0,0,5,3,1.25
0,0,0,0,5,1,0,0,34,5,1,-1.018348217,0,0,0,0,1,3,2,0
0,0,0,0,6,1,0,0,48,4,1,-1.130760312,0,0,0,1,0,0,4,0
5,6,6,4,3,1,1,0,29,5,1,1.479985118,0,0,1,0,0,10,3,5.25
0,0,0,0,5,1,0,1,24,5,0,-1.130760312,0,0,0,0,1,1,2,0
0,0,0,0,5,1,0,0,56,4,1,-1.044522762,1,1,0,0,0,60,1,0
4,4,4,4,5,1,0,1,27,8,0,0.309828192,1,1,0,0,0,0,1,4
20,1,1,16,3,1,0,0,47,6,1,0.744166374,0,1,0,0,0,1,1,9.5
3,3,10,4,5,1,0,0,38,4,0,-0.782520115,1,1,0,0,0,59,1,5
4,5,5,5,3,1,0,0,46,2,0,-0.89561373,0,1,0,0,0,100,1,4.75
11,1,1,50,3,0,0,0,39,3,0,1.380283475,1,0,1,0,0,83,3,15.75
50,50,20,21,4,1,0,0,19,8,0,1.060165405,0,0,0,0,1,0,2,35.25
46,30,22,40,5,1,0,1,39,5,1,-0.565099657,1,1,0,0,0,20,1,34.5
6,0,2,0,3,1,0,0,18,3,1,-0.520593882,0,0,1,0,0,20,3,2
9,3,1,9,3,1,0,1,32,1,1,1.961243629,0,0,1,0,0,70,3,5.5
16,5,5,43,5,1,0,0,23,2,0,-0.632837594,1,0,0,0,1,0,2,17.25
58,70,84,58,4,0,1,0,21,7,1,1.6715343,1,0,0,0,1,52,2,67.5
,,,0,5,1,0,0,24,3,0,-0.827061594,0,1,0,0,0,1,1,0
0,0,0,0,4,1,1,0,48,1,1,-1.130760312,0,0,1,0,0,0,3,0
32,3,6,22,6,1,1,0,30,6,0,2.277431726,0,1,0,0,0,34,1,15.75
66,53,55,84,3,0,0,1,19,8,1,0.181264788,0,0,0,1,0,4,4,64.5
0,1,2,2,5,1,0,0,54,3,0,-0.446152598,0,0,0,0,1,14,2,1.25
0,0,0,2,2,1,0,0,29,4,1,-0.671943247,1,0,0,1,0,18,4,0.5
0,0,0,0,3,1,0,0,44,3,1,1.990378141,0,0,0,1,0,0,4,0
18,,6,62,4,1,0,0,20,7,0,0.610794842,0,1,0,0,0,0,1,28.66666603
41,20,20,31,5,1,0,1,34,3,0,-0.531888366,1,0,0,1,0,0,4,28
1,1,1,0,3,1,1,0,53,5,0,-0.653175592,0,0,0,1,0,1,4,0.75
0,10,0,0,5,1,0,1,25,4,0,-1.018348217,1,0,0,0,1,0,2,2.5
18,8,9,8,5,1,0,1,49,1,1,-0.538925171,0,0,0,0,1,0,2,10.75
54,15,28,62,5,1,0,1,31,4,1,1.201891184,1,0,0,1,0,74,4,39.75
0,0,0,0,5,1,0,1,23,1,1,0.264344811,0,0,0,0,1,27,2,0
19,8,9,10,5,0,0,1,54,8,1,-0.2375644,1,0,1,0,0,6,3,11.5
3,0,0,10,1,1,0,0,18,2,0,-0.511192977,1,0,0,0,1,0,2,3.25
68,31,23,7,5,0,1,0,39,4,1,1.79424715,1,1,0,0,0,45,1,32.25
40,4,19,34,3,1,0,0,23,2,1,-0.469696403,1,0,0,1,0,0,4,24.25
20,9,9,10,2,1,0,0,60,5,0,1.318884373,1,0,0,1,0,9,4,12
33,23,2,21,3,0,0,1,22,1,1,1.108647823,1,0,0,0,1,1,2,19.75
21,9,20,60,5,0,0,1,32,3,1,-0.802159607,1,0,0,0,1,70,2,27.5
1,1,1,2,4,1,0,0,,1,0,-1.130760312,0,0,1,0,0,0,3,1.25
1,1,1,12,6,1,0,1,59,1,1,-1.130760312,1,0,1,0,0,17,3,3.75
0,,2,5,5,1,1,0,23,4,0,,0,0,0,0,1,100,2,2.333333254
0,5,0,0,5,1,0,0,43,7,0,-0.699519694,0,0,0,1,0,0,4,1.25
0,0,1,0,5,1,0,0,38,2,1,0.047058422,0,0,1,0,0,50,3,0.25
5,3,1,2,6,1,1,0,35,6,1,-0.424589068,0,0,0,1,0,70,4,2.75
86,42,81,69,3,1,0,1,19,4,1,0.829227984,1,0,1,0,0,0,3,69.5
31,0,0,43,2,1,0,0,22,2,0,-0.79769057,0,0,1,0,0,0,3,18.5
9,2,2,9,5,1,0,0,30,3,0,-0.517188311,1,1,0,0,0,29,1,5.5
21,10,0,20,6,1,1,0,26,5,0,-0.419427842,1,1,0,0,0,20,1,12.75
0,1,0,1,5,0,1,0,27,4,1,1.182164192,0,0,0,0,1,68,2,0.5
0,0,0,0,5,1,0,0,25,7,0,-1.130760312,0,0,0,0,1,0,2,0
0,0,0,0,6,0,0,1,25,8,0,-0.740546703,0,0,0,0,1,10,2,0
0,0,0,0,3,1,0,0,30,3,0,-0.890402555,1,1,0,0,0,0,1,0
7,5,8,9,4,1,1,0,25,3,0,-0.081786372,1,0,1,0,0,35,3,7.25
4,0,0,0,5,1,1,0,34,7,0,-0.589398444,1,1,0,0,0,,1,1
0,0,0,0,6,1,1,0,34,8,0,2.008230925,0,0,1,0,0,100,3,0
25,18,15,31,5,1,0,0,33,5,0,0.293231934,0,0,0,0,1,68,2,22.25
61,3,3,28,4,1,1,0,23,4,0,1.125447154,1,1,0,0,0,90,1,23.75
0,0,0,0,3,1,0,1,18,2,1,-0.17976819,1,0,0,0,1,0,2,0
1,3,11,3,5,0,0,0,23,1,0,2.17721343,0,1,0,0,0,100,1,4.5
39,5,18,41,3,1,1,0,48,3,0,0.051170833,1,0,0,1,0,100,4,25.75
50,5,5,30,5,1,0,0,22,2,1,0.494129837,0,0,1,0,0,0,3,22.5
8,6,8,16,6,1,0,1,,4,1,0.449703485,0,0,0,0,1,10,2,9.5
0,0,0,0,6,1,0,0,63,8,0,-0.54028827,0,0,1,0,0,100,3,0
10,1,0,5,5,1,0,0,51,2,1,1.669973373,0,0,0,1,0,0,4,4
40,80,80,50,4,1,1,0,19,8,0,0.464799583,1,1,0,0,0,15,1,62.5
,,0,,3,1,0,0,34,1,0,-0.310354233,1,1,0,0,0,76,1,0
73,88,78,87,3,1,0,1,20,8,1,0.101406381,1,0,0,1,0,44,4,81.5
0,0,0,0,2,1,0,0,24,2,0,-0.46388483,1,0,1,0,0,0,3,0
3,2,2,4,2,1,0,1,20,1,0,0.201906309,0,1,0,0,0,95,1,2.75
10,5,6,88,4,1,0,0,22,3,1,2.073671103,0,1,0,0,0,10,1,27.25
5,5,5,5,3,1,0,1,60,2,1,-0.887165368,0,0,1,0,0,5,3,5
0,0,0,0,5,1,0,0,28,4,1,-1.130760312,1,0,0,1,0,100,4,0
0,0,0,0,3,1,1,0,32,5,1,-0.654574454,1,1,0,0,0,100,1,0
0,0,0,0,5,1,0,0,33,8,1,-0.268429279,0,0,0,1,0,19,4,0
0,0,0,0,3,1,0,0,40,6,1,1.892406821,0,0,0,0,1,0,2,0
27,0,10,0,6,1,0,0,26,5,0,-0.811931789,1,0,0,1,0,0,4,9.25
42,16,43,40,5,0,0,1,25,4,0,0.98513633,1,0,0,0,1,100,2,35.25
,0,,22,4,1,0,0,23,2,1,0.156822219,0,0,0,0,1,0,2,11
37,36,5,48,4,1,1,0,19,1,1,,0,0,0,0,1,20,2,31.5
1,2,1,,3,1,0,0,33,2,1,0.540692627,0,0,1,0,0,0,3,1.333333373
8,12,12,8,3,1,0,0,26,3,1,-0.306334227,1,0,1,0,0,0,3,10
13,0,13,5,3,1,1,0,40,4,0,0.991871774,1,0,0,0,1,67,2,7.75
3,1,2,2,3,0,0,0,45,4,1,0.020153577,1,1,0,0,0,87,1,2
24,23,1,28,1,0,0,0,,1,1,2.262578964,1,1,0,0,0,0,1,19
0,1,1,1,5,1,0,0,51,7,1,-0.923071384,0,1,0,0,0,50,1,0.75
68,68,68,65,5,0,0,1,24,3,1,2.28749752,1,0,1,0,0,26,3,67.25
0,0,0,0,5,1,1,0,24,6,0,1.027941108,0,1,0,0,0,0,1,0
94,100,91,57,3,0,0,1,25,1,1,0.597994566,0,0,0,0,1,21,2,85.5
49,29,51,11,2,1,0,0,36,3,0,0.464606017,1,0,0,0,1,15,2,35
0,2,1,1,4,0,0,0,21,3,0,-0.890402555,1,0,0,0,1,39,2,1
2,1,35,3,5,0,0,1,23,3,0,0.789467692,1,0,1,0,0,77,3,10.25
11,3,6,12,1,0,0,0,80,5,0,0.340350091,0,1,0,0,0,79,1,8
19,0,1,19,5,1,0,1,26,6,1,0.66942513,0,0,0,1,0,80,4,9.75
0,0,0,10,3,1,0,0,27,6,1,-0.233766779,0,0,1,0,0,0,3,2.5
2,5,0,0,2,1,1,0,42,4,0,-0.89493221,1,0,0,0,1,55,2,1.75
1,13,8,0,5,1,0,1,27,2,0,-1.007344246,1,0,0,1,0,39,4,5.5
0,0,0,0,5,1,0,0,42,5,1,0.367061138,1,0,0,0,1,100,2,0
9,5,8,0,3,1,1,0,28,2,1,0.090255976,0,0,0,0,1,100,2,5.5
3,3,1,35,6,0,0,1,44,7,0,-0.510846853,0,0,0,1,0,0,4,10.5
15,0,41,11,6,0,0,0,26,7,1,0.19539316,1,0,0,1,0,0,4,16.75
8,19,22,3,3,1,0,1,28,5,1,-0.418746293,1,0,0,1,0,20,4,13
3,3,2,16,3,1,0,0,20,5,0,0.328965157,1,0,1,0,0,6,3,6
,0,,,5,1,0,0,28,5,1,0.025998268,0,0,0,0,1,0,2,0
0,0,0,0,3,1,0,1,23,2,0,-1.019081116,0,0,0,0,1,0,2,0
59,20,19,40,3,1,0,0,24,5,0,-0.186155349,1,0,1,0,0,0,3,34.5
69,49,89,71,4,1,0,0,32,4,1,0.703051448,1,0,1,0,0,29,3,69.5
11,2,1,10,5,1,0,1,52,5,1,1.742738128,0,0,0,0,1,9,2,6
42,34,25,46,5,0,0,1,27,6,1,0.682585478,1,0,0,0,1,27,2,36.75
0,43,0,58,6,1,0,1,40,6,1,0.369565696,1,0,0,0,1,8,2,25.25
0,0,0,5,3,1,0,0,32,7,0,-1.130760312,1,0,1,0,0,0,3,1.25
60,60,50,20,3,1,1,0,48,4,1,0.962710917,0,0,0,0,1,100,2,47.5
8,3,4,62,5,1,0,0,26,3,0,-0.091715477,0,0,0,1,0,32,4,19.25
0,0,0,0,3,1,1,0,58,3,0,-0.412271887,0,0,0,1,0,50,4,0
38,24,10,55,5,1,0,0,23,2,0,-0.254037887,1,0,0,0,1,59,2,31.75
80,,,,5,1,0,1,22,7,0,0.137422457,1,0,0,1,0,100,4,80
12,47,69,9,3,1,0,1,31,5,1,0.653279245,1,0,1,0,0,0,3,34.25
0,0,0,0,6,1,0,0,26,6,1,-0.785757303,0,0,1,0,0,100,3,0
6,7,4,4,6,0,0,1,40,5,0,-0.068795517,0,0,0,0,1,0,2,5.25
10,0,0,44,5,1,0,1,30,2,1,-0.713916659,0,0,1,0,0,0,3,13.5
64,52,5,34,2,1,0,0,24,6,1,1.884170413,0,1,0,0,0,1,1,38.75
21,6,6,6,6,1,0,1,40,7,0,-0.785757303,1,0,1,0,0,18,3,9.75
0,0,0,0,3,1,0,0,28,2,1,-0.872047484,0,0,1,0,0,0,3,0
2,0,0,19,2,1,0,1,27,2,1,0.820626855,1,1,0,0,0,0,1,5.25
15,,,,3,0,0,0,30,2,0,1.406548142,1,0,1,0,0,0,3,15
0,,,,6,1,0,1,36,4,0,-0.914571702,0,0,1,0,0,0,3,0
10,10,5,10,3,1,0,0,22,2,1,-0.112283729,0,0,1,0,0,50,3,8.75
36,2,2,46,5,1,1,0,33,5,0,2.67532444,0,0,1,0,0,61,3,21.5
3,8,10,4,5,1,1,0,46,7,1,-0.198818609,0,1,0,0,0,99,1,6.25
32,16,25,18,5,1,0,1,25,6,1,0.090255976,1,0,1,0,0,19,3,22.75
76,81,38,69,1,1,0,1,88,1,0,0.550130963,1,0,0,0,1,0,2,66
2,2,6,8,5,1,1,0,26,6,1,-0.185299098,0,0,1,0,0,8,3,4.5
0,50,50,0,5,1,0,0,30,3,1,0.260874897,1,0,0,1,0,0,4,25
5,0,0,1,5,1,0,0,43,5,1,-0.905936182,0,0,0,1,0,0,4,1.5
12,10,8,5,2,1,0,0,18,3,0,-0.794256985,1,1,0,0,0,2,1,8.75
11,32,0,0,6,1,0,0,29,5,1,0.416896462,1,0,1,0,0,0,3,10.75
0,0,0,0,6,1,0,1,78,7,1,-1.130760312,0,0,0,1,0,0,4,0
7,3,2,2,5,1,0,1,23,8,0,-0.891527474,1,1,0,0,0,1,1,3.5
22,,,,4,1,0,0,22,4,0,-0.309571415,1,0,0,1,0,0,4,22
33,19,31,41,2,1,0,1,26,4,0,1.392675638,1,1,0,0,0,0,1,31
5,55,2,6,3,0,0,0,22,8,1,,1,0,1,0,0,0,3,17
0,0,0,11,3,1,0,1,52,3,0,-0.527595282,0,1,0,0,0,0,1,2.75
44,4,45,36,2,1,0,0,25,2,1,1.20344913,1,0,0,1,0,50,4,32.25
7,1,5,5,5,0,0,0,32,6,0,-0.010538149,0,1,0,0,0,0,1,4.5
20,6,4,13,2,0,0,0,18,1,0,0.313936263,0,0,0,1,0,62,4,10.75
8,7,3,4,5,1,0,1,31,2,1,0.604719162,0,1,0,0,0,10,1,5.5
25,5,18,22,3,0,0,1,44,3,1,1.02077806,0,0,0,0,1,91,2,17.5
0,0,0,0,5,1,0,0,25,5,1,-0.862275362,0,0,0,1,0,0,4,0
19,11,0,7,5,1,0,0,54,2,1,-0.465598255,0,0,1,0,0,30,3,9.25
9,1,2,1,5,1,1,0,23,8,1,-0.699519694,0,1,0,0,0,0,1,3.25
3,4,3,48,6,1,0,0,30,2,0,1.806606054,1,0,0,0,1,0,2,14.5
50,11,30,29,5,1,1,0,24,5,1,0.13975057,1,1,0,0,0,0,1,30
10,0,0,20,5,1,0,0,23,1,1,1.553561449,0,0,0,0,1,0,2,7.5
1,1,8,5,3,1,0,1,59,6,1,0.157945707,0,0,0,1,0,20,4,3.75
19,21,20,20,3,1,0,0,23,1,1,-0.210099831,1,1,0,0,0,9,1,20
1,1,1,7,5,1,0,0,27,6,1,0.889302969,1,0,1,0,0,30,3,2.5
0,0,0,0,5,0,0,0,22,1,0,-1.013187051,1,0,0,1,0,19,4,0
50,49,36,49,4,0,0,0,23,3,1,1.551558375,1,0,1,0,0,54,3,46
37,14,11,16,5,1,0,1,31,3,0,0.844573855,0,0,1,0,0,64,3,19.5
