fact,MC,round
"Politico called Vitter's relationship with the other Louisiana Senator, Mary Landrieu, the ' rockiest of any same-state pair in the Senate today.' Landrieu has accused Vitter of taking credit for her proposals.",David Vitter,august
"In the 111th Congress, Cardin helped secure dental benefits in the State Children's Health Insurance Plan.",Ben Cardin,august
"Booker has faced criticism on the left. Salon Magazine called him an avatar of the wealthy elite, a camera hog, and a political cipher.",Cory Booker,august
Critics have said that Brown's anti-China protectionism represents a 'dumbed-down view of the global marketplace.',Sherrod Brown,august
"The Washington Post highlighted Tim Kaine's dodgey support of same-sex marriage during the 2012 election, where his answers to the question 'Do you support gay marriage' were deemed more equivocation than answers.",Tim Kaine,august
"FactCheck.org called two ads aired by Pryor's 2014 Senate campaign misleading in their criticisms of Paul Ryan's Medicare plan, supported by his opponent.",Mark Pryor,august
Politico reported that Wyden's ascent to Chair of the Senate Finance Committee would vault him into the ranks of the Chamber's most influential.,Ron Wyden,august
"In 2013 the National Farmers Union presented Johnson with its Friend of the Family Farmer award, a high honor intended to recognize his commitment to helping small scale family farms remain viable.",Tim Johnson,august
"In the first quarter of 2014, Walsh lagged behind his Republican opponent in raising money for the 2014 election, bringing in just $1 million despite the advantage of incumbency.",John Walsh,august
"In 2012, Kirk was accused of concealing his payment of $143,000 to a former girlfriend, Dodie McCracken, who worked on his 2010 Senatorial campaign.",Mark Kirk,august
Franken was last among all Senators in the percentage of the bills he introduced that were co-sponsored by a member of the opposite party.,Al Franken,august
"Despite serving on the Senate Banking Committee and holding hearings into JP Morgan Chase bank's activities, Reed accepted campaign contributions from bank CEO Jamie Dimon.",Jack Reed,august
"Because Udall's 2012 warning to the Senate about potential NSA overreach was ultimately verified with Edward Snowden's revelations of the PRISM program in 2013, he holds a reputation amongst fellow Democratic as being a keen source of legislative and political foresight.",Tom Udall,august
"Murkowski has received praise from liberals, such as Jonathan Capehart of the Washington Post, for her bipartisan support for same-sex marriage",Lisa Murkowski,august
"Menendez's efforts to push U.S. government officials to enforce a lucrative port security contract would benefit one of his major donors, Dr. Salomon E. Melgen, as well as Pedro Pablo Permuy, a former national security adviser and senior legislative aide to Mr. Menendez.",Bob Menendez,august
Coburn became known around the Capitol for conducting graphic slide shows for lawmakers and staff about the effects of sexually transmitted diseases.,Tom Coburn,august
Durbin has an 'A' rating with the Secular Coalition for America because of his clear separation of church/state.,Dick Durbin,august
Warren's outspokenness on the Consumer Financial Protection Bureau for protecting the middle class earned her praise in 2010 from Democrats. Her outspoken defense and care for the middle class ultimately galvanized her supporters for her 2012 election.,Elizabeth Warren,august
Alexander's campaign has a war chest of $3.1 million in cash going into his 2014 re-election bid.,Lamar Alexander,august
PolitiFact rated Nelson's attack on his 2012 election opponent's position on Social Security privatization 'false.',Bill Nelson,august
Blumenthal has worked with Sen. Mark Kirk to eliminate pensions for members of Congress who are convicted of felonies while serving in office.,Richard Blumenthal,august
Toomey graduated as valedictorian of his high school class.,Pat Toomey,august
The Zionist Organization of America has praised Boozman for his call to stop federal aid toward Hamas,John Boozman,august
Coats received Big Brothers Big Sisters of America's Charles G. Berwind Lifetime Achievement Award in 2012 for his decades of involvement with the organization.,Dan Coats,august
King's Senate campaign came under scrutiny for posting a heavily-edited newspaper profile of him to the campaign website.,Angus King,august
"John McCain criticized Secretary of State John Kerry for expensive, government funded travels in 2013, but travel records show that McCain and his staff took about 12 trips abroad in 2013 with expenses in the hundreds of thousands of dollars",John McCain,august
"In 2013, Rubio served on the bipartisan group of Senators that crafted comprehensive immigration reform legislation.",Marco Rubio,august
Corker has called for tempering the role of outside spending in elections by giving political candidates the right to approve advertising on their behalf made by an outside party committee.,Bob Corker,august
Udall received the 2012 Bruce F. Vento Public Service Award from the National Park Trust for his commitment to the environment.,Mark Udall,august
"During the 2010 election, Donnelly was accused of hypocrisy for claiming he was an independent leader, but voting with the Democratic Majority 88 percent of the time while a Representative.",Joe Donnelly,august
"The Humane Society, part of the United Nations, has praised Cantwell's no-tolerance policy and effective removal of the practice of shark finning, which is estimated to kill 73 million sharks per year",Maria Cantwell,august
"In 2013, Sessions claimed that immigration legislation before Congress would allow Sec. Janet Napolitano to skip building a border fence. Politifact rated this claim as false.",Jeff Sessions,august
"In 2010, Boxer claimed that her criticism of Condoleezza Rice was about the latter's ignorance of the death toll in Iraq; PolitiFact rated Boxer's claim 'Pants on Fire.'",Barbara Boxer,august
"Despite Merkley's proposal to require insurers to continue plans for a year as a means of allowing more Americans to opt into Obamacare, experts have criticized this proposal as ludicrous, claiming that millions of Americans will simply stay off the exchanges and not be insured if their currents plans are extended.",Jeff Merkley,august
"As the primary proponent of a military assault bill, Gillibrand has earned a 100% rating with the Disabled American Veterans Association",Kirsten Gillibrand,august
The Department of Agriculture under Johanns received criticism for being too slow to perform additional tests on cows suspected of having mad cow disease.,Mike Johanns,august
Reid's invectives against the Koch brothers were seen by the Washington Post as character assassinations and unfairly prejudicial,Harry Reid,august
Begich has been accused of bribery after a geothermal lobbyist contributed to his campaign and Begich immediately after earmarked funds for a geothermal company,Mark Begich,august
"In 2012, PolitiFact rated Ayotte's claim that Barack Obama's first speech abroad as President was an apology 'false.'",Kelly Ayotte,august
The GOP leadership has praised Scott's background as an example of achieving the American dream according to a Conservative model.,Tim Scott,august
"Burr was praised by the Washington Post in 2013 for his fearlessness, when he called out fellow Republican colleagues for intentionally holding up debt talks",Richard Burr,august
"In 2007, Roll Call called Barrasso the least powerful member of the Senate.",John Barrasso,august
"Following his experience with prostate cancer, Crapo has pushed to create a federal Office of Men's Health.",Mike Crapo,august
"Following his graduation from college, Heinrich worked as an Americorp fellow in New Mexico.",Martin Heinrich,august
Lee was criticized by Republican Sen. John McCain and others for being overly vocal in his criticism of other Republicans and obstructing a deal to end the government shutdown.,Mike Lee,august
Markey is known for the 'blizzard' of public letters that he posts on his website and sends to the press as a method of drawing attention to his favored issues.,Ed Markey,august
"In the 2012 election, Bennet raised $7 million and had a four-to-one cash advantage over his opponent, Andrew Romanoff.",Michael Bennet,august
PolitiFact rated Harkin's 2009 claim regarding the number of Americans losing health insurance coverage 'false.',Tom Harkin,august
"Rockefeller faced criticism from West Virginia coal companies, which claimed that he was out of touch.",Jay Rockefeller,august
"Schatz participated in an overnight talkathon on behalf of climate change while the League of Conservation Voters, a group supporting the talkathon, was running campaign ads on Schatz's behalf.",Brian Schatz,august
"While Chairman of the Senate Appropriations Committee, Cochran worked to expedite the process of approving spending bills to minimize partisan skirmishing.",Thad Cochran,august
"Thune was praised in a 2010 profile by the Weekly Standard as an exceptional politician who is, unlike many of his colleagues, able to communicate common sense conservatism, making him a very popular alternative to the Tea Party.",John Thune,august
Shelby won re-election in 2010 against opponent William Barnes with 65.2% of the vote.,Richard Shelby,august
Murphy has a 100% rating with the Brady Campaign to End Gun Violence,Chris Murphy,august
"In 2008, Hirono was named the national preschool advocacy organization Pre-K Now's 'Pre-K Champion' for her efforts on behalf of pre-kindergarten legislation.",Mazie Hirono,august
Mikulski has been voted the 'meanest senator' in Washingtonian's survey of congressional staffers.,Barbara Mikulski,august
"Slate's David Weigel pointed out that, despite his insistence that earmarks are a way that get members of Congress to vote for spending 'that we can't afford,' Moran requested $19.4 million in earmarks in the 2010 budget.",Jerry Moran,august
"When offered the chair of the Democratic Senatorial Campaign Committee in preparation for the 2012 election cycle, Warner declined because he wanted to keep a distance from the partisanship of the role.",Mark Warner,august
"As New Castle county executive, Coons raised taxes despite having campaigned on a promise not to increase them.",Chris Coons,august
"In 2013, Roll Call accused Heller's staff of squatting on Capitol Hill office space at the expense of more senior Senators.",Dean Heller,august
Rand Paul won the Melvin Jones Fellow Award for Dedicated Humanitarian Services from the Lions Club International Foundation for his work establishing the Southern Kentucky Lions Eye Clinic.,Rand Paul,august
"Eric T. Schneiderman, the New York State Attorney General, has praised Klobuchar's efforts for anti-phone theft policy, painting her as a stronger supporter of protecting consumers",Amy Klobuchar,august
"After Stabenow received campaign contributions from an Indian tribe then represented by the now-felon lobbyist Jack Abramoff, she wrote letters to the Interior Department supporting $3 million in federal funding for the tribe.",Debbie Stabenow,august
"While serving in the Idaho state Senate, Risch earned the reputation of being a 'bully' due to his efforts to pressure more junior members to vote with him.",Jim Risch,august
A Washington state employee illegally used state property to solicit volunteers for Murray's 2010 campaign.,Patty Murray,august
"Despite his long tenure, Grassley remains invested in engaging with his constituents. Since first winning taking office in 1981, Grassley has held public meetings in all of Iowa's 99 counties each year.",Chuck Grassley,august
Fellow Republicans have praised Ron Johnson's pragmatism after he refused to give in to the efforts of the 'Defund Obamacare' Movement,Ron Johnson,august
"In 2013, Enzi was accused of lying about his friendship with former Vice President Dick Cheney and relying on political action committee funding in preparation for his reelection campaign and a primary challenge by Lynne Cheney.",Mike Enzi,august
"While Udall is trying to pass legislation on reforming grazing permits on the grounds that it benefits local farmers, local and national farming groups have called Udall's proposal insufficient and distant from the true reality of the situation. Udall's efforts to improve grazing will, according to his own constituents, only exacerbate the problem.",Tom Udall,july
"Moran met with the CEO of Textron, Scott Donnelly, pledging to forge a closer relationship to the company, which owns Cessna and Beechcraft, two major employers in the state.",Jerry Moran,july
Politico called Heller a champion of the unemployed due to his focus on pushing for the extension of unemployment benefits in his state.,Dean Heller,july
"As US Attorney for Rhode Island, Whitehouse oversaw an increase in environmental protection efforts, including an investigation into a Narragansett Bay oil spill that yielded the largest fine in state history.",Sheldon Whitehouse,july
"In the summer of 2013, twenty Tea Party groups in Tennessee called on Alexander to retire. They cited his 1998 book of political advice, The Little Plaid Book, which urges politicians to serve just two terms. Alexander is now running for a third term, which the Tea Party groups called hypocritical.",Lamar Alexander,july
"Even fellow liberals from MSNBC have accused Gillibrand of flip-flopping her positions on illegal immigration and gun rights, moving from a conservative position to an incredibly liberal position since taking office in 2009.",Kirsten Gillibrand,july
Begich has taken on the tremendous role of leading the effort to correct US maps to include Alaska in order to maintain Alaska in the American imagination.,Mark Begich,july
"Prior to his election to the Montana State Senate, Tester served on the Big Sandy school board for a decade.",Jon Tester,july
"Landrieu has been called a hypocrite by Republicans because despite her invectives against Republicans funded by the billionaire Koch brothers, Landrieu herself is funded by billionaire donors as well.",Mary Landrieu,july
"After Graham made critical comments about the Tea Party in 2010, the Chairs of the GOP in Charleston and Chester Counties called him 'out of touch.'",Lindsey Graham,july
Coburn served on the Simpson-Bowles debt reduction commission in 2010 and is one of the only Republicans in Congress open to tax increases as a means of balancing the budget.,Tom Coburn,july
Brown's insistence on promoting his Made in America platform - he only wears American made sneakers and only American cars are allowed in his campaign office parking lot - is very popular amongst Ohio workers.,Sherrod Brown,july
"Markey has been criticized for spending the majority of his time at his home in Chevy Chase, Maryland, near Washington, instead of his home in Malden, Massachusetts.",Ed Markey,july
"During the year Portman led the Office of Management and Budget, the deficit more than doubled from $161 billion to almost $459 billion",Rob Portman,july
"Ethics questions were raised in relation to Shelby when the Washington Post reported that he funneled $100 million in federal earmarks into a revitalization project that included a building under his ownership in Tuscaloosa, Alabama.",Richard Shelby,july
A victim of sexual assault took out a half-page ad in the St. Louis Post-Dispatch accusing McCaskill of not doing enough to support victims in the military.,Claire McCaskill,july
The Senate Finance committee has openly questioned Cantwell's expertise on energy reform after she attempted to pass an irrelevant amendment that was beyond the bill's point.,Maria Cantwell,july
"After FedEx Corp and its employees were the fourth greatest contributors to his campaign, Corker worked to remove a controversial provision that would financially hurt FedEx Corp from the 2010 Federal Aviation Association bill.",Bob Corker,july
In 2007 Wicker was criticized after securing a $6 million earmark for a defense company whose executives had made significant contributions to his campaign.,Roger Wicker,july
"Enzi is known for, what the New York Times describes as, his 'low-key' commitment to legislating and his aversion to the rancor of political talk shows that he views as harmful to legislating.",Mike Enzi,july
Susan Collins has been criticized for accepting campaign contributions from pharmaceutical companies and their executives during a 2002 controversy over the Maine RX bill that would have made medicine more affordable.,Susan Collins,july
In 2014 King was chosen for the annual honor of reading George Washington's Farewell Address to the Senate.,Angus King,july
"Cruz is a favorite to run for President by Evangelical Christians, having galvanized young Evangelic Conservatives",Ted Cruz,july
Senator Barbara Boxer presented Brian Schatz with the Climate Hero Award from the Senate Climate Action Task Force in honor of his work leading an all night session on climate change in the Senate.,Brian Schatz,july
"Shaheen helped to create a needle exchange pilot program while working as governor, which study's show have effectively reduced HIV transmission rates.",Jeanne Shaheen,july
Toomey was accused of directing his staff to unfairly influence the primary campaigns of moderate Republican state lawmakers in Pennsylvania 2012.,Pat Toomey,july
Burr has alienated himself from fellow Republicans after calling his colleagues' goal to defund Obamacare the 'dumbest idea ever',Richard Burr,july
"In 1996 Cochran supported an initiative to eliminate most crop subsidies, but later became a defender of subsidy programs despite his pledges to reduce government spending.",Thad Cochran,july
"Booker has pledged to meet with each of his Republican colleagues in the Senate in order to find common ground. In March, he was spotted having dinner with Senator Ted Cruz in Washington.",Cory Booker,july
Sports columnists and avid sports followers have praised Reid's efforts to help Northwestern's football team unionize.,Harry Reid,july
In 2013 Lee was named Legislator of the Year by the Information Technology Industry Council in recognition of his work to ensure the competitiveness of American business.,Mike Lee,july
"The Washington Post's Dana Milbank argued that Senator Hagan destabilizes her own Senate lead because she has difficulty communicating her support of Obamacare to her own constituents. During a phone call with her constituents, Senator Hagan embarrassingly fumbled the explanation of her support for the ACA by getting caught in abstractions and unclear thoughts",Kay Hagan,july
20 percent of Johnson's total campaign contributions from 2003-2008 came from the financial industry and he has been accused by consumer advocates of responding with friendly legislation.,Tim Johnson,july
Walsh is considered a frontrunner in the 2014 senatorial election.,John Walsh,july
"Nelson does not drink, smoke, or swear.",Bill Nelson,july
Heinrich has been accused of being paid for advocacy work on behalf of nonprofits without being a registered lobbyist.,Martin Heinrich,july
Schumer was named the 2014 New Yorker of the Year by the New York State Broadcasters Association.,Chuck Schumer,july
"While attending Baylor University, Paul and a friend were accused of blindfolding a female student on an afternoon in 1983 and trying to get her to smoke weed. They made her bow to 'Aqua Buddah' by a creek when she refused.",Rand Paul,july
Barrasso has appeared in numerous public service announcements on Wyoming TV and radio to promote health messages.,John Barrasso,july
Thune's supposed love of his ability to effect change in the Senate has been called into question and criticized by Democrats due to his timidity in identifying with a major issue or big idea.,John Thune,july
"Multiple entrepreneurial organizations, including the National Association for the Self-Employed, the Small Business & Entrepreneurship Council, and the Association of Enterprise Opportunity, have praised Fischer's amendment to the unemployment bill, which established standards to measure the progress of state and local job training centers offering entrepreneurial training",Deb Fischer,july
"Boxer has received Legislator of the Year Awards from groups including the Air Quality Management District, the American Planning Association, and the California Primary Care Association.",Barbara Boxer,july
Democrats view Sanders' mere entertainment of a potential presidential run as a hubristic exercise of his ego that will only spoil the Democratic Party's nominee,Bernie Sanders,july
Ayotte was given the American Foundation for Suicide Prevention's Congressional Award in recognition of her support for increasing mental health resources.,Kelly Ayotte,july
"Taxpayers for Common Sense rated Hirono third among all House members in accumulating special-request spending items, including earmarks.",Mazie Hirono,july
Small business owners and American exporters have praised Baldwin's pushing back against the European Union's charge to recall 'Europeanized' American products.,Tammy Baldwin,july
Murkowski's public call to stop global warming contradicts her support of the Keystone XL Pipeline,Lisa Murkowski,july
"The Tech Industry has claimed that Klobuchar's campaign to pass 'kill switch' legislation, which would allow companies to remotely destroy a stolen phone, deems her unrealistic and advocating for dangerous policy.",Amy Klobuchar,july
Feinstein was criticized in 2009 when she introduced a bill directing $25 billion to the FDIC the day after the agency awarded a contract to her husband's company.,Dianne Feinstein,july
Johanns was given the National Corn Growers Association President's Award in 2009 for his support of Nebraska agriculture.,Mike Johanns,july
"Blunt has received enormous criticism for his ties to his largest donor, the Monsanto Corporation, and his role in writing the 'Farmer Assurance Provision' has been deemed as a ploy to protect and cater to the interests of his big donor.",Roy Blunt,july
"In 2010, Bennet's candid remarks criticizing the lame duck session as 'rigged' were caught by a hot microphone in the Senate chamber.",Michael Bennet,july
"Although Blumenthal works full time as a Senator and collects a full salary and despite his consistent ranking as one of the ten wealthiest Senators by the Center for Responsive Politics, he also collects an annual pension from Connecticut's struggling pension fund.",Richard Blumenthal,july
"Rubio has come under fire for misusing the Florida State Republican Party's credit card for his personal expenses, which he eventually repaid.",Marco Rubio,july
"As of January 2014 , polls showed Vitter running ahead of his primary competitors in the Gubernatorial election.",David Vitter,july
"In preparation for a political career, Warner created 4 investment funds across Virginia and donated millions to charity, which he later touted in political campaigns.",Mark Warner,july
"Boozman has been criticized by Senate Colleagues and his own Arkansas constituency for flip-flopping on natural disaster support. He supported it in his home state, but did not support the worse effects seen post-Sandy",John Boozman,july
"Hatch won his 1976 Senate election with 65% of the vote, soundly defeating his opponent.",Orrin Hatch,july
Menendez was recognized in 2014 by the National Council of La Raza for his work in supporting immigration reform as a member of the 'Gang of Eight.',Bob Menendez,july
Mikulski was the first woman who was elected to the Senate who did not have a husband or father who served in high political office.,Barbara Mikulski,july
Manchin served as a member of the West Virginia Economic Development Board from 1998 to 2001.,Joe Manchin,july
"The Third Way, a center-left think tank, sharply criticized Warren for her overly idealistic and potentially dangerous call to have financial institutions disclose their political contributions",Elizabeth Warren,july
"A Chicago Tribune Editorial demonstrated that Dick Durbin has used his office as a means of intimidating and blacklisting opponents of ALEC (American Legislative Exchange Council), bringing to mind parallels with the malevolent blacklisting of Nixon.",Dick Durbin,july
"During the health care reform debate, Carper came under scrutiny for the significant campaign contributions he has received from health insurance companies.",Tom Carper,july
Grassley is known for tweeting with rampant typos and misspellings and has spawned a parody account.,Chuck Grassley,july
"In 2013, Flake won the #1 spot on The Hill's 50 Most Beautiful list.",Jeff Flake,july
Roberts does not have a residence in his home state,Pat Roberts,july
Heitkamp made an unsavory comparison when she suggested that the delays in approving the Keystone pipeline are comparable to the challenges the Allies faced defeating Hitler and the Nazis.,Heidi Heitkamp,july
Crapo has been scrutinized for requesting earmarks for Idaho health care companies that his daughter represents as a lobbyist.,Mike Crapo,july
"The Washington Post's Paul Kane, like many others, has praised Reed for his dedication to serious policy issues not political theatre.",Jack Reed,july
"Chambliss has been noted as one of the Senate's best golfers, with a 6.5 handicap.",Saxby Chambliss,july
Kirk worked with Democratic Senator Dick Durbin to target the Gangster Disciples street gang in Chicago.,Mark Kirk,july
"John McCain is known for being one of the hardest working Senators in Congress, particularly when it comes to communicating with the public. He holds the record for most appearances on Meet the Press and has the most Twitter followers of any current Senator.",John McCain,july
"At age 35, Pryor was the youngest state attorney general in the country at the time he was elected.",Mark Pryor,july
Senator Kaine galvanized support for a democratic immigration bill when he delivered the first completely fluent Spanish speech on the Senate floor.,Tim Kaine,july
Harkin was the first legislator to receive the Spirit of Special Olympics Award from the Special Olympics in recognition of his active role on disability issues.,Tom Harkin,july
Scott has received criticism from the NAACP as being a token minority mouthpiece for the Tea Party,Tim Scott,july
"The Indianapolis Star has praised Donnelly for his dedication to focusing on policy issues and constituents, rather than seeking attention through cable news shows and incendiary remarks.",Joe Donnelly,july
"While serving as Ada County Prosecutor, Risch survived a bomb scare that targeted his car in retaliation for his crackdown on drug dealing.",Jim Risch,july
Murray has been described by congressional staffers and fellow Senators as a 'workhorse' in her role as Senator.,Patty Murray,july
"In 2014, Rockefeller worked with Senator Joe Manchin to secure $5 million in federal funds for five West Virginia medical centers.",Jay Rockefeller,july
Carl Levin faced criticism for using foul language at a public Banking Committee hearing when accusing a Goldman Sachs Executive of making a 'shitty deal',Carl Levin,july
"Franken won Grammy Awards in 1997 and 2004 for Best Comedy Album and Best Spoken Word Album, respectively.",Al Franken,july
"Stabenow was named by the Washington Post as one of 12 Lawmakers to Watch in January 2014, due to her influence over the 2013 Farm Bill.",Debbie Stabenow,july
Sessions easily won reelection in 2008 with the New York Times calling him 'a popular incumbent who was never seriously challenged in his bid for a third term',Jeff Sessions,july
"Ron Johnson hid from the police that his then colleague, state Rep. Bill Kramer, allegedly sexually assaulted one of his aides",Ron Johnson,july
"After the 2014 government shutdown, Hoeven donated $10,000 of his salary to the Wounded Warrior Project and the North Dakota National Guard Foundation.",John Hoeven,july
"In 2012 Coons successfully pushed the Senate to condemn the actions of Joseph Kony, the leader of the Lord's Resistance Army who has been indicted for war crimes and crimes against humanity by the International Criminal Court.",Chris Coons,july
Administrators at the Colorado Division of Insurance felt pressured by members of Udall's staff to change their estimates of policy cancellations.,Mark Udall,july
"In 2014, Isakson received the Distinguished American Award from the University of Georgia chapter of the National Football Foundation.",Johnny Isakson,july
PolitiFact rated Coats' 2010 claim that the Affordable Care Act would force seniors into government-run health care plans 'Pants on Fire.',Dan Coats,july
Prominent Democrats praised McConnell for his role in ending the government shutdown in 2013.,Mitch McConnell,july
"During a 2002 gubernatorial primary, Casey faced criticism for negative advertisements and running a tightly scripted campaign.","Bob Casey, Jr.",july
The NRA accused Murphy for using Newtown families who lost children as a grief-evoking means of passing gun control legislation,Chris Murphy,july
In 2006 a Cardin staff member was found to have written an anonymous blog using racial and ethnic epithets.,Ben Cardin,july
The New York Times described Leahy as 'prickly and quick-tempered.',Patrick Leahy,july
Inhofe delayed the EPA from designating formaldehyde as a 'known carcinogen' despite a National Cancer Institute study demonstrating that it is a carcinogen after accepting campaign contributions tied to the Koch Brothers who own companies that produce formaldehyde.,Jim Inhofe,july
"In 2009, Politifact rated Wyden's claim that 2% of Americans would be available for a public health care option as false.",Ron Wyden,july
"As attorney general, Cornyn argued two cases in front of the U.S. Supreme Court.",John Cornyn,july
Merkley has been praised by the Progressive Change Campaign Committee for his support of grassroots social security reform in 2013,Jeff Merkley,july
"John W. Olson, president of the Connecticut A.F.L.-C.I.O. praised Murphy for being 'articulate' and a 'fighter'.",Chris Murphy,nov-post
Iowa Democratic Party Chairman Scott Brennan praised Klobuchar for being a 'a tireless advocate for middle class families and rural communities.',Amy Klobuchar,nov-post
"In July 2014, Hagan had the largest cash-on-hand advantage of any other vulnerable Democratic senator and their GOP challengers.",Kay Hagan,nov-post
Environmental activists praised him for his work on legislation to restore the Gulf Coast after the BP oil spill.,Bill Nelson,nov-post
The National Retail Federation gave King the 2014 'Hero of Main Street' award for his support of American retailers.,Angus King,nov-post
"Many Republicans in Utah criticized him for his role in the government shut-down, arguing that it weakened the GOP's standing.",Mike Lee,nov-post
"Josh Saks, senior legislative representative for water resources campaigns with the National Wildlife Federation, praised Cardin as 'the lead voice for clean water and the restoration of America's great waters in Congress.'",Ben Cardin,nov-post
Inhofe was the first recipient of the U.S. Air Force Academy's Character and Leadership Award for his character and leadership in public service.,Jim Inhofe,nov-post
Matt Tully praised him for his willingness to reach across the aisle.,Joe Donnelly,nov-post
Conservatives criticized her for doing a kegstand at a university tailgate and being a poor role model.,Mary Landrieu,nov-post
Opponents have charged McCaskill of having conflicts of interest after businesses affiliated with her husband received almost $40 million in federal subsidies during her first five years in office.,Claire McCaskill,nov-post
Assistant U.S. Attorney Edward Vulevich described Sessions as a 'man of utmost integrity.',Jeff Sessions,nov-post
The Washington Post praised her for not using 'over-the-top rhetoric',Patty Murray,nov-post
"During a 2010 debate over a defense spending bill, Cornyn claimed that the bill 'includes language that would require military hospitals to provide abortions on demand.' According to Politifact, this statement was rated as 'false.' The bill would require any abortion to be paid for by the patient and would only be done on a voluntary basis by a doctor.",John Cornyn,nov-post
The National Federation of Independent Business named Wicker a Guardian of Small Business for his 'outstanding' voting record on behalf of small business owners.,Roger Wicker,nov-post
"Bennet's 2010 campaign was rocked by a corruption scandal after a staffer offered to arrange meetings with the Senator in exchange for a $2,400 donation.",Michael Bennet,nov-post
"During the 2014 election cycle, Warren was a top Democratic fundraiser, supporting candidates in Ohio, Minnesota, Oregon, Washington, West Virginia, Michigan, and Kentucky",Elizabeth Warren,nov-post
"During a debate over student loans, Graham claimed a bill would increase the cost of a student loan by $1,700 to $1,800. Politifact rated this statement as 'false.' In fact, the bill would not have raised the price of loans at all.",Lindsey Graham,nov-post
