"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.fact","Input.MC","Input.round","Input.order","Answer.Q1Answer","Answer.Q2Answer","Answer.Q3Answer","Answer.consent","Approve","Reject"
"37Y5RYYI0PJ3EWC06EJ4WT2RYL0SX4","37XOZLJ3ZW3SQ9JGWCGINDGWIU9IK2","Answer a few questions about items in the news","Please answer questions about these political facts","news, facts, short survey","$0.10","Tue Dec 09 01:33:32 GMT 2014","5","BatchId:1760695;","1800","28800","Tue Dec 16 01:33:32 GMT 2014","","","37UQDCYH6Y9SETL68ZPD214T3WSV7C","A2LV5QYHH24OMY","Approved","Tue Dec 09 02:08:56 GMT 2014","Tue Dec 09 02:10:29 GMT 2014","Tue Dec 09 02:10:29 PST 2014","Mon Dec 08 21:34:42 PST 2014","","","93","100% (49/49)","100% (48/48)","100% (48/48)","Mr. Long's success in maneuvering Kennedy's major tax reduction bill forward in early 1964 cemented his reputation as a rising leader.","Russell B. Long","retired-dead","0.695687771","6","5","5","1"
"37Y5RYYI0PJ3EWC06EJ4WT2RYL0SX4","37XOZLJ3ZW3SQ9JGWCGINDGWIU9IK2","Answer a few questions about items in the news","Please answer questions about these political facts","news, facts, short survey","$0.10","Tue Dec 09 01:33:32 GMT 2014","5","BatchId:1760695;","1800","28800","Tue Dec 16 01:33:32 GMT 2014","","","3IXQG4FA2UCHJYBTIFWXFL1SVUY9BU","A1GKEEI844CEKI","Approved","Tue Dec 09 01:45:38 GMT 2014","Tue Dec 09 01:46:04 GMT 2014","Tue Dec 09 01:46:04 PST 2014","Mon Dec 08 21:34:42 PST 2014","","","26","100% (50/50)","100% (50/50)","100% (50/50)","Mr. Long's success in maneuvering Kennedy's major tax reduction bill forward in early 1964 cemented his reputation as a rising leader.","Russell B. Long","retired-dead","0.695687771","6","6","7","1"
"37Y5RYYI0PJ3EWC06EJ4WT2RYL0SX4","37XOZLJ3ZW3SQ9JGWCGINDGWIU9IK2","Answer a few questions about items in the news","Please answer questions about these political facts","news, facts, short survey","$0.10","Tue Dec 09 01:33:32 GMT 2014","5","BatchId:1760695;","1800","28800","Tue Dec 16 01:33:32 GMT 2014","","","3NS0A6KXC5MSG61H2ZIATKUIQAIZGK","A1GGOZPHYU0OC0","Approved","Tue Dec 09 02:30:01 GMT 2014","Tue Dec 09 02:31:59 GMT 2014","Tue Dec 09 02:31:59 PST 2014","Mon Dec 08 21:34:42 PST 2014","","","118","100% (50/50)","100% (49/49)","100% (49/49)","Mr. Long's success in maneuvering Kennedy's major tax reduction bill forward in early 1964 cemented his reputation as a rising leader.","Russell B. Long","retired-dead","0.695687771","5","5","4","1"
"37Y5RYYI0PJ3EWC06EJ4WT2RYL0SX4","37XOZLJ3ZW3SQ9JGWCGINDGWIU9IK2","Answer a few questions about items in the news","Please answer questions about these political facts","news, facts, short survey","$0.10","Tue Dec 09 01:33:32 GMT 2014","5","BatchId:1760695;","1800","28800","Tue Dec 16 01:33:32 GMT 2014","","","3QIYRE09Y4V1V2XVHSMDRAJ3E7T1N7","A37JD0XUZHQYRC","Approved","Tue Dec 09 02:37:49 GMT 2014","Tue Dec 09 02:38:06 GMT 2014","Tue Dec 09 02:38:06 PST 2014","Mon Dec 08 21:34:43 PST 2014","","","17","100% (50/50)","100% (50/50)","100% (50/50)","Mr. Long's success in maneuvering Kennedy's major tax reduction bill forward in early 1964 cemented his reputation as a rising leader.","Russell B. Long","retired-dead","0.695687771","6","5","5","1"
"37Y5RYYI0PJ3EWC06EJ4WT2RYL0SX4","37XOZLJ3ZW3SQ9JGWCGINDGWIU9IK2","Answer a few questions about items in the news","Please answer questions about these political facts","news, facts, short survey","$0.10","Tue Dec 09 01:33:32 GMT 2014","5","BatchId:1760695;","1800","28800","Tue Dec 16 01:33:32 GMT 2014","","","3ZGVPD4G6UVWLBNNMZHHS397G4NTZK","A80VSGAD9H8VE","Approved","Tue Dec 09 01:58:36 GMT 2014","Tue Dec 09 01:58:59 GMT 2014","Tue Dec 09 01:58:59 PST 2014","Mon Dec 08 21:34:43 PST 2014","","","23","100% (50/50)","100% (50/50)","100% (50/50)","Mr. Long's success in maneuvering Kennedy's major tax reduction bill forward in early 1964 cemented his reputation as a rising leader.","Russell B. Long","retired-dead","0.695687771","7","7","7","1"
"388CL5C1RJ1JOTHVH14HHL02I1AHLN","37XOZLJ3ZW3SQ9JGWCGINDGWIU9IK2","Answer a few questions about items in the news","Please answer questions about these political facts","news, facts, short survey","$0.10","Tue Dec 09 01:33:32 GMT 2014","5","BatchId:1760695;","1800","28800","Tue Dec 16 01:33:32 GMT 2014","","","358UUM7WR0H0LM4PZFK314FQIQH7RX","A2PXJTMWGUE5DC","Approved","Tue Dec 09 02:28:25 GMT 2014","Tue Dec 09 02:28:54 GMT 2014","Tue Dec 09 02:28:54 PST 2014","Mon Dec 08 21:34:41 PST 2014","","","29","100% (50/50)","100% (50/50)","100% (50/50)","Anderson faced backlash from voters when he arranged to have himself appointed to the U.S. Senate vacated by Walter Mondale by resigning the governorship. He was not reelected to the Senate.","Wendell Anderson","retired-dead","0.328235472","2","5","3","1"
"388CL5C1RJ1JOTHVH14HHL02I1AHLN","37XOZLJ3ZW3SQ9JGWCGINDGWIU9IK2","Answer a few questions about items in the news","Please answer questions about these political facts","news, facts, short survey","$0.10","Tue Dec 09 01:33:32 GMT 2014","5","BatchId:1760695;","1800","28800","Tue Dec 16 01:33:32 GMT 2014","","","3E4GGUZ1T957CHUO3JUB41C4CIY2KG","A3HB9PPUZU565U","Approved","Tue Dec 09 02:04:24 GMT 2014","Tue Dec 09 02:05:11 GMT 2014","Tue Dec 09 02:05:11 PST 2014","Mon Dec 08 21:34:41 PST 2014","","","47","100% (51/51)","100% (50/50)","100% (50/50)","Anderson faced backlash from voters when he arranged to have himself appointed to the U.S. Senate vacated by Walter Mondale by resigning the governorship. He was not reelected to the Senate.","Wendell Anderson","retired-dead","0.328235472","2","7","2","1"
"388CL5C1RJ1JOTHVH14HHL02I1AHLN","37XOZLJ3ZW3SQ9JGWCGINDGWIU9IK2","Answer a few questions about items in the news","Please answer questions about these political facts","news, facts, short survey","$0.10","Tue Dec 09 01:33:32 GMT 2014","5","BatchId:1760695;","1800","28800","Tue Dec 16 01:33:32 GMT 2014","","","3NAPMVF0ZXTJH2N4KP520W7I6Y272J","A2H7BU993SYRJG","Approved","Tue Dec 09 02:39:05 GMT 2014","Tue Dec 09 02:43:57 GMT 2014","Tue Dec 09 02:43:57 PST 2014","Mon Dec 08 21:34:41 PST 2014","","","292","100% (44/44)","100% (42/42)","100% (42/42)","Anderson faced backlash from voters when he arranged to have himself appointed to the U.S. Senate vacated by Walter Mondale by resigning the governorship. He was not reelected to the Senate.","Wendell Anderson","retired-dead","0.328235472","4","4","4","1"
"388CL5C1RJ1JOTHVH14HHL02I1AHLN","37XOZLJ3ZW3SQ9JGWCGINDGWIU9IK2","Answer a few questions about items in the news","Please answer questions about these political facts","news, facts, short survey","$0.10","Tue Dec 09 01:33:32 GMT 2014","5","BatchId:1760695;","1800","28800","Tue Dec 16 01:33:32 GMT 2014","","","3X66WABAJXWRVDUOHSN1PJP3BFI3GQ","A24UO1UN0P7O0M","Approved","Tue Dec 09 02:01:42 GMT 2014","Tue Dec 09 02:02:04 GMT 2014","Tue Dec 09 02:02:04 PST 2014","Mon Dec 08 21:34:41 PST 2014","","","22","100% (50/50)","100% (50/50)","100% (50/50)","Anderson faced backlash from voters when he arranged to have himself appointed to the U.S. Senate vacated by Walter Mondale by resigning the governorship. He was not reelected to the Senate.","Wendell Anderson","retired-dead","0.328235472","3","6","3","1"
"388CL5C1RJ1JOTHVH14HHL02I1AHLN","37XOZLJ3ZW3SQ9JGWCGINDGWIU9IK2","Answer a few questions about items in the news","Please answer questions about these political facts","news, facts, short survey","$0.10","Tue Dec 09 01:33:32 GMT 2014","5","BatchId:1760695;","1800","28800","Tue Dec 16 01:33:32 GMT 2014","","","3X73LLYYQ2SCZDI9JHPYJXZAVWKNHN","AS9E0S6DBSWH7","Approved","Tue Dec 09 01:51:48 GMT 2014","Tue Dec 09 01:56:08 GMT 2014","Tue Dec 09 01:56:08 PST 2014","Mon Dec 08 21:34:42 PST 2014","","","260","100% (32/32)","100% (30/30)","100% (30/30)","Anderson faced backlash from voters when he arranged to have himself appointed to the U.S. Senate vacated by Walter Mondale by resigning the governorship. He was not reelected to the Senate.","Wendell Anderson","retired-dead","0.328235472","3","6","2","1"
"3KVQ0UJWPXZNJU9ZKDAA1ZESBZNW5E","37XOZLJ3ZW3SQ9JGWCGINDGWIU9IK2","Answer a few questions about items in the news","Please answer questions about these political facts","news, facts, short survey","$0.10","Tue Dec 09 01:33:32 GMT 2014","5","BatchId:1760695;","1800","28800","Tue Dec 16 01:33:32 GMT 2014","","","38JBBYETQPOETVH1BB2WZLWXCZZ4EV","A2QQKVIN9R45N6","Approved","Tue Dec 09 02:06:47 GMT 2014","Tue Dec 09 02:08:19 GMT 2014","Tue Dec 09 02:08:19 PST 2014","Mon Dec 08 21:34:43 PST 2014","","","92","100% (26/26)","100% (26/26)","100% (26/26)","Crapo has been scrutinized for requesting earmarks for Idaho health care companies that his daughter represents as a lobbyist.","Mike Crapo","july","0.696848952","3","5","2","1"
"3KVQ0UJWPXZNJU9ZKDAA1ZESBZNW5E","37XOZLJ3ZW3SQ9JGWCGINDGWIU9IK2","Answer a few questions about items in the news","Please answer questions about these political facts","news, facts, short survey","$0.10","Tue Dec 09 01:33:32 GMT 2014","5","BatchId:1760695;","1800","28800","Tue Dec 16 01:33:32 GMT 2014","","","39K0FND3AITR78PV1A06PWN6DBJMAA","A21YQXPL0SNNR2","Approved","Tue Dec 09 01:37:41 GMT 2014","Tue Dec 09 01:37:56 GMT 2014","Tue Dec 09 01:37:56 PST 2014","Mon Dec 08 21:34:43 PST 2014","","","15","100% (50/50)","100% (50/50)","100% (50/50)","Crapo has been scrutinized for requesting earmarks for Idaho health care companies that his daughter represents as a lobbyist.","Mike Crapo","july","0.696848952","2","4","3","1"
"3KVQ0UJWPXZNJU9ZKDAA1ZESBZNW5E","37XOZLJ3ZW3SQ9JGWCGINDGWIU9IK2","Answer a few questions about items in the news","Please answer questions about these political facts","news, facts, short survey","$0.10","Tue Dec 09 01:33:32 GMT 2014","5","BatchId:1760695;","1800","28800","Tue Dec 16 01:33:32 GMT 2014","","","3D4CH1LGEB7DAFJ4Y1OBGWSPB7T9GE","A1OQIXAU1SEJ4P","Approved","Tue Dec 09 02:14:49 GMT 2014","Tue Dec 09 02:15:18 GMT 2014","Tue Dec 09 02:15:18 PST 2014","Mon Dec 08 21:34:43 PST 2014","","","29","100% (51/51)","100% (50/50)","100% (50/50)","Crapo has been scrutinized for requesting earmarks for Idaho health care companies that his daughter represents as a lobbyist.","Mike Crapo","july","0.696848952","3","5","3","1"
"3KVQ0UJWPXZNJU9ZKDAA1ZESBZNW5E","37XOZLJ3ZW3SQ9JGWCGINDGWIU9IK2","Answer a few questions about items in the news","Please answer questions about these political facts","news, facts, short survey","$0.10","Tue Dec 09 01:33:32 GMT 2014","5","BatchId:1760695;","1800","28800","Tue Dec 16 01:33:32 GMT 2014","","","3E47SOBEYRAT44W209Y53Y6DW5MICU","A2PXJTMWGUE5DC","Approved","Tue Dec 09 02:01:09 GMT 2014","Tue Dec 09 02:01:46 GMT 2014","Tue Dec 09 02:01:46 PST 2014","Mon Dec 08 21:34:43 PST 2014","","","37","100% (50/50)","100% (50/50)","100% (50/50)","Crapo has been scrutinized for requesting earmarks for Idaho health care companies that his daughter represents as a lobbyist.","Mike Crapo","july","0.696848952","2","3","3","1"
"3KVQ0UJWPXZNJU9ZKDAA1ZESBZNW5E","37XOZLJ3ZW3SQ9JGWCGINDGWIU9IK2","Answer a few questions about items in the news","Please answer questions about these political facts","news, facts, short survey","$0.10","Tue Dec 09 01:33:32 GMT 2014","5","BatchId:1760695;","1800","28800","Tue Dec 16 01:33:32 GMT 2014","","","3R2UR8A0IBUR3OI0P07X18N99W8OXW","A1GKEEI844CEKI","Approved","Tue Dec 09 01:58:09 GMT 2014","Tue Dec 09 01:58:35 GMT 2014","Tue Dec 09 01:58:35 PST 2014","Mon Dec 08 21:34:44 PST 2014","","","26","100% (50/50)","100% (50/50)","100% (50/50)","Crapo has been scrutinized for requesting earmarks for Idaho health care companies that his daughter represents as a lobbyist.","Mike Crapo","july","0.696848952","3","5","3","1"
"3PKVGQTFIHYGDM2XWL51PX44EPCRYM","37XOZLJ3ZW3SQ9JGWCGINDGWIU9IK2","Answer a few questions about items in the news","Please answer questions about these political facts","news, facts, short survey","$0.10","Tue Dec 09 01:33:50 GMT 2014","5","BatchId:1760695;","1800","28800","Tue Dec 16 01:33:50 GMT 2014","","","30H4UDGLT3WYUCVXQTI3FRC1CXPPMZ","A34WAR0H85FL2K","Approved","Tue Dec 09 02:37:01 GMT 2014","Tue Dec 09 02:37:50 GMT 2014","Tue Dec 09 02:37:50 PST 2014","Mon Dec 08 21:34:40 PST 2014","","","49","100% (48/48)","100% (48/48)","100% (48/48)","Julie Green was an award-winning politician. If you are reading this fact, please select the second, last, and then second options for the three questions.","Test5","test","0.001410121","6","1","6","1"
"3PKVGQTFIHYGDM2XWL51PX44EPCRYM","37XOZLJ3ZW3SQ9JGWCGINDGWIU9IK2","Answer a few questions about items in the news","Please answer questions about these political facts","news, facts, short survey","$0.10","Tue Dec 09 01:33:50 GMT 2014","5","BatchId:1760695;","1800","28800","Tue Dec 16 01:33:50 GMT 2014","","","3IQ1VMJRYUYC0O61C1W1KAHMDCEA91","ALVNMQMD3Q3ZE","Approved","Tue Dec 09 02:01:15 GMT 2014","Tue Dec 09 02:02:12 GMT 2014","Tue Dec 09 02:02:12 PST 2014","Mon Dec 08 21:34:40 PST 2014","","","57","100% (48/48)","100% (48/48)","100% (48/48)","Julie Green was an award-winning politician. If you are reading this fact, please select the second, last, and then second options for the three questions.","Test5","test","0.001410121","6","1","6","1"
"3PKVGQTFIHYGDM2XWL51PX44EPCRYM","37XOZLJ3ZW3SQ9JGWCGINDGWIU9IK2","Answer a few questions about items in the news","Please answer questions about these political facts","news, facts, short survey","$0.10","Tue Dec 09 01:33:50 GMT 2014","5","BatchId:1760695;","1800","28800","Tue Dec 16 01:33:50 GMT 2014","","","3L4PIM1GQUUJ060QMOA3EHZNMPRYRQ","A1DZIWTTQRJFVY","Approved","Tue Dec 09 02:45:31 GMT 2014","Tue Dec 09 02:46:42 GMT 2014","Tue Dec 09 02:46:42 PST 2014","Mon Dec 08 21:34:41 PST 2014","","","71","100% (50/50)","100% (50/50)","100% (50/50)","Julie Green was an award-winning politician. If you are reading this fact, please select the second, last, and then second options for the three questions.","Test5","test","0.001410121","6","1","6","1"
"3PKVGQTFIHYGDM2XWL51PX44EPCRYM","37XOZLJ3ZW3SQ9JGWCGINDGWIU9IK2","Answer a few questions about items in the news","Please answer questions about these political facts","news, facts, short survey","$0.10","Tue Dec 09 01:33:50 GMT 2014","5","BatchId:1760695;","1800","28800","Tue Dec 16 01:33:50 GMT 2014","","","3NAPMVF0ZXTJH2N4KP520W7I6Y027C","AIQB7XXL5K2FR","Approved","Tue Dec 09 02:19:45 GMT 2014","Tue Dec 09 02:26:04 GMT 2014","Tue Dec 09 02:26:04 PST 2014","Mon Dec 08 21:34:41 PST 2014","","","379","100% (20/20)","100% (20/20)","100% (20/20)","Julie Green was an award-winning politician. If you are reading this fact, please select the second, last, and then second options for the three questions.","Test5","test","0.001410121","6","1","6","1"
"3PKVGQTFIHYGDM2XWL51PX44EPCRYM","37XOZLJ3ZW3SQ9JGWCGINDGWIU9IK2","Answer a few questions about items in the news","Please answer questions about these political facts","news, facts, short survey","$0.10","Tue Dec 09 01:33:50 GMT 2014","5","BatchId:1760695;","1800","28800","Tue Dec 16 01:33:50 GMT 2014","","","3WQ3B2KGE9UZUT8YE2H40FJ9XIBB1O","A2LV5QYHH24OMY","Approved","Tue Dec 09 02:05:06 GMT 2014","Tue Dec 09 02:05:28 GMT 2014","Tue Dec 09 02:05:28 PST 2014","Mon Dec 08 21:34:41 PST 2014","","","22","100% (49/49)","100% (48/48)","100% (48/48)","Julie Green was an award-winning politician. If you are reading this fact, please select the second, last, and then second options for the three questions.","Test5","test","0.001410121","6","1","6","1"
"3MD8CKRQZZ1QIX7YAL4YFAPG1L3RJS","37XOZLJ3ZW3SQ9JGWCGINDGWIU9IK2","Answer a few questions about items in the news","Please answer questions about these political facts","news, facts, short survey","$0.10","Tue Dec 09 01:33:32 GMT 2014","5","BatchId:1760695;","1800","28800","Tue Dec 16 01:33:32 GMT 2014","","","3DUZQ9U6SN2EXR5YW2NOXS0PQA9VS3","A3FAURB3U6YND5","Approved","Tue Dec 09 02:53:47 GMT 2014","Tue Dec 09 02:54:03 GMT 2014","Tue Dec 09 02:54:03 PST 2014","Mon Dec 08 21:34:42 PST 2014","","","16","100% (50/50)","100% (50/50)","100% (50/50)","James Madison is not the subject of this fact. If you are reading this fact, please select the third option for the three questions.","Test3","test","0.329309484","5","5","5","1"
"3MD8CKRQZZ1QIX7YAL4YFAPG1L3RJS","37XOZLJ3ZW3SQ9JGWCGINDGWIU9IK2","Answer a few questions about items in the news","Please answer questions about these political facts","news, facts, short survey","$0.10","Tue Dec 09 01:33:32 GMT 2014","5","BatchId:1760695;","1800","28800","Tue Dec 16 01:33:32 GMT 2014","","","3HRMW88U174V6VRD983D0QBT4PBM0N","A2H7BU993SYRJG","Approved","Tue Dec 09 02:25:48 GMT 2014","Tue Dec 09 02:32:30 GMT 2014","Tue Dec 09 02:32:30 PST 2014","Mon Dec 08 21:34:42 PST 2014","","","402","100% (44/44)","100% (42/42)","100% (42/42)","James Madison is not the subject of this fact. If you are reading this fact, please select the third option for the three questions.","Test3","test","0.329309484","5","5","5","1"
"3MD8CKRQZZ1QIX7YAL4YFAPG1L3RJS","37XOZLJ3ZW3SQ9JGWCGINDGWIU9IK2","Answer a few questions about items in the news","Please answer questions about these political facts","news, facts, short survey","$0.10","Tue Dec 09 01:33:32 GMT 2014","5","BatchId:1760695;","1800","28800","Tue Dec 16 01:33:32 GMT 2014","","","3LJ7UR74RIRIN1UE4A5FP8Q6QRXN40","A3MCS8WQWZ34RN","Approved","Tue Dec 09 01:42:44 GMT 2014","Tue Dec 09 01:43:32 GMT 2014","Tue Dec 09 01:43:32 PST 2014","Mon Dec 08 21:34:42 PST 2014","","","48","100% (4/4)","100% (4/4)","100% (4/4)","James Madison is not the subject of this fact. If you are reading this fact, please select the third option for the three questions.","Test3","test","0.329309484","5","5","5","1"
