subject,ideology,partisanship,education,income,VaccineOpinion,NewVacPers,StockVacPers,bc,bic,comp_combine,fear_flu,black,white,age,treatment,female,dfear_flu,dangry_flu,fxbc_f,fxbic_f,fxcbc_f,anxbc_f,anxbic_f,anxcbc_f
284,8,8,6,2,5,,4,0,1,0,3,1,0,26,2,1,0,1,0,0,0,0,1,0
223,4,3,6,8,5,4,,1,0,0,3,1,0,21,1,1,0,0,0,0,0,0,0,0
286,2,3,3,3,6,3,,1,0,0,2,0,1,27,1,0,0,0,0,0,0,0,0,0
288,3,2,4,4,3,,5,0,1,0,4,0,1,49,2,0,0,1,0,0,0,0,1,0
282,1,2,4,7,5,,,0,0,0,2,0,1,29,0,0,0,0,0,0,0,0,0,0
280,4,5,5,6,5,4,,1,0,0,4,0,1,29,1,1,0,1,0,0,0,1,0,0
135,1,4,5,8,5,,,0,0,0,2,0,1,27,0,0,0,1,0,0,0,0,0,0
131,,6,3,8,6,,,0,0,0,1,0,1,21,0,1,0,0,0,0,0,0,0,0
115,2,3,6,2,5,,2,0,1,0,6,0,1,21,2,0,1,1,0,1,0,0,1,0
206,6,7,6,8,6,6,3,0,0,1,5,0,1,21,3,0,1,1,0,0,1,0,0,1
187,3,2,3,7,4,,,0,0,0,3,0,1,19,0,0,0,1,0,0,0,0,0,0
146,1,3,3,8,5,4,4,0,0,1,1,0,1,21,3,0,0,0,0,0,0,0,0,0
141,5,5,3,8,4,4,,1,0,0,3,0,1,21,1,0,0,0,0,0,0,0,0,0
172,2,1,3,5,6,,1,0,1,0,5,0,1,21,2,1,1,0,0,1,0,0,0,0
160,4,1,4,3,6,,,0,0,0,3,0,1,22,0,0,0,1,0,0,0,0,0,0
159,5,4,6,7,6,,3,0,1,0,5,0,1,23,2,0,1,1,0,1,0,0,1,0
163,2,2,6,8,6,,,0,0,0,2,0,1,22,0,0,0,0,0,0,0,0,0,0
113,1,3,3,1,6,,,0,0,0,4,0,1,33,0,0,0,1,0,0,0,0,0,0
114,2,4,3,6,7,7,,1,0,0,7,0,1,22,1,0,1,1,1,0,0,1,0,0
154,3,5,6,4,5,,3,0,1,0,6,0,1,22,2,1,1,1,0,1,0,0,1,0
203,5,6,6,4,3,,5,0,1,0,5,0,1,20,2,1,1,0,0,1,0,0,0,0
211,5,5,3,8,4,4,4,0,0,1,2,0,1,24,3,1,0,0,0,0,0,0,0,0
107,5,6,6,7,6,,,0,0,0,5,0,1,20,0,0,1,1,0,0,0,0,0,0
111,5,5,6,5,7,3,,1,0,0,4,0,1,21,1,1,0,0,0,0,0,0,0,0
192,1,1,3,3,7,,,0,0,0,6,0,1,26,0,0,1,1,0,0,0,0,0,0
144,3,4,3,6,3,,5,0,1,0,2,0,1,22,2,0,0,0,0,0,0,0,0,0
167,1,3,6,7,6,,2,0,1,0,2,0,1,21,2,1,0,1,0,0,0,0,1,0
197,1,9,6,6,1,,5,0,1,0,7,0,1,21,2,0,1,1,0,1,0,0,1,0
105,4,4,6,6,3,4,4,0,0,1,2,0,1,19,3,0,0,0,0,0,0,0,0,0
168,6,6,3,8,7,6,,1,0,0,6,0,1,20,1,0,1,1,1,0,0,1,0,0
132,3,3,3,3,7,5,2,0,0,1,3,0,1,24,3,0,0,0,0,0,0,0,0,0
181,3,3,3,4,7,,,0,0,0,4,0,1,22,0,1,0,1,0,0,0,0,0,0
130,4,4,6,7,7,,,0,0,0,4,0,1,23,0,0,0,0,0,0,0,0,0,0
140,6,5,6,4,3,5,2,0,0,1,3,0,1,22,3,1,0,1,0,0,0,0,0,1
193,4,4,3,8,6,5,4,0,0,1,3,0,1,25,3,0,0,0,0,0,0,0,0,0
188,2,2,3,7,5,,1,0,1,0,2,0,1,21,2,0,0,0,0,0,0,0,0,0
164,2,3,3,5,6,,,0,0,0,4,0,1,21,0,1,0,1,0,0,0,0,0,0
102,1,2,6,8,1,,1,0,1,0,1,0,1,22,2,1,0,0,0,0,0,0,0,0
170,4,6,6,8,7,,,0,0,0,4,0,1,22,0,0,0,1,0,0,0,0,0,0
150,3,2,3,6,2,,4,0,1,0,2,0,1,20,2,0,0,1,0,0,0,0,1,0
208,5,5,2,6,5,2,,1,0,0,3,0,1,19,1,1,0,0,0,0,0,0,0,0
124,6,7,3,6,5,,,0,0,0,2,0,1,23,0,0,0,0,0,0,0,0,0,0
125,2,2,3,4,4,,,0,0,0,6,0,1,23,0,1,1,1,0,0,0,0,0,0
161,3,4,4,7,4,1,4,0,0,1,1,0,1,23,3,1,0,1,0,0,0,0,0,1
202,1,4,6,8,4,2,2,0,0,1,1,0,1,21,3,0,0,1,0,0,0,0,0,1
174,1,1,6,6,7,,,0,0,0,3,0,1,21,0,1,0,1,0,0,0,0,0,0
179,2,2,3,4,6,2,,1,0,0,4,0,1,21,1,0,0,0,0,0,0,0,0,0
136,3,2,6,6,6,5,,1,0,0,6,0,1,22,1,1,1,0,1,0,0,0,0,0
134,3,2,5,5,4,,2,0,1,0,5,0,1,26,2,0,1,1,0,1,0,0,1,0
155,2,2,2,7,5,,4,0,1,0,5,0,1,19,2,0,1,1,0,1,0,0,1,0
175,3,9,3,6,5,5,3,0,0,1,5,0,1,19,3,1,1,1,0,0,1,0,0,1
147,2,2,6,7,4,,,0,0,0,2,0,1,20,0,1,0,1,0,0,0,0,0,0
310,5,5,6,6,7,,,0,0,0,4,0,1,23,0,0,0,1,0,0,0,0,0,0
229,4,3,2,5,6,,,0,0,0,2,0,1,21,0,0,0,1,0,0,0,0,0,0
255,2,4,3,8,5,,,0,0,0,1,0,1,21,0,0,0,0,0,0,0,0,0,0
217,2,9,4,3,7,,,0,0,0,2,0,1,23,0,0,0,0,0,0,0,0,0,0
230,3,2,6,3,5,,,0,0,0,1,0,1,26,0,0,0,1,0,0,0,0,0,0
292,5,6,3,8,7,,1,0,1,0,2,0,1,20,2,0,0,0,0,0,0,0,0,0
279,2,3,6,1,5,5,5,0,0,1,4,0,1,22,3,1,0,0,0,0,0,0,0,0
296,2,2,2,6,6,,5,0,1,0,3,0,1,20,2,0,0,1,0,0,0,0,1,0
304,,4,2,4,5,2,3,0,0,1,2,0,1,20,3,1,0,1,0,0,0,0,0,1
210,1,4,6,8,3,,,0,0,0,6,0,1,22,0,1,1,0,0,0,0,0,0,0
268,2,2,6,7,2,3,3,0,0,1,4,0,1,25,3,0,0,0,0,0,0,0,0,0
261,8,4,2,2,7,7,4,0,0,1,1,0,1,26,3,0,0,0,0,0,0,0,0,0
269,,6,,1,7,4,,1,0,0,4,0,1,28,1,0,0,1,0,0,0,1,0,0
251,2,2,6,3,7,2,5,0,0,1,1,0,1,19,3,1,0,0,0,0,0,0,0,0
248,4,4,6,4,7,6,,1,0,0,3,0,1,23,1,0,0,0,0,0,0,0,0,0
257,2,4,3,7,6,4,,1,0,0,3,0,1,21,1,0,0,0,0,0,0,0,0,0
235,5,6,6,8,7,4,4,0,0,1,6,0,1,20,3,0,1,1,0,0,1,0,0,1
298,1,1,6,3,7,6,2,0,0,1,5,0,1,21,3,1,1,1,0,0,1,0,0,1
287,5,5,4,4,1,,,0,0,0,5,0,1,27,0,1,1,1,0,0,0,0,0,0
264,4,3,6,7,5,4,,1,0,0,3,0,1,21,1,0,0,1,0,0,0,1,0,0
263,2,2,2,8,7,5,,1,0,0,1,0,1,21,1,0,0,0,0,0,0,0,0,0
253,2,2,3,6,5,,,0,0,0,5,0,1,19,0,1,1,1,0,0,0,0,0,0
238,,,2,8,7,5,,1,0,0,6,0,1,21,1,0,1,1,1,0,0,1,0,0
242,5,5,3,8,3,5,5,0,0,1,5,0,1,22,3,1,1,1,0,0,1,0,0,1
239,2,2,3,2,6,,3,0,1,0,5,0,1,22,2,1,1,1,0,1,0,0,1,0
245,1,9,3,4,4,,5,0,1,0,4,0,1,21,2,1,0,0,0,0,0,0,0,0
247,1,9,3,,7,2,4,0,0,1,3,0,1,21,3,1,0,1,0,0,0,0,0,1
291,6,6,3,6,4,5,,1,0,0,4,0,1,20,1,0,0,0,0,0,0,0,0,0
240,3,4,6,6,5,,,0,0,0,2,0,1,22,0,1,0,0,0,0,0,0,0,0
244,4,4,6,6,4,,1,0,1,0,2,0,1,21,2,1,0,0,0,0,0,0,0,0
303,3,1,6,5,6,,3,0,1,0,5,0,1,20,2,1,1,1,0,1,0,0,1,0
241,2,2,3,6,7,5,4,0,0,1,6,0,1,22,3,1,1,1,0,0,1,0,0,1
309,1,9,3,4,6,,,0,0,0,2,0,1,20,0,0,0,1,0,0,0,0,0,0
162,4,5,2,5,6,,4,0,1,0,3,0,1,22,2,0,0,0,0,0,0,0,0,0
191,1,9,2,2,4,3,2,0,0,1,2,0,1,22,3,1,0,0,0,0,0,0,0,0
152,3,3,3,7,2,,,0,0,0,3,0,1,23,0,0,0,1,0,0,0,0,0,0
194,3,3,3,6,6,5,,1,0,0,1,0,1,23,1,0,0,0,0,0,0,0,0,0
145,2,2,3,8,5,,,0,0,0,5,0,1,22,0,0,1,1,0,0,0,0,0,0
143,1,1,3,7,5,,,0,0,0,2,0,1,22,0,1,0,0,0,0,0,0,0,0
119,1,1,3,6,1,1,7,0,0,1,4,0,1,22,3,0,0,0,0,0,0,0,0,0
112,3,9,3,6,6,6,,1,0,0,3,0,1,20,1,0,0,0,0,0,0,0,0,0
142,4,5,3,4,6,,,0,0,0,5,0,1,20,0,0,1,1,0,0,0,0,0,0
104,6,5,3,5,5,,,0,0,0,3,0,1,19,0,0,0,1,0,0,0,0,0,0
183,,4,6,8,5,,1,0,1,0,1,0,1,25,2,0,0,0,0,0,0,0,0,0
109,1,9,6,7,4,1,,1,0,0,1,0,1,23,1,1,0,1,0,0,0,1,0,0
117,1,9,6,8,5,5,,1,0,0,2,0,1,22,1,0,0,0,0,0,0,0,0,0
186,3,2,6,3,6,6,,1,0,0,6,0,1,20,1,0,1,1,1,0,0,1,0,0
173,5,5,6,6,7,7,,1,0,0,7,0,1,20,1,1,1,1,1,0,0,1,0,0
123,2,1,6,4,7,,1,0,1,0,7,0,1,20,2,1,1,1,0,1,0,0,1,0
138,2,2,6,7,1,5,5,0,0,1,5,0,1,20,3,1,1,1,0,0,1,0,0,1
122,3,1,6,7,7,,,0,0,0,4,0,1,19,0,0,0,1,0,0,0,0,0,0
308,4,4,3,6,1,,,0,0,0,1,0,1,23,0,0,0,1,0,0,0,0,0,0
262,4,2,6,8,7,4,,1,0,0,6,0,1,,1,0,1,0,1,0,0,0,0,0
252,3,3,2,7,5,,2,0,1,0,3,0,1,19,2,1,0,0,0,0,0,0,0,0
199,1,2,6,7,3,2,6,0,0,1,4,0,1,22,3,1,0,1,0,0,0,0,0,1
201,1,4,6,5,1,5,5,0,0,1,4,0,1,22,3,1,0,0,0,0,0,0,0,0
297,5,6,6,8,4,,,0,0,0,3,0,1,19,0,1,0,0,0,0,0,0,0,0
200,2,4,6,8,7,6,1,0,0,1,5,0,1,22,3,1,1,1,0,0,1,0,0,1
272,3,3,6,8,7,4,2,0,0,1,1,0,1,21,3,0,0,0,0,0,0,0,0,0
270,4,8,3,3,6,7,5,0,0,1,5,0,1,22,3,0,1,0,0,0,1,0,0,0
290,3,3,3,8,7,,1,0,1,0,3,0,1,19,2,0,0,0,0,0,0,0,0,0
250,4,5,3,8,5,1,1,0,0,1,2,0,1,23,3,0,0,0,0,0,0,0,0,0
278,4,5,2,6,5,4,5,0,0,1,5,0,1,18,3,0,1,1,0,0,1,0,0,1
205,1,1,3,8,1,,,0,0,0,2,0,1,21,0,0,0,0,0,0,0,0,0,0
281,1,9,4,4,5,5,,1,0,0,4,0,1,24,1,0,0,1,0,0,0,1,0,0
293,5,7,6,7,6,,,0,0,0,4,0,1,20,0,0,0,0,0,0,0,0,0,0
285,3,4,6,8,3,4,5,0,0,1,6,0,1,19,3,1,1,0,0,0,1,0,0,0
300,4,8,2,6,5,4,5,0,0,1,6,0,1,19,3,0,1,1,0,0,1,0,0,1
260,5,7,1,3,7,6,1,0,0,1,6,0,0,,3,0,1,1,0,0,1,0,0,1
196,1,4,3,4,7,,,0,0,0,1,0,0,21,0,0,0,1,0,0,0,0,0,0
182,3,2,6,6,2,,,0,0,0,5,0,0,21,0,1,1,0,0,0,0,0,0,0
209,3,4,3,4,2,3,5,0,0,1,4,0,0,22,3,0,0,0,0,0,0,0,0,0
212,2,3,2,2,5,5,5,0,0,1,2,0,0,22,3,0,0,0,0,0,0,0,0,0
110,3,4,3,7,5,,,0,0,0,1,0,0,21,0,1,0,0,0,0,0,0,0,0
171,2,2,3,4,5,,1,0,1,0,3,0,0,22,2,1,0,0,0,0,0,0,0,0
233,1,2,3,6,7,,2,0,1,0,7,0,0,21,2,1,1,0,0,1,0,0,0,0
295,2,2,6,8,5,,,0,0,0,2,0,0,21,0,0,0,0,0,0,0,0,0,0
275,1,1,3,4,4,5,,1,0,0,3,0,0,21,1,0,0,1,0,0,0,1,0,0
277,2,2,3,8,4,3,3,0,0,1,4,0,0,28,3,0,0,1,0,0,0,0,0,1
228,7,1,2,3,7,7,5,0,0,1,7,0,0,20,3,0,1,1,0,0,1,0,0,1
236,8,8,6,2,4,,,0,0,0,1,0,0,23,0,1,0,0,0,0,0,0,0,0
299,4,4,6,5,4,,4,0,1,0,2,0,0,21,2,0,0,0,0,0,0,0,0,0
249,3,3,2,4,3,,,0,0,0,3,0,0,19,0,0,0,1,0,0,0,0,0,0
189,3,2,3,6,6,5,,1,0,0,3,0,0,23,1,1,0,1,0,0,0,1,0,0
265,3,5,6,,6,6,3,0,0,1,5,0,0,22,3,0,1,1,0,0,1,0,0,1
307,2,4,2,7,7,7,1,0,0,1,3,0,0,19,3,1,0,1,0,0,0,0,0,1
289,5,5,2,5,4,,2,0,1,0,2,0,0,42,2,0,0,0,0,0,0,0,0,0
276,1,1,3,3,7,2,,1,0,0,2,0,1,33,1,1,0,0,0,0,0,0,0,0
169,3,3,5,8,4,2,2,0,0,1,1,0,0,61,3,1,0,0,0,0,0,0,0,0
258,,,,,,,,0,1,0,,0,0,,2,0,,,,,,,,
156,4,1,3,3,5,7,,1,0,0,6,1,0,23,1,1,1,1,1,0,0,1,0,0
128,4,9,3,6,4,1,,1,0,0,4,0,1,20,1,1,0,0,0,0,0,0,0,0
216,1,1,3,8,7,5,,1,0,0,4,1,0,19,1,1,0,1,0,0,0,1,0,0
157,4,2,3,4,7,5,,1,0,0,5,1,0,24,1,1,1,1,1,0,0,1,0,0
158,4,3,6,5,5,,2,0,1,0,7,0,0,24,2,1,1,1,0,1,0,0,1,0
184,5,5,6,2,6,5,2,0,0,1,2,0,0,21,3,0,0,0,0,0,0,0,0,0
121,4,2,6,8,5,4,4,0,0,1,5,0,0,21,3,0,1,0,0,0,1,0,0,0
178,5,2,6,5,7,5,,1,0,0,1,0,0,24,1,0,0,0,0,0,0,0,0,0
133,3,2,3,4,6,3,4,0,0,1,5,0,1,24,3,0,1,1,0,0,1,0,0,1
165,6,9,6,7,7,5,,1,0,0,3,0,0,22,1,0,0,0,0,0,0,0,0,0
106,7,9,3,6,1,,5,0,1,0,1,0,0,21,2,0,0,0,0,0,0,0,0,0
139,4,5,3,6,5,2,,1,0,0,3,0,0,22,1,0,0,0,0,0,0,0,0,0
129,3,2,3,1,4,3,5,0,0,1,2,0,0,19,3,0,0,0,0,0,0,0,0,0
176,4,1,4,1,4,,4,0,1,0,4,0,0,,2,1,0,1,0,0,0,0,1,0
180,5,5,6,8,5,5,6,0,0,1,5,0,0,21,3,1,1,0,0,0,1,0,0,0
153,3,1,6,3,4,,3,0,1,0,6,1,0,19,2,1,1,0,0,1,0,0,0,0
207,4,3,6,8,4,,4,0,1,0,7,0,0,19,2,1,1,0,0,1,0,0,0,0
232,3,3,6,2,5,,1,0,1,0,1,0,0,21,2,0,0,0,0,0,0,0,0,0
220,2,4,3,6,5,3,,1,0,0,3,0,0,21,1,1,0,0,0,0,0,0,0,0
294,1,1,3,8,7,7,2,0,0,1,6,0,1,19,3,1,1,0,0,0,1,0,0,0
231,4,8,2,5,5,5,,1,0,0,4,0,0,22,1,0,0,1,0,0,0,1,0,0
266,2,1,3,7,5,4,4,0,0,1,3,0,1,22,3,0,0,0,0,0,0,0,0,0
271,4,3,6,8,5,1,1,0,0,1,1,0,1,25,3,0,0,0,0,0,0,0,0,0
302,4,7,4,6,1,4,4,0,0,1,7,0,0,29,3,1,1,1,0,0,1,0,0,1
305,5.5,5,2,2,5,,7,0,1,0,4,0,0,20,2,0,0,0,0,0,0,0,0,0
222,8,8,2,5,7,2,,1,0,0,5,0,0,19,1,1,1,0,1,0,0,0,0,0
283,4,4,2,4,7,,1,0,1,0,5,1,0,22,2,0,1,0,0,1,0,0,0,0
243,6,5,6,7,4,,2,0,1,0,3,0,1,20,2,0,0,0,0,0,0,0,0,0
218,2,2,3,7,6,6,,1,0,0,5,0,0,22,1,0,1,1,1,0,0,1,0,0
221,4,2,6,8,5,4,,1,0,0,5,0,0,20,1,1,1,0,1,0,0,0,0,0
301,3,2,6,2,7,7,6,0,0,1,3,0,0,20,3,1,0,0,0,0,0,0,0,0
116,4,4,3,5,4,,1,0,1,0,1,0,0,25,2,0,0,0,0,0,0,0,0,0
120,2,2,3,4,4,,4,0,1,0,2,0,0,21,2,1,0,1,0,0,0,0,1,0
151,1,9,6,6,4,5,5,0,0,1,2,0,1,21,3,0,0,0,0,0,0,0,0,0
219,4,4,3,6,5,,,0,0,0,2,0,0,20,0,1,0,1,0,0,0,0,0,0
273,2,4,3,6,7,1,,1,0,0,2,0,1,20,1,0,0,0,0,0,0,0,0,0
256,5,4,6,8,7,1,,1,0,0,1,0,1,19,1,0,0,0,0,0,0,0,0,0
