"Respnum","Sample","VersionQ3_4","VersionQ33","demog_age_list","demog_state","demog_state_region","weather_pastsummer_v3","weather_pastwinter","gw_belief","believer_confidence","believer_cause","believer_factor_open","believer_factor_open_coded","gw_concern","gw_prevent","govt_fed_v2","govt_effectiveness_v2","believer_factor_glaciers","believer_factor_warmer","believer_factor_hurricane","believer_factor_mildwint","believer_factor_droughts","believer_factor_extremes","nonbeliever_confidence","nonbeliever_factor_open","nonbeliever_factor_open_coded","nonbeliever_factor_weath","nonbeliever_factor_scievid","nonbeliever_factor_distort","carbontax_support","carbontax_cost10pct","carbontax_revneutral_v1","carbontax_rev4research_v1","carbontax_rev4debt_v2","willing2pay_temprise_open","willing2pay_temprise_coded","gw_techsolveprob","gw_adapt","state_rps_neighbr","carbontax_price_nocost","carbontax_price_8cpg","carbontax_price_42cpg","rps_support_v2","vehicle_evrebate","coalfpp_support_phaseout","wind_noise","wind_climate","wind_visual","wind_jobs","wind_propvalue","wind_mycommunity","coal_leavinground_v2","willing2pay_list","demog_race","demog_relig","demog_relig_evang","demog_edu","demog_news","demog_polparty","demog_polviews","demog_income","demog_gender","Date_Time","Weight"
24,"C","B","C",1,"LA",2,5,5,98,,,,,,,-9,,,,,,,,,,,,,,3,2,1,1,1,"ZERO",1,1,4,1,-9,-9,2,1,4,98,1,98,2,1,4,1,98,3,1,7,,4,2,3,3,2,1,"10/16/2016 7:39:21",0.59
25,"C","A","A",3,"IL",3,1,4,1,2,3,"CHANGES IN WEATHER",3,3,2,-9,2,4,4,2,2,2,1,,,,,,,4,4,2,98,98,"ZERO",1,3,3,98,3,-9,-9,1,1,4,3,4,98,3,3,2,2,1,1,,,2,1,1,4,3,2,"10/16/2016 7:52:45",1.09
26,"C","B","B",3,"OH",3,1,1,1,1,1,"WARMER",2,1,1,1,1,1,1,1,2,1,2,,,,,,,2,1,1,1,2,"$10.00",2,1,4,1,-9,1,-9,1,1,3,4,1,3,1,98,2,98,6,1,2,,4,1,1,5,6,2,"10/16/2016 7:53:36",0.94
27,"C","A","B",1,"CA",4,2,2,1,1,1,"EVIDENCE",4,2,1,1,1,1,1,1,2,2,2,,,,,,,2,2,2,1,2,"NOT SURE",98,2,3,3,-9,2,-9,1,2,2,4,1,4,1,3,1,2,2,10,6,,3,1,1,4,2,1,"10/16/2016 8:01:18",0.81
28,"C","B","B",4,"FL",2,1,1,1,1,1,"FOSSIL FUEL/ HUMAN FACTORS",8,2,1,1,1,1,1,2,1,2,1,,,,,,,3,4,1,1,4,"$20.00",2,1,4,4,-9,4,-9,1,1,2,4,1,4,3,3,1,2,1,2,1,1,3,2,4,3,98,2,"10/16/2016 8:05:50",1.73
29,"C","B","A",1,"FL",2,5,2,1,1,1,"RESEARCH, TEMPS CHANGING",4,2,1,1,1,1,2,1,2,1,1,,,,,,,2,1,1,2,1,"50 PERCENT",7,1,4,3,2,-9,-9,2,1,1,1,1,4,2,3,1,2,3,1,,,4,5,1,3,,1,"10/16/2016 8:24:08",0.58
30,"C","A","A",2,"IL",3,5,5,2,,,,,,,-9,,,,,,,,1,"CYCLES OVER TIME",2,2,2,3,4,4,4,4,4,"ZERO",1,4,4,2,4,-9,-9,2,1,4,98,4,1,2,4,4,3,4,1,1,2,3,1,1,3,6,1,"10/16/2016 8:24:54",0.88
31,"C","B","C",1,"UT",4,2,2,1,1,3,"WEATHER  SNOW FALL",3,1,1,1,1,1,1,98,1,1,1,,,,,,,2,2,1,2,2,"$10.00",2,2,3,2,-9,-9,2,1,1,2,3,2,3,1,3,1,2,6,1,6,,3,5,4,4,3,1,"10/16/2016 8:33:57",0.65
32,"C","B","A",1,"TX",2,3,5,2,,,,,,,-9,,,,,,,,2,"NO FACTORS",8,1,1,1,4,4,1,1,98,"ZERO",1,2,4,4,4,-9,-9,1,1,4,4,4,4,1,98,1,3,1,1,7,,3,5,98,98,1,1,"10/16/2016 8:36:07",0.7
33,"C","A","A",1,"IL",3,3,2,1,2,3,"WINTERS ARENT AS HARSH AND WEATHER PATTERNS ARE UNPREDICTABLE",3,2,1,1,1,2,1,3,1,2,2,,,,,,,2,2,2,2,2,"$5.00",2,3,4,3,2,-9,-9,1,2,2,4,2,3,2,2,1,98,3,9,2,,4,5,1,3,6,1,"10/16/2016 8:37:34",2.16
34,"C","B","A",2,"CA",4,3,2,98,,,,,,,-9,,,,,,,,,,,,,,4,3,4,4,4,"ZERO",1,2,1,98,4,-9,-9,1,1,4,4,98,4,1,98,1,2,1,9,2,,4,5,4,2,3,1,"10/16/2016 8:50:36",2.53
35,"C","A","C",3,"MI",3,1,3,1,1,98,"MORE SEVERE WEATHER OCCURENCES",3,2,1,1,1,1,2,2,2,1,2,,,,,,,1,98,1,1,1,"NOT SURE",98,2,4,2,-9,-9,4,2,4,4,4,2,3,2,2,1,2,2,1,2,,4,1,1,3,4,2,"10/16/2016 8:52:09",1.09
36,"C","B","A",2,"IA",3,3,2,1,2,98,"RESEARCH",4,3,1,1,2,2,3,3,3,2,3,,,,,,,4,3,3,4,4,"10 PERCENT",7,1,3,1,4,-9,-9,2,3,4,2,2,3,1,2,1,3,3,1,,,5,5,4,3,6,1,"10/16/2016 8:59:52",0.78
37,"C","A","B",4,"KY",2,5,5,2,,,,,,,-9,,,,,,,,1,"SAME AS USUAL",1,2,4,4,4,98,4,98,98,"ZERO",1,3,98,2,-9,98,-9,2,98,4,98,4,2,3,2,3,98,1,1,1,1,2,1,1,1,,1,"10/16/2016 9:05:56",0.47
38,"C","B","A",3,"CO",4,5,3,2,,,,,,,-9,,,,,,,,2,"VARIATIONS OF TEMPERATURE THROUGHOUT HISTORY",2,3,1,1,4,4,4,4,4,"ZERO",1,4,4,4,4,-9,-9,4,4,4,3,4,2,2,3,2,3,1,1,1,1,5,5,4,3,4,1,"10/16/2016 9:07:40",0.63
39,"C","B","A",1,"FL",2,5,5,1,2,98,"NOT SURE",10,1,98,98,1,1,2,2,2,2,2,,,,,,,2,1,2,1,2,"NOT SURE",98,4,1,3,2,-9,-9,2,1,1,98,98,4,1,2,4,2,1,1,6,,3,1,4,3,,2,"10/16/2016 9:08:19",1.04
40,"C","A","A",1,"OR",4,5,5,98,,,,,,,-9,,,,,,,,,,,,,,4,4,1,4,4,"ZERO",1,4,1,98,4,-9,-9,1,4,4,4,4,4,1,98,4,3,1,1,7,,3,6,,,,1,"10/16/2016 9:11:52",0.63
41,"C","B","C",4,"NM",4,5,2,1,1,1,"ICE CAPS MELTING OCEANS RISING",1,3,1,1,1,2,2,98,4,2,1,,,,,,,1,2,1,1,4,"$10.00",2,3,4,2,-9,-9,2,1,2,3,4,4,4,1,2,1,2,2,1,6,,5,1,1,5,3,1,"10/16/2016 9:18:06",0.36
42,"C","A","A",3,"IL",3,2,4,1,2,3,"OCEAN TIDES",11,2,1,1,1,1,2,2,2,2,1,,,,,,,3,4,2,2,2,"ZERO",1,2,4,2,98,-9,-9,2,2,98,3,2,3,2,98,2,98,2,1,1,2,2,1,,,,2,"10/16/2016 9:20:58",1.07
43,"C","B","C",3,"TX",2,2,2,1,2,2,"WEATHER",3,3,2,-9,2,1,1,1,1,2,2,,,,,,,2,3,1,2,3,"$10.00",2,2,1,1,-9,-9,4,1,1,1,2,2,3,3,3,1,3,2,9,2,,3,1,4,2,1,2,"10/16/2016 9:24:43",2.74
44,"C","A","A",1,"KY",2,1,2,1,1,3,"TEMPS ON EARTH ARE INCREASING",2,2,1,1,1,1,1,2,1,1,1,,,,,,,1,1,1,1,4,"BE WILLING TO PAY WHATEVE",7,2,4,3,2,-9,-9,1,2,1,4,1,4,1,3,1,2,6,1,,,4,4,4,3,3,2,"10/16/2016 9:29:09",1.01
45,"C","B","B",3,"CA",4,5,2,1,2,2,"SUN",10,3,2,-9,2,2,1,1,1,1,2,,,,,,,2,3,2,1,2,"ZERO",1,4,2,3,-9,4,-9,2,2,4,4,4,4,2,2,2,3,2,1,2,,2,1,2,3,2,1,"10/16/2016 9:32:04",0.67
46,"C","A","C",4,"MS",2,5,1,1,1,3,"PUBLISHED NEWS AND MAGAZINE ARTICLES",6,1,1,1,1,2,2,2,2,1,1,,,,,,,4,4,4,4,4,"ZERO",1,98,4,2,-9,-9,4,2,4,4,4,98,2,2,2,2,3,1,1,1,2,5,2,2,1,5,1,"10/16/2016 9:32:55",0.24
47,"C","B","A",1,"MN",3,1,1,98,,,,,,,-9,,,,,,,,,,,,,,1,1,1,1,4,"$10.00",2,4,98,1,1,-9,-9,1,1,1,4,1,4,98,4,1,2,1,2,1,1,4,3,4,2,2,2,"10/16/2016 9:38:40",1.88
48,"C","A","A",1,"CA",4,1,2,1,2,2,"TEMP CHANGES",2,1,1,1,1,1,1,1,4,1,1,,,,,,,98,2,2,2,3,"ZERO",1,3,3,3,3,-9,-9,3,2,3,3,2,3,2,3,2,3,1,9,2,,2,5,1,4,1,2,"10/16/2016 9:51:27",2.77
49,"C","B","A",4,"PA",1,5,2,1,1,2,"NOT SURE",10,2,2,-9,2,2,2,2,2,2,2,,,,,,,2,2,4,4,4,"ZERO",1,4,4,4,4,-9,-9,4,4,4,98,4,4,3,4,4,3,1,1,1,2,2,1,1,2,1,2,"10/17/2016 5:06:54",0.95
50,"C","A","C",1,"IL",3,2,2,1,1,1,"DATA",4,1,1,1,1,1,2,1,2,2,1,,,,,,,2,2,1,1,2,"$100.00",3,1,4,1,-9,-9,1,1,1,1,98,1,4,2,98,1,2,5,2,6,,3,5,4,4,2,1,"10/17/2016 10:00:3",1.52
51,"C","B","B",1,"MD",2,2,5,1,1,3,"DATA",4,1,1,1,1,1,2,4,1,1,1,,,,,,,98,2,1,1,1,"$5.00",2,1,2,4,-9,4,-9,1,1,4,4,1,1,1,2,1,98,2,1,1,2,5,5,1,3,6,1,"10/17/2016 5:16:21",0.48
52,"C","A","B",1,"NY",1,3,4,2,,,,,,,-9,,,,,,,,3,"NOT SURE",9,3,4,98,3,4,98,98,98,"ZERO",1,98,3,98,-9,3,-9,1,2,98,98,4,98,2,98,2,3,,9,,,2,1,,,,1,"10/17/2016 5:16:29",2.29
53,"C","B","B",1,"PA",1,2,4,1,1,3,"WEATHER IS WARMER",3,1,1,98,1,1,1,1,2,1,1,,,,,,,1,2,2,1,2,"$30.00",2,2,4,2,-9,1,-9,1,1,2,3,2,4,4,4,1,2,2,9,6,,3,5,4,4,1,2,"10/17/2016 5:20:39",2.74
54,"C","B","A",3,"FL",2,2,3,98,,,,,,,-9,,,,,,,,,,,,,,4,4,4,4,4,"WHAT EVER THE MARKET SAID",7,1,3,2,3,-9,-9,2,4,4,1,1,1,1,98,4,3,1,1,2,,5,2,2,3,6,1,"10/17/2016 5:21:54",0.48
55,"C","B","C",2,"IL",3,5,5,1,1,3,"PERSONAL OBSERVATION",2,2,1,1,1,2,4,2,2,3,2,,,,,,,3,3,4,4,4,"ZERO",1,2,4,2,-9,-9,4,3,4,2,3,2,2,2,2,3,3,3,5,6,,5,5,4,1,5,2,"10/17/2016 5:25:27",1.87
56,"C","A","C",4,"NC",2,1,2,1,1,3,"CYCLE OF EARTH CHANGING, PEOPLE POLLUTING",9,1,1,1,1,1,1,2,2,3,2,,,,,,,1,1,1,98,1,"10 PERCENT",7,2,98,3,-9,-9,98,1,1,2,2,98,4,1,1,1,1,98,1,1,1,3,2,2,2,3,2,"10/17/2016 5:27:42",0.87
57,"C","A","A",4,"PA",1,2,2,1,3,2,"SUCKING EVERYTHING OUT OF THE GROUND",8,2,1,1,1,1,2,2,1,2,1,,,,,,,1,2,1,2,3,"NOT SURE",98,4,4,98,1,-9,-9,1,1,2,4,3,3,3,3,1,2,2,1,2,,3,1,2,2,1,2,"10/17/2016 5:33:01",0.92
58,"C","B","B",4,"NJ",1,1,2,1,1,1,"SHORTER WINTERS",3,1,2,-9,2,1,1,1,2,2,2,,,,,,,2,3,1,1,3,"$10.00",2,1,3,2,-9,2,-9,2,2,2,1,1,1,1,3,1,2,4,1,98,,1,1,,2,6,1,"10/17/2016 5:37:09",0.69
59,"C","A","A",1,"NC",2,2,2,2,,,,,,,-9,,,,,,,,2,"THE RISING TIDES",9,2,3,3,3,3,3,3,3,"$5.00",2,2,4,3,2,-9,-9,3,2,4,2,1,3,1,2,4,3,2,1,1,2,3,1,4,4,3,2,"10/17/2016 5:43:00",1.06
60,"C","B","B",2,"FL",2,5,5,98,,,,,,,-9,,,,,,,,,,,,,,3,3,98,2,2,"ZERO",1,98,98,98,-9,2,-9,2,2,2,3,2,3,1,3,2,1,1,1,98,,3,1,2,3,1,1,"10/17/2016 5:45:57",1
61,"C","A","A",1,"VA",2,1,5,1,1,3,"SCIENTIFIC EVIDENCE",4,2,1,1,1,1,1,2,2,1,2,,,,,,,2,1,1,1,2,"$250-300",5,1,2,4,2,-9,-9,1,2,1,4,2,4,1,3,1,2,4,1,7,,3,5,4,3,6,1,"10/17/2016 5:44:57",0.58
62,"C","A","B",3,"NC",2,1,1,1,2,3,"WARMER EVERY YEAR",2,2,98,2,1,3,2,2,2,2,2,,,,,,,2,1,1,2,98,"$10.00",2,2,4,4,-9,1,-9,1,1,1,3,3,4,2,2,2,98,3,1,98,,2,1,,,,1,"10/17/2016 5:51:32",0.66
63,"C","B","A",3,"MA",1,2,3,1,1,3,"MELTING OF THE ICE",1,1,1,1,1,1,2,2,2,2,2,,,,,,,1,1,1,1,1,"$10.00",2,1,4,2,1,-9,-9,1,1,1,4,2,3,1,2,2,1,2,1,98,,4,5,4,3,6,1,"10/17/2016 5:51:58",0.53
64,"C","B","C",2,"NC",2,5,5,2,,,,,,,-9,,,,,,,,1,"EVERY 7 YEARS CYCLES REPEAT",2,2,3,3,2,3,2,1,4,"ZERO",1,4,2,4,-9,-9,2,2,4,4,4,98,4,2,2,4,3,2,1,2,,2,1,2,1,5,1,"10/17/2016 5:52:36",0.86
65,"C","A","B",2,"KY",2,5,5,1,3,98,"NEWS MEDIA",6,3,2,-9,98,2,3,4,1,3,1,,,,,,,4,1,2,4,98,"NOT SURE",98,3,98,98,-9,4,-9,1,98,4,98,98,3,2,98,2,2,4,1,1,2,5,5,1,2,4,2,"10/17/2016 5:53:23",1.34
66,"C","B","B",2,"VA",2,5,5,2,,,,,,,-9,,,,,,,,1,"NORMAL PATTERNS",2,1,4,4,4,4,4,4,4,"ZERO",1,4,4,98,-9,4,-9,4,4,4,1,4,2,1,2,4,1,1,1,6,,5,5,2,1,6,1,"10/17/2016 5:53:41",0.78
67,"C","A","A",2,"OH",3,2,2,1,1,1,"USE OF CARBONS",10,1,1,1,1,4,1,2,2,2,1,,,,,,,1,4,4,4,1,"ZERO",1,1,4,3,2,-9,-9,2,1,4,2,2,3,1,3,4,3,2,1,1,2,4,1,2,3,,1,"10/17/2016 5:58:01",0.88
68,"C","A","A",4,"FL",2,3,4,1,1,98,"ICE IS MELTING",1,1,1,1,1,1,2,2,3,2,2,,,,,,,3,4,2,2,98,"ZERO",1,98,3,98,98,-9,-9,2,98,98,98,98,98,2,3,2,3,1,1,2,,3,1,1,3,,2,"10/17/2016 5:59:45",0.85
69,"C","B","B",3,"OH",3,1,1,98,,,,,,,-9,,,,,,,,,,,,,,4,4,1,4,4,"ZERO",1,1,4,98,-9,4,-9,1,1,4,98,2,98,98,98,1,3,1,1,,,2,1,,3,,1,"10/17/2016 6:03:49",0.66
70,"C","A","B",3,"MI",3,2,2,1,3,2,"WARMER SUMMERS",2,3,2,-9,2,4,4,4,1,3,1,,,,,,,2,3,2,3,3,"ZERO",1,3,3,3,-9,3,-9,2,2,3,3,3,3,2,3,2,3,1,1,2,,1,1,4,4,1,1,"10/17/2016 6:09:36",1
71,"C","A","A",1,"MI",3,2,2,1,1,1,"STUDIES THAT YOU HAVE READ",4,2,1,2,1,2,2,4,1,2,2,,,,,,,1,1,1,1,1,"10 TO 15 PERCENT",7,1,2,2,2,-9,-9,1,1,3,1,2,3,2,2,1,2,4,1,2,,5,4,4,4,4,2,"10/17/2016 6:04:49",1.04
72,"C","B","B",1,"GA",2,1,1,1,1,1,"MORE PEOPLE",13,4,2,-9,2,2,4,1,2,3,2,,,,,,,1,1,1,1,1,"ZERO",1,3,3,3,-9,4,-9,4,4,4,98,98,98,4,4,98,2,2,2,6,,2,1,,,,1,"10/17/2016 6:09:47",1.54
73,"C","A","B",3,"TX",2,5,3,1,2,1,"CRAZY WEATHER",3,3,2,-9,2,3,2,2,2,98,2,,,,,,,2,98,98,2,1,"ZERO",1,2,98,98,-9,1,-9,2,1,98,4,1,2,4,3,2,3,98,9,2,,2,3,98,3,98,2,"10/17/2016 6:11:10",2.7
74,"C","B","A",3,"PA",1,1,2,1,1,1,"NOT SURE",10,1,1,2,1,1,2,2,2,2,2,,,,,,,4,4,4,4,4,"ZERO",1,1,4,2,4,-9,-9,1,1,1,4,2,98,1,4,1,3,1,1,6,,2,1,4,3,1,1,"10/17/2016 6:11:23",0.73
75,"C","A","C",4,"WI",3,3,5,98,,,,,,,-9,,,,,,,,,,,,,,4,4,2,3,4,"ZERO",1,3,4,2,-9,-9,4,2,3,4,4,3,3,2,3,1,1,2,1,6,,2,1,4,1,3,1,"10/17/2016 6:15:55",0.49
76,"C","A","C",3,"MD",2,1,4,1,2,2,"JUST WHAT I HAVE SEEN ON TV",6,3,1,1,2,2,4,2,1,4,1,,,,,,,2,2,1,2,2,"$50.00",2,2,3,2,-9,-9,4,3,2,4,3,2,3,2,2,2,3,5,1,2,,4,1,2,2,6,1,"10/17/2016 6:14:52",0.53
77,"C","A","A",1,"CO",4,2,2,98,,,,,,,-9,,,,,,,,,,,,,,3,2,2,2,2,"$5.00",2,2,4,2,98,-9,-9,2,2,98,3,2,3,98,2,2,98,2,1,6,,2,5,1,98,98,1,"10/17/2016 6:19:01",0.66
78,"C","B","B",3,"MA",1,5,5,2,,,,,,,-9,,,,,,,,1,"PATTERNS",2,4,4,2,4,4,4,4,4,"ZERO",1,2,4,2,-9,4,-9,1,4,4,98,98,1,1,1,98,1,1,,,,4,5,,,,1,"10/17/2016 6:21:17",0.75
79,"C","A","A",2,"NJ",1,2,5,2,,,,,,,-9,,,,,,,,1,"JUST NORMAL CLIMATE CYCLES",2,1,2,3,2,2,2,2,3,"ZERO",1,3,3,2,2,-9,-9,2,2,3,3,2,3,1,3,1,3,2,1,2,,3,5,2,3,2,1,"10/17/2016 6:27:06",0.94
80,"C","A","A",1,"IA",3,5,5,98,,,,,,,-9,,,,,,,,,,,,,,3,2,2,4,1,"ZERO",1,3,2,4,3,-9,-9,3,3,3,3,98,3,2,98,2,3,1,1,6,,2,5,4,3,,1,"10/17/2016 6:27:32",0.66
81,"C","B","A",1,"TX",2,3,2,98,,,,,,,-9,,,,,,,,,,,,,,2,2,1,1,2,"$50.00",2,1,2,4,2,-9,-9,1,4,2,3,2,2,2,2,2,3,3,5,7,,5,5,4,3,4,1,"10/17/2016 6:31:34",1.36
82,"C","A","B",1,"PA",1,1,1,1,3,1,"RESEARCH",4,2,1,1,98,2,4,2,3,2,1,,,,,,,3,3,4,3,3,"ZERO",1,3,3,3,-9,3,-9,4,3,98,2,4,3,2,4,1,2,5,1,1,,4,1,2,3,,2,"10/17/2016 6:32:09",0.99
