"Respnum","sample","Month","Date","demog_age_list","demog_state","demog_state_region","gw_belief","believer_confidence","believer_cause","believer_problem","gw_concern","believer_factor_open","believer_factor_open_coded","believer_factor_glaciers","believer_factor_warmer","believer_factor_models","believer_factor_hurricane","believer_factor_ipcc","believer_factor_unipcc","believer_factor_mildwint","believer_factor_polarbrs","believer_factor_droughts","believer_factor_extremes","nonbeliever_confidence","nonbeliever_factor_open","nonbeliever_factor_open_coded","nonbeliever_factor_weath","nonbeliever_factor_scievid","nonbeliever_factor_distort","gw_noevidence","gw_scioverstate","gw_nattrend","gw_mediaoverstate","fed_industrial","gw_sciencelimitimpact","gw_geoengrharm","gw_geoengr","gw_adapt","gw_adapteasy","govt_fed","govt_state","govt_local","gastax_support_v2","gastax_support_fee","captrade_support_limit","captrade_support_cap","electrictax_support_v2","electrictax_support_v3","captrade_support_v1","captrade_rev4renewbls","captrade_rev4debt","carbontax_support","carbontax_rev4renewbls","carbontax_rev4debt_v1","carbontax_rev4inctax","carbontax_revfed_v1","carbontax_revstate","willing2pay_list","intl_support_v1","intl_support_cost","intl_support_china_v1","demog_persfinance","demog_race","demog_relig","demog_relig_evang","demog_edu","demog_news","demog_polparty","demog_polviews","demog_income","demog_gender","Weight"
15,"A",12,4,3,"IN",3,1,1,1,1,1,"LOCAL WEATHER",2,1,2,1,1,2,,2,1,1,1,,,,,,,2,2,3,3,2,3,3,3,3,3,1,2,2,1,,1,,2,,2,2,3,2,2,3,,1,,3,2,2,2,2,1,1,2,2,1,2,3,1,1,0.75
16,"A",12,4,4,"NY",1,1,1,3,4,3,"NOT BELOW ZERO",2,3,3,4,3,98,,1,98,4,4,,,,,,,4,1,98,2,2,4,1,1,1,1,2,2,2,2,,2,,2,,4,98,1,4,4,98,,98,,1,1,98,4,2,1,1,1,2,2,2,1,2,1,0.8
17,"A",12,4,3,"NJ",1,1,2,1,1,1,"READIND AND TELEVISION",6,1,2,3,1,2,,1,2,2,3,,,,,,,3,4,3,4,2,4,98,2,4,3,1,1,1,2,,98,,2,,2,1,1,4,2,2,,1,,1,2,4,3,2,1,98,,3,1,2,4,4,2,0.73
18,"B",12,4,3,"NY",1,1,2,2,2,3,"TEMPERATURE CHANGES",2,3,1,3,2,,3,2,3,3,2,,,,,,,2,3,2,2,3,3,3,2,1,1,1,3,3,,1,,2,,1,2,2,2,2,2,,2,,3,2,3,3,3,1,1,3,,2,1,1,3,2,2,0.85
19,"B",12,4,3,"OH",3,1,2,2,1,2,"WEATHER",3,2,2,2,1,,2,2,2,2,2,,,,,,,3,3,2,2,3,2,2,2,2,2,1,2,2,,2,,2,,2,3,2,2,2,2,,2,,3,98,98,3,4,3,1,1,98,3,1,2,5,6,1,0.63
20,"B",12,4,4,"NY",1,2,,,,,,,,,,,,,,,,,2,"DO NOT HAVE SLIGHTEST IDEA",9,2,98,2,1,1,1,1,2,4,1,4,1,1,98,98,98,,2,,2,,2,4,2,4,4,4,,98,,3,2,4,4,4,2,1,1,1,1,1,4,3,1,2,1.53
21,"B",12,4,4,"IA",3,2,,,,,,,,,,,,,,,,,2,"NEWS REPORTS",4,1,2,1,1,2,1,2,3,4,3,98,98,2,3,3,3,,2,,2,,2,4,98,98,3,98,,98,,98,2,3,3,3,,1,1,2,4,2,2,2,5,1,0.31
22,"B",12,4,4,"OH",3,2,,,,,,,,,,,,,,,,,1,"SKIN IS THINNER AND CANNOT TELL THE DIFF",1,4,4,3,1,1,3,4,4,4,4,4,4,4,2,2,2,,2,,2,,2,3,3,3,3,3,,3,,1,1,4,4,4,3,1,1,2,3,1,3,3,,1,0.68
23,"B",12,4,3,"VT",1,98,,,,,,,,,,,,,,,,,,,,,,,2,3,2,3,3,4,1,4,4,4,2,2,2,,2,,2,,2,98,2,2,4,4,,4,,1,1,98,98,98,3,1,2,,4,1,2,1,4,1,0.26
24,"B",12,4,4,"IL",3,98,,,,,,,,,,,,,,,,,,,,,,,4,1,3,1,3,2,1,98,4,3,1,1,3,,2,,1,,2,3,4,4,4,4,,4,,6,3,4,4,4,3,1,2,,3,6,4,3,,2,0.78
25,"A",12,4,3,"AK",4,1,1,1,1,1,"DEFINITE MAN MADE INFLUENCES",8,1,2,1,1,4,,2,1,2,3,,,,,,,4,4,98,4,4,4,1,4,1,4,1,2,3,2,,2,,2,,4,1,1,4,4,4,,1,,5,4,4,4,3,1,1,2,4,4,4,3,5,1,0.26
26,"B",12,4,1,"LA",2,1,2,3,1,2,"MELTING",1,1,3,1,3,,98,4,1,1,1,,,,,,,4,1,1,2,2,1,1,98,3,3,1,2,2,,1,,98,,1,1,3,1,3,2,,2,,1,3,2,3,2,3,2,1,2,2,1,1,4,,1,2.37
27,"A",12,4,4,"OH",3,1,2,3,4,4,"NOT SURE",10,4,2,4,4,2,,2,2,2,4,,,,,,,3,3,2,3,4,1,2,2,3,4,2,2,2,2,,1,,2,,2,1,1,1,1,4,,5,,1,4,4,2,2,2,,,2,1,1,1,,1,1.19
28,"A",12,4,3,"VA",2,1,1,3,1,1,"READING",6,1,2,1,1,1,,2,1,1,1,,,,,,,4,4,4,4,3,2,2,2,4,4,1,2,2,98,,1,,98,,2,2,2,3,2,2,,2,,3,2,2,2,3,2,6,,5,2,4,4,6,2,0.7
29,"B",12,4,3,"VA",2,1,1,1,1,1,"THINGS MAN PUTS IN ATMOSPHERE",8,1,1,1,1,,1,1,1,1,1,,,,,,,4,4,4,4,4,4,4,4,4,4,1,1,1,,2,,2,,2,4,4,4,4,4,,4,,1,4,98,98,98,2,2,1,1,2,2,1,4,3,1,1.14
30,"A",12,4,3,"AZ",4,1,2,2,3,3,"WEATHER CHANGES",3,2,2,3,2,2,,1,2,2,2,,,,,,,3,3,1,3,3,3,2,2,2,2,1,2,3,2,,2,,2,,2,2,2,2,2,2,,4,,3,2,2,2,2,1,1,2,2,1,1,3,3,1,0.75
31,"B",12,4,4,"FL",2,2,,,,,,,,,,,,,,,,,2,"EVERYTHING  HE READS DISPUTES IT",5,3,1,2,1,1,2,2,2,3,2,3,3,3,3,3,3,,2,,2,,2,4,4,3,4,4,,2,,6,1,4,4,4,1,1,1,2,2,1,2,2,,1,0.8
32,"A",12,4,2,"CA",4,2,,,,,,,,,,,,,,,,,1,"NO WARMER THEN BEFORE",1,1,4,3,2,2,1,2,3,4,1,4,4,4,3,3,3,2,,2,,2,,4,4,4,4,4,4,,6,,2,4,4,4,2,1,6,,2,1,4,5,1,2,1.43
33,"B",12,4,4,"MN",3,2,,,,,,,,,,,,,,,,,1,"TOO COLD FOR DECEMBER PRESENTLY",1,1,98,4,2,2,3,1,4,4,1,4,3,4,2,1,3,,1,,2,,98,1,1,1,98,1,,4,,1,3,4,4,4,3,1,2,,4,2,1,5,4,1,0.31
34,"A",12,4,3,"MI",3,98,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,4,98,98,1,3,3,3,3,2,,2,,2,,4,4,4,4,4,4,,4,,1,4,4,4,3,,1,2,4,1,4,3,5,1,0.56
35,"A",12,4,3,"MD",2,1,2,1,1,1,"ERRATIC WEATHER",3,1,2,1,1,2,,2,1,1,1,,,,,,,1,4,4,4,4,4,1,4,4,4,1,1,2,1,,1,,2,,4,1,1,1,1,1,,1,,5,4,4,4,3,1,6,,3,1,4,3,6,1,0.63
36,"A",12,4,3,"OH",3,1,2,2,3,3,"MELTING",1,2,3,3,3,98,,3,98,3,4,,,,,,,2,3,1,1,2,2,1,4,3,2,2,3,3,2,,2,,1,,4,2,3,4,2,3,,1,,3,1,2,4,2,1,1,1,5,5,4,2,6,1,0.21
37,"A",12,4,4,"PA",1,98,1,2,3,2,"NOT SURE",10,98,1,98,98,,,2,98,2,2,,,,,,,2,98,3,3,2,2,2,2,2,2,2,2,2,2,,2,,2,,3,3,2,2,2,3,,98,,98,98,98,98,2,1,98,,98,1,98,98,,2,0.58
38,"B",12,4,3,"MI",3,1,1,1,1,1,"REPORTS ON TV AND WHAT I READ",6,1,3,2,1,,1,2,1,2,1,,,,,,,4,4,4,4,1,4,4,4,4,4,1,2,2,,1,,2,,1,4,98,2,4,4,,4,,1,1,1,2,2,2,2,5,,3,4,3,,5,2,1.12
39,"A",12,4,3,"KS",3,1,1,1,1,1,"UNUSUAL SEASONAL PATTERNS",3,1,1,3,1,4,,1,1,1,1,,,,,,,4,4,4,4,4,4,1,3,4,4,1,1,1,1,,98,,1,,1,1,1,3,3,4,,1,,4,4,4,4,2,1,6,,3,2,1,5,6,2,0.73
40,"A",12,4,3,"OR",4,1,1,1,1,1,"WEATHER CONDITIONS AND MELTING GLACIERS",3,1,1,2,1,1,,1,1,1,1,,,,,,,4,4,4,4,4,4,1,4,4,4,1,2,2,1,,98,,1,,1,98,4,1,1,3,,1,,2,1,1,1,2,1,1,2,3,1,1,4,3,2,0.73
41,"A",12,4,1,"CA",4,2,,,,,,,,,,,,,,,,,1,"GOD IS IN CONTROL OF EVERYTHING",6,4,4,4,1,1,1,1,1,1,1,1,1,2,3,3,3,2,,2,,2,,4,4,4,4,4,1,,1,,4,4,4,4,2,1,6,,3,3,2,1,3,2,1.96
42,"A",12,4,2,"HI",4,2,,,,,,,,,,,,,,,,,2,"NOT ENOUGH FACTS",3,1,2,1,1,1,2,2,1,4,1,3,3,3,3,3,3,2,,2,,2,,4,4,4,4,4,4,,6,,1,4,4,4,3,10,6,,3,5,4,3,,2,1.61
43,"A",12,4,4,"NM",4,98,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,2,2,2,98,4,3,3,3,2,,2,,2,,4,98,4,98,98,4,,,,98,4,4,4,2,1,,,98,98,,,,2,0.58
44,"B",12,4,3,"MA",1,1,1,1,2,2,"FROM WHAT YOU HAVE READ AND MEDIA REPORTS",6,3,4,2,2,,4,2,4,3,2,,,,,,,4,4,4,3,4,4,4,4,4,4,1,2,2,,2,,1,,2,2,2,1,4,2,,2,,1,2,2,4,2,3,1,2,,4,1,2,3,6,1,0.26
45,"B",12,4,3,"MI",3,1,1,2,2,2,"MELTING ICE CAPS",1,1,3,2,2,,2,3,2,2,2,,,,,,,3,3,3,2,3,2,2,2,2,3,1,1,1,,2,,1,,2,3,3,3,3,3,,3,,6,1,3,3,3,2,1,2,,2,2,1,4,3,1,0.75
46,"A",12,4,3,"IN",3,1,1,1,1,1,"OZONE LAYER IS GONE",10,1,1,1,1,1,,1,1,1,1,,,,,,,4,4,3,4,4,2,2,2,4,4,1,1,1,2,,1,,1,,1,1,1,3,3,3,,1,,4,1,2,3,2,1,6,,4,1,2,2,3,2,0.36
47,"B",12,4,4,"AZ",4,1,1,1,1,1,"RETREATING ICE",1,1,1,4,1,,4,1,1,1,1,,,,,,,4,4,4,4,4,4,1,4,4,4,1,1,2,,1,,2,,1,4,1,4,1,1,,4,,5,3,4,4,4,2,1,6,,5,2,1,5,3,1,0.26
48,"B",12,4,4,"MO",3,1,2,1,1,1,"VARYING WEATHER PATTERNS",3,1,1,2,2,,4,2,98,2,1,,,,,,,4,4,3,4,4,4,98,3,3,4,98,2,2,,2,,2,,2,4,1,1,1,1,,1,,1,2,4,4,4,2,1,6,,2,2,1,98,1,1,0.8
49,"A",12,4,4,"OH",3,1,1,1,2,3,"WEATHER I HAVE SEEN OVER MY LIFETIME",3,3,1,3,2,3,,1,4,4,1,,,,,,,2,2,2,3,3,3,3,2,4,4,2,2,2,2,,2,,2,,3,3,3,3,3,3,,4,,1,2,4,4,2,1,1,1,2,1,4,2,1,2,0.9
50,"A",12,4,4,"CA",4,2,,,,,,,,,,,,,,,,,2,"GUT FEELING",1,98,98,98,1,1,1,1,1,3,1,98,4,98,3,3,3,2,,2,,2,,4,3,4,4,4,4,,98,,2,3,3,4,2,1,1,1,3,2,2,1,,2,0.78
51,"A",12,4,2,"CA",4,2,,,,,,,,,,,,,,,,,2,"NOT ENOUGH SCIENTIFIC EVIDENCE",3,2,2,2,2,2,98,2,98,3,2,3,3,3,1,2,2,2,,2,,2,,2,3,2,3,3,2,,2,,1,3,3,3,3,5,2,,3,2,4,3,2,2,2.11
52,"B",12,4,1,"AL",2,2,,,,,,,,,,,,,,,,,2,"WEATHER VARIES ACCORDING TO AREA",1,1,1,1,2,2,1,2,3,4,1,3,3,4,2,2,2,,2,,1,,2,2,1,2,4,4,,4,,1,2,2,2,2,3,1,1,2,3,5,4,3,1,2,1.96
53,"A",12,4,4,"OR",4,98,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,4,4,1,4,4,4,3,3,3,2,,98,,2,,4,4,4,4,4,4,,4,,1,4,4,4,3,1,1,2,2,2,4,4,2,2,0.9
54,"A",12,4,4,"SC",2,1,1,3,1,1,"GLACIERS MELTING",1,1,1,1,1,1,,1,1,1,1,,,,,,,4,4,4,4,4,4,1,4,4,4,1,1,1,1,,2,,98,,98,1,4,1,1,4,,1,,3,1,1,98,3,1,6,,3,5,1,5,6,1,0.68
55,"A",12,4,2,"MD",2,1,2,3,2,2,"MELTING OF ICE CAPS",1,1,4,2,3,2,,4,2,4,4,,,,,,,3,2,3,1,4,1,1,2,3,3,2,2,2,2,,1,,2,,1,1,1,4,4,4,,1,,3,1,2,4,3,1,1,1,4,2,2,3,,2,0.94
56,"B",12,4,1,"NJ",1,1,1,1,1,1,"PERSONAL OBSERVATIONS",2,1,1,2,1,,1,1,1,2,1,,,,,,,4,4,2,4,4,2,1,4,4,4,1,1,1,,1,,1,,1,1,1,1,1,1,,1,,1,4,1,1,1,3,10,2,,4,5,4,3,5,2,2.14
57,"B",12,4,3,"VA",2,1,1,3,2,2,"SCIENTIFIC REPORTS",4,2,3,3,3,,4,3,3,2,2,,,,,,,4,98,4,98,4,98,98,4,98,98,2,2,3,,2,,2,,2,4,4,4,4,4,,4,,6,1,4,4,4,3,1,1,1,4,2,4,3,6,1,0.26
58,"B",12,4,3,"CO",4,1,1,3,1,1,"WARMER WINTERS",2,2,1,2,2,,2,1,2,2,3,,,,,,,4,3,3,4,4,2,3,2,2,2,1,1,1,,1,,1,,1,1,1,2,1,1,,2,,1,3,1,2,2,1,1,2,,4,5,1,3,4,1,0.26
59,"B",12,4,3,"TX",2,1,2,3,2,2,"WEATHER PATTERNS",3,2,2,2,3,,2,2,2,2,2,,,,,,,2,2,2,2,4,4,2,4,4,4,2,2,2,,2,,1,,1,2,2,2,4,2,,1,,1,1,4,4,4,1,1,6,,3,5,2,2,3,1,0.63
60,"B",12,4,3,"MA",1,2,,,,,,,,,,,,,,,,,98,"INTUITION",8,3,3,3,2,2,2,2,4,3,2,3,4,4,3,3,3,,2,,2,,2,4,4,4,4,4,,4,,3,1,4,4,4,3,1,1,2,3,1,4,3,,1,0.63
61,"B",12,4,3,"MI",3,2,,,,,,,,,,,,,,,,,1,"ONLY GOD KNOWS",6,2,1,1,1,1,1,2,1,3,2,3,3,3,3,3,3,,2,,2,,2,4,4,4,4,4,,4,,6,1,4,4,4,2,1,1,2,2,1,2,2,,2,0.85
62,"B",12,4,4,"CA",4,98,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,4,1,1,3,3,,2,,2,,2,4,2,1,4,1,,1,,4,1,4,4,4,2,1,2,,4,1,2,1,6,1,0.31
63,"B",12,4,4,"PA",1,2,,,,,,,,,,,,,,,,,1,"PERSONAL OBSERVATIONS",1,1,98,98,98,2,3,2,4,4,1,3,3,4,2,2,2,,2,,2,,2,4,1,1,4,4,,4,,1,2,4,4,4,3,1,1,1,3,1,2,1,1,2,0.78
64,"A",12,4,3,"TX",2,98,,,,,,,,,,,,,,,,,,,,,,,4,1,1,1,1,98,1,4,2,3,2,3,3,2,,2,,2,,4,4,4,4,4,4,,6,,1,2,3,3,2,1,1,1,4,1,2,1,6,1,0.26
65,"A",12,4,3,"MD",2,1,2,1,2,2,"HOLES IN THE OZONE LAYER",10,2,2,2,4,2,,4,4,4,4,,,,,,,2,3,4,3,4,98,3,3,4,4,2,2,2,1,,1,,1,,1,1,3,1,1,3,,1,,3,1,1,3,1,1,1,2,3,1,1,3,6,1,0.63
66,"A",12,4,3,"WI",3,1,1,3,1,1,"MELTING POLAR ICE AND MILDER WINTER",1,1,1,3,2,2,,1,1,1,2,,,,,,,4,4,4,4,4,2,98,1,4,3,1,1,1,98,,1,,98,,2,1,2,2,1,2,,1,,2,1,1,2,3,1,1,2,5,1,1,4,3,2,0.31
67,"B",12,4,3,"UT",4,1,1,1,1,1,"PLASTIC",8,1,3,4,3,,98,2,2,98,3,,,,,,,4,4,4,4,98,4,1,98,98,4,98,2,2,,98,,98,,2,98,98,98,98,98,,98,,6,1,4,4,4,2,1,6,,2,1,2,3,2,2,0.85
68,"B",12,4,2,"CO",4,1,1,3,1,1,"SCIENTISTS EVIDENCE",4,1,3,3,2,,2,3,1,2,2,,,,,,,4,4,4,3,4,2,3,2,2,2,1,1,1,,1,,1,,1,1,1,2,1,1,,2,,1,3,1,1,2,2,1,3,,4,5,1,3,4,1,0.84
69,"B",12,4,2,"FL",2,1,2,1,3,3,"WARMER WINTERS AND COOLER SUMMERS",2,2,2,2,2,,2,2,2,2,2,,,,,,,3,3,4,3,3,2,3,98,2,2,1,1,1,,1,,1,,1,2,2,2,2,2,,3,,1,2,2,2,3,1,10,,,3,1,,,,2,1.86
70,"A",12,4,3,"MI",3,1,2,3,2,3,"WEATHER PATTERNS, STORMS",3,3,1,1,1,1,,1,98,2,1,,,,,,,2,4,4,4,1,4,4,1,4,4,2,2,2,1,,1,,1,,1,1,1,1,1,1,,4,,1,1,4,1,2,1,1,1,3,5,1,5,2,1,0.63
71,"A",12,4,4,"MD",2,2,,,,,,,,,,,,,,,,,2,"IT IS ALL IN GODS PLAN",6,2,2,2,1,2,1,2,98,3,1,98,2,2,3,3,3,2,,2,,2,,3,4,3,4,4,3,,6,,1,4,4,4,2,2,1,1,2,1,4,2,1,2,1.29
72,"B",12,4,2,"AZ",4,2,,,,,,,,,,,,,,,,,1,"OWN RESEARCH",5,4,4,2,1,4,1,1,1,2,3,1,4,2,3,3,3,,2,,2,,2,4,4,4,4,4,,4,,6,1,4,4,4,3,1,1,1,2,3,4,2,3,2,1.43
73,"A",12,4,2,"CT",1,98,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,3,3,98,2,3,3,2,2,2,2,,98,,2,,98,2,2,3,2,2,,1,,98,2,3,2,1,,6,,3,1,4,4,4,2,1.61
74,"B",12,4,4,"OH",3,1,1,2,4,4,"AGE",10,3,2,4,2,,3,2,3,3,3,,,,,,,4,1,1,1,3,3,1,1,1,1,3,3,3,,2,,2,,2,4,1,1,1,2,,2,,1,2,3,3,2,2,1,2,,2,1,3,2,1,1,0.8
75,"B",12,4,3,"OR",4,1,1,1,1,1,"ICE CAPS",1,1,1,3,3,,2,98,1,3,1,,,,,,,4,4,2,4,98,2,1,98,4,4,1,1,1,,1,,2,,1,98,1,1,1,1,,98,,1,4,1,2,2,2,1,6,,3,1,1,4,,2,0.73
76,"A",12,4,1,"MO",3,1,2,1,2,3,"MELTING SNOW CAPS",1,1,4,4,2,4,,4,4,4,4,,,,,,,2,2,3,3,2,2,4,2,3,3,1,2,2,2,,2,,2,,3,3,3,4,3,3,,1,,2,2,3,4,2,1,98,,3,5,4,3,3,1,1.86
77,"A",12,4,3,"CA",4,1,1,1,1,1,"POLAR ICE CAPS ARE MELTING",1,1,1,3,3,4,,1,1,1,3,,,,,,,4,2,4,1,1,3,1,98,3,4,1,1,1,2,,2,,2,,3,3,3,3,3,3,,6,,1,3,3,3,2,1,1,2,2,1,2,2,,1,0.75
78,"B",12,4,4,"GA",2,1,2,1,2,2,"SENDING ROCKETS INTO THE OZONE",8,2,2,2,2,,3,2,1,1,2,,,,,,,3,2,4,2,3,3,2,98,3,3,1,1,1,,2,,1,,2,2,2,3,4,2,,3,,5,2,1,3,3,2,1,1,2,2,1,,,2,1,0.8
79,"A",12,4,3,"CA",4,1,1,1,1,1,"WEATHER",3,1,2,98,2,98,,1,2,1,1,,,,,,,4,4,4,4,4,4,1,1,4,4,1,1,1,2,,1,,1,,1,1,1,1,1,1,,1,,3,1,1,1,3,2,1,2,4,3,1,3,6,1,0.65
80,"A",12,4,3,"KY",2,1,2,3,1,2,"WINTER AND SUMMER ARE MIXED",2,2,1,2,1,1,,1,2,2,1,,,,,,,4,4,3,4,1,4,1,2,4,4,1,1,1,2,,1,,2,,4,2,1,4,1,1,,2,,3,1,98,4,3,2,1,2,5,5,1,3,2,2,0.7
81,"A",12,4,4,"MN",3,2,,,,,,,,,,,,,,,,,2,"IT IS PRETTY COLD HERE",1,1,4,4,1,2,1,2,98,4,1,4,4,4,3,3,3,2,,2,,2,,4,4,4,4,4,4,,6,,1,4,4,4,3,1,1,2,2,1,1,2,2,2,0.9
82,"A",12,4,2,"NY",1,2,,,,,,,,,,,,,,,,,1,"PERSONAL OBSERVATIONS",1,2,3,4,4,1,2,1,1,2,98,2,4,1,2,2,2,2,,2,,2,,3,2,3,4,3,4,,4,,1,4,4,4,2,1,1,2,4,3,2,3,3,1,0.84
83,"B",12,4,2,"IL",3,98,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,3,2,2,2,2,4,2,2,2,,2,,1,,1,1,1,1,3,3,,3,,1,2,1,4,4,2,1,1,2,3,1,1,5,2,2,1.31
84,"A",12,4,2,"IL",3,1,1,3,1,2,"CARBON DIOXIDE LEVELS AND THE OZONE DEPLETION",8,1,2,3,3,2,,2,2,1,1,,,,,,,3,2,3,2,1,3,1,2,1,3,1,1,1,2,,1,,2,,1,1,2,4,4,4,,1,,3,1,2,2,3,5,5,,5,5,,,4,1,1.59
85,"B",12,4,1,"CO",4,1,2,1,1,1,"ICE CAPS MELTING",1,1,2,3,3,,3,2,1,2,3,,,,,,,3,3,3,3,3,2,2,98,2,2,1,1,1,,1,,1,,1,1,1,1,1,1,,1,,1,2,1,2,2,3,1,1,2,3,1,1,3,2,2,1.96
86,"B",12,4,1,"WA",4,1,1,3,1,1,"NATURE AND PEOPLE",8,1,1,2,2,,4,2,1,2,2,,,,,,,4,4,2,2,4,4,1,4,4,4,1,1,1,,2,,1,,2,1,1,1,3,3,,3,,1,3,1,3,4,3,1,1,1,3,5,1,4,3,1,1.86
87,"B",12,4,3,"NY",1,1,2,3,2,2,"POLAR ICE CAPS ARE MELTING",1,1,2,2,2,,2,3,2,2,2,,,,,,,3,3,3,2,98,98,3,98,2,3,1,1,2,,2,,1,,2,2,2,2,3,2,,2,,1,3,2,2,2,3,1,2,,4,5,1,4,,2,0.36
88,"B",12,4,1,"CA",4,1,1,1,1,1,"SEVERE STORMS AND OTHER PROBLEMS",3,1,1,2,1,,3,1,1,1,1,,,,,,,3,3,3,3,3,2,2,2,4,4,1,1,1,,1,,1,,1,1,1,1,1,1,,1,,1,4,1,2,98,3,1,1,2,2,5,4,4,2,2,2.08
